sample_index,signal_normalization,conditioning_mode,encoder_type,point_signal_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
715,per_sample_zscore,concat,mlp,local_value_abs,1.0,3,3,0.2689974308013916,0.07795796543359756
716,per_sample_zscore,concat,mlp,local_value_abs,0.6666666666666666,2,3,5215.32373046875,7.373720645904541
717,per_sample_zscore,concat,mlp,local_value_abs,1.0,7,7,144.1636962890625,1.6840356588363647
718,per_sample_zscore,concat,mlp,local_value_abs,1.0,15,15,434.92486572265625,3.8951056003570557
719,per_sample_zscore,concat,mlp,local_value_abs,1.0,12,12,453.5528564453125,4.637914180755615
720,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,34.511260986328125,1.0299299955368042
721,per_sample_zscore,concat,mlp,local_value_abs,1.0,12,12,129.2852783203125,2.0674545764923096
722,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,6,29967.232421875,30.46549415588379
723,per_sample_zscore,concat,mlp,local_value_abs,0.9,9,10,5354.79345703125,9.108124732971191
724,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,60.6716423034668,0.8995358347892761
725,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,27.68478012084961,0.5694453120231628
726,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,28.209388732910156,0.7794612646102905
727,per_sample_zscore,concat,mlp,local_value_abs,1.0,9,9,87.62541961669922,1.4088177680969238
728,per_sample_zscore,concat,mlp,local_value_abs,1.0,16,16,234.79354858398438,2.609703540802002
729,per_sample_zscore,concat,mlp,local_value_abs,1.0,12,12,12.560670852661133,0.5368596315383911
730,per_sample_zscore,concat,mlp,local_value_abs,1.0,3,3,2.675199508666992,0.21062763035297394
731,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,483.1877136230469,4.33971643447876
732,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,4.314761638641357,0.2962157428264618
733,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,17.966777801513672,0.5556528568267822
734,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,12.210700035095215,0.518638014793396
735,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,15.558229446411133,0.6292154788970947
736,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,11,54899.55859375,55.21192169189453
737,per_sample_zscore,concat,mlp,local_value_abs,0.8333333333333334,5,6,5142.40185546875,6.797265529632568
738,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,76.77234649658203,0.8873727917671204
739,per_sample_zscore,concat,mlp,local_value_abs,1.0,8,8,286.2099609375,2.6572136878967285
740,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,46.08757781982422,0.9693756103515625
741,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,559.4331665039062,4.0235724449157715
742,per_sample_zscore,concat,mlp,local_value_abs,0.75,3,4,5080.4130859375,6.25880241394043
743,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,11.83255386352539,0.45856618881225586
744,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,191.6046600341797,2.4213435649871826
745,per_sample_zscore,concat,mlp,local_value_abs,1.0,2,2,119.17196655273438,1.7154746055603027
746,per_sample_zscore,concat,mlp,local_value_abs,0.8,8,10,10038.798828125,11.373698234558105
747,per_sample_zscore,concat,mlp,local_value_abs,1.0,10,10,291.3149108886719,3.2196879386901855
748,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,54.32175064086914,0.9435698390007019
749,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,22.16215705871582,0.6774120926856995
750,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,0.3662022352218628,0.0980634018778801
751,per_sample_zscore,concat,mlp,local_value_abs,1.0,3,3,25.679901123046875,0.6025716662406921
752,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,0,133.91445922851562,0.8634774684906006
753,per_sample_zscore,concat,mlp,local_value_abs,1.0,11,11,1417.0032958984375,10.851707458496094
754,per_sample_zscore,concat,mlp,local_value_abs,1.0,3,3,171.40478515625,2.2834184169769287
755,per_sample_zscore,concat,mlp,local_value_abs,1.0,8,8,110.70304107666016,1.9787675142288208
