sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,mask_bce_mode,area_loss_mode,lambda_area_loss,threshold_margin_mode,lambda_threshold_margin,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
58,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1030,153077.359375,387.3265075683594
59,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1115,154141.765625,388.3927917480469
60,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,951,152094.671875,386.3443298339844
61,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1003,152742.890625,386.99267578125
62,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1092,153854.1875,388.1048889160156
63,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1053,153370.140625,387.6215515136719
64,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,973,152368.25,386.6177978515625
65,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1074,153632.109375,387.8836975097656
66,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1028,153056.0625,387.30633544921875
67,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,946,152029.5,386.2781677246094
68,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1184,155003.109375,389.25482177734375
69,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1004,152756.703125,387.0069885253906
70,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,919,151693.015625,385.941650390625
71,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1163,154741.5625,388.9931640625
72,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,975,152393.8125,386.6434631347656
73,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1030,153079.203125,387.32904052734375
74,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,none,0.0,none,0.0,0.0,0,1115,154142.03125,388.3931884765625
