candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite,macro_area_composite,vertex_mae,vertex_rmse,invalid_count,out_of_image_count
oracle_quad_supervised_screening,42,val,area_bin,large,0.8,43,0.4546962300274256,0.6172352862947217,0.21912993266913988,1.0362016541320225,0,3,40,0.8528015836530074,0.19386823355773378,0.1740890036575323,0.2453213359207608,0,0
oracle_quad_supervised_screening,42,val,signal_bin,low_signal,0.8,43,0.27673955135791145,0.4114748677047344,0.9679985247129593,1.1473566456589588,0,2,41,-0.27978410565031353,0.19386823355773378,0.17114215812017752,0.23708149392244426,0,0
oracle_quad_supervised_screening,42,val,signal_bin,non_low_signal,0.8,86,0.4012194992251232,0.5614679390494935,0.5319930351128592,1.0835036936887474,0,1,85,0.43069440316175744,0.19386823355773378,0.18721869243525488,0.26863167084060435,0,0
oracle_quad_supervised_screening,42,val,defect_type,polygon,0.8,72,0.30182926798184634,0.4438325907820834,0.8805530068240138,1.1397044362707272,0,1,71,-0.13489114806008407,0.19386823355773378,0.19633622964223227,0.2773524991547068,0,0
oracle_quad_supervised_screening,42,val,defect_type,rotated_rect,0.8,57,0.43285912889575173,0.5969072900570179,0.42062317703568675,1.0606830527907924,0,2,55,0.609143241917083,0.19386823355773378,0.16357389147997947,0.23381487704944193,0,0
oracle_quad_supervised_screening,42,val,overall,all,0.85,129,0.35926303943597543,0.510594374019806,0.6203039387981634,1.1032324993564178,0,5,124,0.24955347465761812,0.24955347465761799,0.18185984766356242,0.2581149452012177,0,0
oracle_quad_supervised_screening,42,val,area_bin,small,0.85,43,0.2412302357842613,0.36802722723927245,1.0923800468765004,1.2321163291154906,0,0,43,-0.4831225838529666,0.24955347465761799,0.18485675804143728,0.2629121439748032,0,0
oracle_quad_supervised_screening,42,val,area_bin,medium,0.85,43,0.3833940361213415,0.54818060663116,0.5812945652037379,1.0417463259641515,0,0,43,0.35028007754876356,0.24955347465761799,0.1866337812917177,0.26611135570808897,0,0
oracle_quad_supervised_screening,42,val,area_bin,large,0.85,43,0.4531648464023234,0.6155752881889853,0.18723720431425178,1.0358348429896111,0,5,38,0.881502930277057,0.24955347465761799,0.1740890036575323,0.2453213359207608,0,0
oracle_quad_supervised_screening,42,val,signal_bin,low_signal,0.85,43,0.2748754022685054,0.40881388531029306,0.8882757543901945,1.1449732323025548,0,2,41,-0.20458646681139603,0.24955347465761799,0.17114215812017752,0.23708149392244426,0,0
oracle_quad_supervised_screening,42,val,signal_bin,non_low_signal,0.85,86,0.4014568580197103,0.5614846183745624,0.4863180310021479,1.082362132883349,0,3,83,0.47662344539212487,0.24955347465761799,0.18721869243525488,0.26863167084060435,0,0
oracle_quad_supervised_screening,42,val,defect_type,polygon,0.85,72,0.30116590399601884,0.4426053880695219,0.8127914740686709,1.1369563688834508,0,2,70,-0.0690201820031302,0.24955347465761799,0.19633622964223227,0.2773524991547068,0,0
oracle_quad_supervised_screening,42,val,defect_type,rotated_rect,0.85,57,0.43264889472855206,0.5964751983780596,0.37716178898278535,1.0606339273222707,0,3,54,0.6519623041238263,0.24955347465761799,0.16357389147997947,0.23381487704944193,0,0
oracle_quad_supervised_screening,42,val,overall,all,0.9,129,0.3575571799699717,0.5081896000379662,0.5478207235361565,1.1025712952133297,0,10,119,0.3179260564717814,0.31792605647178135,0.18185984766356242,0.2581149452012177,0,0
oracle_quad_supervised_screening,42,val,area_bin,small,0.9,43,0.23878158788062362,0.36421152685801556,0.9757140866031775,1.2315406189408413,0,0,43,-0.37272097186453834,0.31792605647178135,0.18485675804143728,0.2629121439748032,0,0
oracle_quad_supervised_screening,42,val,area_bin,medium,0.9,43,0.383841945777667,0.5480409987989273,0.5144819217106975,1.0411327158988908,0,0,43,0.41740102286589686,0.31792605647178135,0.1866337812917177,0.26611135570808897,0,0
oracle_quad_supervised_screening,42,val,area_bin,large,0.9,43,0.4500480062516246,0.6123162744569558,0.1532661622945949,1.035040550800257,0,10,33,0.9090981184139856,0.31792605647178135,0.1740890036575323,0.2453213359207608,0,0
oracle_quad_supervised_screening,42,val,signal_bin,low_signal,0.9,43,0.2721108896875952,0.40498335813567704,0.7906485186083849,1.14242062249849,0,3,40,-0.11355427078511271,0.31792605647178135,0.17114215812017752,0.23708149392244426,0,0
oracle_quad_supervised_screening,42,val,signal_bin,non_low_signal,0.9,86,0.40028032511115996,0.5597927209891107,0.4264068260000423,1.0826466315707495,0,7,79,0.5336662201002284,0.31792605647178135,0.18721869243525488,0.26863167084060435,0,0
oracle_quad_supervised_screening,42,val,defect_type,polygon,0.9,72,0.2995092530726404,0.44003625755259024,0.725974148618105,1.137401867037018,0,3,69,0.01357136200712561,0.31792605647178135,0.19633622964223227,0.2773524991547068,0,0
oracle_quad_supervised_screening,42,val,defect_type,rotated_rect,0.9,57,0.43088087710344275,0.5942780326510727,0.3227848181694849,1.058574783436039,0,7,50,0.7023740915850306,0.31792605647178135,0.16357389147997947,0.23381487704944193,0,0
oracle_quad_supervised_screening,42,val,overall,all,0.95,129,0.3544944009162413,0.5039305823212238,0.4378281526487039,1.1032914118480313,0,19,109,0.4205968305887612,0.4205968305887611,0.18185984766356242,0.2581149452012177,0,0
oracle_quad_supervised_screening,42,val,area_bin,small,0.95,43,0.23720380126438903,0.36038254832191086,0.7798154149733508,1.2343953438969546,0,1,42,-0.18222906538705097,0.4205968305887611,0.18485675804143728,0.2629121439748032,0,0
oracle_quad_supervised_screening,42,val,area_bin,medium,0.95,43,0.38294456279875866,0.5461669712432581,0.41057098349920756,1.0392341825158098,0,1,42,0.5185405505428091,0.4205968305887611,0.1866337812917177,0.26611135570808897,0,0
oracle_quad_supervised_screening,42,val,area_bin,large,0.95,43,0.4433348386855762,0.6052422273985023,0.12309805947355362,1.0362447091313296,0,17,25,0.925479006610525,0.4205968305887611,0.1740890036575323,0.2453213359207608,0,0
oracle_quad_supervised_screening,42,val,signal_bin,low_signal,0.95,43,0.2689536365809929,0.40000197597584947,0.6218358448306955,1.1467359897702238,0,5,38,0.04711976772614679,0.4205968305887611,0.17114215812017752,0.23708149392244426,0,0
