seed,candidate,group_type,group,threshold,n,mse,mae,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite,macro_area_composite
123,best_macro_area_composite,signal_bin,low_signal,500,67,17673.528981678523,41.48414821055398,0.20108796572809645,0.302145709802062,0.5258679638878669,1.5076012060303112,9,49,18,-0.02263428835770842,0.4112353112779857
123,best_macro_area_composite,signal_bin,non_low_signal,500,133,23730.84253113252,51.558422590556894,0.37143475639634943,0.5189642621916531,0.26114243000559767,1.1176122072103776,0,84,48,0.629256588582405,0.4112353112779857
2026,best_composite,overall,all,500,200,21471.170380249023,50.76562117576599,0.3289214613248653,0.4636183694500884,0.31498802692760286,1.2288849423111408,6,132,68,0.47755180384735085,0.4778276413465276
2026,best_composite,area_bin,small,500,67,14765.392590878615,37.63286855327549,0.2341307731838781,0.33908357927827343,0.44898704927723126,1.256074749406368,4,35,32,0.12422730318492031,0.4778276413465276
2026,best_composite,area_bin,medium,500,66,20168.479196259468,48.45705812627619,0.33400773920438365,0.47669794764540857,0.2777105456679135,1.3308201768086292,2,43,23,0.5329951411818787,0.4778276413465276
2026,best_composite,area_bin,large,500,67,29460.196201609142,66.17248068282854,0.41870178618155096,0.5752687990115878,0.21771010552035516,1.1059474370150424,0,54,13,0.7762604796727836,0.4778276413465276
2026,best_composite,signal_bin,low_signal,500,67,17731.250566624884,43.85724785078818,0.21030942549612933,0.3143622246244696,0.4880186125742295,1.4368633823316606,6,48,19,0.036653037546369394,0.4778276413465276
2026,best_composite,signal_bin,non_low_signal,500,133,23355.190135984492,54.24577916654429,0.38867338914836386,0.5388075551893099,0.22782224318080607,1.1334963344821805,0,84,49,0.6996587011568676,0.4778276413465276
2026,best_macro_area_composite,overall,all,500,200,21471.170380249023,50.76562117576599,0.3289214613248653,0.4636183694500884,0.31498802692760286,1.2288849423111408,6,132,68,0.47755180384735085,0.4778276413465276
2026,best_macro_area_composite,area_bin,small,500,67,14765.392590878615,37.63286855327549,0.2341307731838781,0.33908357927827343,0.44898704927723126,1.256074749406368,4,35,32,0.12422730318492031,0.4778276413465276
2026,best_macro_area_composite,area_bin,medium,500,66,20168.479196259468,48.45705812627619,0.33400773920438365,0.47669794764540857,0.2777105456679135,1.3308201768086292,2,43,23,0.5329951411818787,0.4778276413465276
2026,best_macro_area_composite,area_bin,large,500,67,29460.196201609142,66.17248068282854,0.41870178618155096,0.5752687990115878,0.21771010552035516,1.1059474370150424,0,54,13,0.7762604796727836,0.4778276413465276
2026,best_macro_area_composite,signal_bin,low_signal,500,67,17731.250566624884,43.85724785078818,0.21030942549612933,0.3143622246244696,0.4880186125742295,1.4368633823316606,6,48,19,0.036653037546369394,0.4778276413465276
2026,best_macro_area_composite,signal_bin,non_low_signal,500,133,23355.190135984492,54.24577916654429,0.38867338914836386,0.5388075551893099,0.22782224318080607,1.1334963344821805,0,84,49,0.6996587011568676,0.4778276413465276
