seed,source_index,sample_id,split,defect_group,defect_type,component_types,component_type_combination,source_dataset,source_pack,angle_deg,vertex_count,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,true_connected_component_count,pred_connected_component_count,predicted_component_count_correct,predicted_component_count_is_1,predicted_component_count_is_2,component_count_error,missed_component_flag,merged_component_flag,split_component_flag,largest_component_area_ratio,second_largest_component_area_ratio,component_recall_heuristic,polygon_component_present,notes
42,45,single_rect_p2_0046,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.6507713884992987,0.7884451996601529,0.328125,3.3288306893206174,473,704,0,0.1303718388080597,0.21519684791564941,0.3455686867237091,0.0,0.9999923706054688,0.0587662011384964,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,46,single_rect_p2_0047,val,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7525510204081632,0.858806404657933,0.2598684210526316,1.2471982521443343,383,304,0,0.0415756031870842,0.1614435315132141,0.2030191421508789,0.0,0.9999948740005493,0.0472545251250267,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,47,single_rect_p2_0048,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.5989304812834224,0.7491638795986622,0.24812030075187969,2.878876837913257,332,266,0,0.05301554873585701,0.25391489267349243,0.30693045258522034,0.0,0.999923825263977,0.04067474603652954,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,48,single_rect_p2_0049,val,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.549266247379455,0.7090663058186739,0.35044642857142855,4.278416069275177,291,448,0,0.14862295985221863,0.29778820276260376,0.4464111626148224,0.0,0.9999933242797852,0.03645847737789154,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,49,single_rect_p2_0050,val,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.5791962174940898,0.7335329341317365,0.16883116883116883,4.316900823049951,360,308,0,0.06634771078824997,0.273059606552124,0.3394073247909546,0.0,0.9999874830245972,0.045258402824401855,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,50,single_rect_p2_0051,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7583333333333333,0.8625592417061612,0.001893939393939394,1.9442878420684948,527,528,0,0.054921992123126984,0.14647918939590454,0.20140117406845093,0.0,0.9999983310699463,0.06447333097457886,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,51,single_rect_p2_0052,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.779891304347826,0.8763358778625954,0.22010869565217392,2.595332952682848,574,736,0,0.062137994915246964,0.13295000791549683,0.1950879991054535,0.0,0.9999897480010986,0.07024279236793518,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,52,single_rect_p2_0053,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.8062015503875969,0.8927038626609443,0.17254901960784313,1.921099561703272,422,510,0,0.04981565102934837,0.12050032615661621,0.17031598091125488,0.0,0.9999995231628418,0.051399022340774536,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,53,single_rect_p2_0054,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.8322683706070287,0.9084568439407149,0.11658456486042693,1.7973141532816233,538,609,0,0.04782584309577942,0.10069471597671509,0.1485205590724945,0.0,0.9999998807907104,0.06514082103967667,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,54,single_rect_p2_0055,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7954022988505747,0.8860435339308579,0.1623529411764706,1.1246378592036814,356,425,0,0.030026260763406754,0.13061964511871338,0.16064590215682983,0.0,0.9999943971633911,0.04447370022535324,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
