sample_index,model,defect_type,area_bin,low_signal,pred_area_zero,pred_area_lt_true,pred_area_gt_true,mse,mae,iou,dice,area_error,center_error,pred_area,true_area,pred_center_x,pred_center_y,true_center_x,true_center_y
108,multi_liftoff,rotated_rect,small,True,True,True,False,14125.8125,30.281564712524414,0.0,0.0,1.0,nan,0.0,5.969248184013509,nan,nan,6.446646690368652,6.000051498413086
109,multi_liftoff,multi_defect,small,True,True,True,False,15305.9140625,26.39393424987793,0.0,0.0,1.0,nan,0.0,5.634239357359689,nan,nan,5.679749965667725,5.541905879974365
110,multi_liftoff,multi_defect,medium,True,False,True,False,24294.765625,42.370521545410156,0.02890932982917214,0.0561941251596424,0.6042780748663101,2.377659559249878,3.3805436144158136,8.542725079672394,-6.229118347167969,4.782054901123047,-4.149759769439697,5.935108661651611
111,multi_liftoff,rotated_rect,small,False,False,False,True,12538.6357421875,32.839229583740234,0.40836012861736337,0.5799086757990868,0.17369727047146402,0.9617346525192261,7.202689773057116,6.1367525973404184,1.3343143463134766,4.87774133682251,1.4355274438858032,3.9213473796844482
112,multi_liftoff,rotated_rect,medium,False,False,False,True,17878.0625,43.38970947265625,0.5379568884723523,0.6995734308348568,0.08248730964467005,0.6884902119636536,12.989205869804906,11.999407063782257,-7.841935634613037,5.130554676055908,-7.695712089538574,5.803338050842285
113,multi_liftoff,multi_defect,large,False,False,True,False,46645.43359375,90.88492584228516,0.1412327947336924,0.24750917671735712,0.6090444930707513,1.7151533365249634,8.162033231202145,20.87714097010847,-1.942923665046692,4.496645450592041,-0.31607699394226074,5.039895534515381
114,multi_liftoff,rotated_rect,medium,False,False,True,False,13455.0859375,33.51401138305664,0.4565560821484992,0.6268980477223427,0.4684385382059801,0.44714727997779846,4.872855660419191,9.167059711163603,6.527166843414307,5.247159004211426,6.69502067565918,4.832712650299072
115,multi_liftoff,multi_defect,medium,False,False,True,False,19599.21875,45.205284118652344,0.359504132231405,0.5288753799392097,0.018072289156626505,0.5459477305412292,9.928443408104101,10.111175495369821,-2.8793506622314453,4.985591888427734,-2.706075668334961,4.467871189117432
116,multi_liftoff,multi_defect,large,True,False,True,False,54116.6015625,87.91706085205078,0.01272984441301273,0.025139664804469275,0.891640866873065,4.1311211585998535,2.131874351433396,19.674154728942483,5.729719638824463,4.734488010406494,1.899940848350525,6.283344268798828
117,multi_liftoff,rotated_rect,medium,False,False,True,False,12357.982421875,36.181697845458984,0.5338235294117647,0.6960690316395014,0.14412811387900357,0.5305551290512085,7.324511164567596,8.557952753611204,-1.734295129776001,4.932694911956787,-1.778733491897583,4.404004096984863
118,multi_liftoff,rotated_rect,small,False,False,True,False,16713.744140625,40.23110580444336,0.2669270833333333,0.42137718396711205,0.07707509881422925,1.3275489807128906,7.111323729424257,7.7052030130378455,-1.9606060981750488,4.962255954742432,-1.9943591356277466,6.2893757820129395
119,multi_liftoff,multi_defect,large,False,False,True,False,32151.814453125,70.88545989990234,0.5553008595988539,0.7140751658069271,0.14236824093086928,0.38038116693496704,19.080275445328894,22.247631624601368,0.23996680974960327,4.761260032653809,0.5762384533882141,4.939055442810059
120,multi_liftoff,rotated_rect,small,True,True,True,False,8525.9189453125,23.580732345581055,0.0,0.0,1.0,nan,0.0,5.25354750888944,nan,nan,5.6703081130981445,4.413702011108398
121,multi_liftoff,polygon,small,True,True,True,False,11623.84765625,27.624528884887695,0.0,0.0,1.0,nan,0.0,3.715552441069633,nan,nan,-5.157137870788574,3.275376558303833
122,multi_liftoff,multi_defect,medium,True,False,True,False,31255.552734375,51.289615631103516,0.061488673139158574,0.11585365853658537,0.631432545201669,1.201235055923462,4.035333593784642,10.94869756200437,4.612781047821045,4.784829616546631,5.071638107299805,5.89497184753418
123,multi_liftoff,multi_defect,large,False,False,True,False,25447.6953125,45.636173248291016,0.19166666666666668,0.32167832167832167,0.5934426229508196,0.730463981628418,5.664694705237309,13.933321654011124,-6.522937297821045,4.918811798095703,-6.497652053833008,5.648838043212891
124,multi_liftoff,polygon,small,True,False,True,False,18180.3984375,36.58232116699219,0.0,0.0,0.8710407239819005,1.5363692045211792,0.8679774145121684,6.730631880954007,-2.0431101322174072,5.068225383758545,-1.9761706590652466,6.603135585784912
125,multi_liftoff,multi_defect,medium,False,False,True,False,24187.703125,53.510536193847656,0.3493862134088763,0.5178446466060181,0.1888466413181242,0.2519485056400299,9.745711320838382,12.014634737721067,-3.505967378616333,5.1715593338012695,-3.7576663494110107,5.160348415374756
126,multi_liftoff,multi_defect,large,True,False,True,False,32656.53125,62.120418548583984,0.16801437556154536,0.2876923076923077,0.7884436160298229,1.1231621503829956,3.4566819841098635,16.3392941363431,-0.9055188298225403,4.634894847869873,0.1636093407869339,4.290717124938965
127,multi_liftoff,rotated_rect,small,True,False,True,False,8053.0224609375,26.666587829589844,0.7146282973621103,0.8335664335664336,0.04644808743169399,0.26204419136047363,5.31445820464468,5.5733286616044495,1.9708139896392822,4.996092319488525,1.947853922843933,4.735055923461914
128,multi_liftoff,multi_defect,large,False,False,True,False,36840.8046875,63.48375701904297,0.2283072546230441,0.3717429067747539,0.42857142857142855,1.7095881700515747,9.562979233572662,16.73521365875216,6.403194427490234,4.8629608154296875,5.046410083770752,3.8228511810302734
129,multi_liftoff,multi_defect,medium,False,False,True,False,38939.1640625,77.18136596679688,0.11012861736334405,0.19840695148443158,0.3656804733727811,3.092764139175415,8.162033231202145,12.867384478294426,3.7446563243865967,4.672093868255615,1.2539323568344116,6.505528926849365
130,multi_liftoff,polygon,small,False,False,False,True,14975.3935546875,37.14004898071289,0.27976190476190477,0.4372093023255814,0.18274111675126903,1.4175668954849243,7.096096055485447,5.999703531891129,-3.3605797290802,5.019941806793213,-2.921332597732544,6.367739200592041
131,multi_liftoff,multi_defect,large,False,False,True,False,36640.92578125,60.84270477294922,0.21064139941690962,0.3479831426851294,0.4913714804722979,1.2768495082855225,8.527497405733584,16.76566900662978,1.5559942722320557,4.897907257080078,1.1740583181381226,6.116295337677002
132,multi_liftoff,rotated_rect,medium,False,False,True,False,18191.115234375,40.72854232788086,0.4691011235955056,0.638623326959847,0.01893939393939394,1.1144458055496216,11.831902650455348,12.060317759537497,4.616228103637695,4.768924713134766,4.553258895874023,3.656259298324585
133,multi_liftoff,polygon,small,True,True,True,False,8019.43994140625,23.339859008789062,0.0,0.0,1.0,nan,0.0,4.065788941662262,nan,nan,0.5044887065887451,5.098928928375244
134,multi_liftoff,multi_defect,medium,False,False,True,False,21144.970703125,54.84778594970703,0.49836065573770494,0.6652078774617067,0.36200716845878134,2.4393115043640137,8.131577883324525,12.745563086783946,-2.7849924564361572,4.988461017608643,-0.3930945098400116,4.509853839874268
135,multi_liftoff,rotated_rect,medium,False,False,True,False,24308.84765625,49.021812438964844,0.3292576419213974,0.49540078843626806,0.17942583732057416,1.5448311567306519,10.44618432202364,12.730335412845136,-2.9583778381347656,4.9870429039001465,-2.7994039058685303,3.450413227081299
136,multi_liftoff,polygon,small,True,False,True,False,8519.67578125,26.18439292907715,0.33064516129032256,0.49696969696969695,0.6693548387096774,0.37569987773895264,1.8730038944736265,5.664694705237309,-0.7911509275436401,5.15726375579834,-0.7720051407814026,5.532475471496582
137,multi_liftoff,polygon,medium,False,False,True,False,22211.1015625,42.789642333984375,0.13751507840772015,0.2417815482502651,0.4741100323624595,1.479215383529663,4.948994030113241,9.410702494184562,-0.872284471988678,4.968453884124756,-1.2406693696975708,3.535844087600708
138,multi_liftoff,polygon,large,False,False,True,False,29029.82421875,55.8725700378418,0.3301043219076006,0.49635854341736696,0.1896551724137931,1.6071927547454834,12.166911477109167,15.014486503666632,-2.6510207653045654,4.9632744789123535,-2.0891475677490234,6.469052314758301
139,multi_liftoff,rotated_rect,small,True,False,True,False,13179.2548828125,29.253662109375,0.10681818181818181,0.19301848049281314,0.6873315363881402,1.4457223415374756,1.7664101769019567,5.649467031298499,3.3386764526367188,4.919888019561768,3.3700170516967773,6.365270614624023
140,multi_liftoff,multi_defect,large,True,False,True,False,31525.8984375,57.44034194946289,0.2877070619006103,0.44685172647257954,0.7043859649122807,3.7810797691345215,5.13172611737896,17.359548290243367,-4.284851551055908,5.455444812774658,-0.6381909251213074,4.456229209899902
141,multi_liftoff,rotated_rect,large,False,False,True,False,23222.80078125,45.989505767822266,0.3833049403747871,0.5541871921182266,0.42787996127783157,1.0191700458526611,8.999555297836693,15.7301871787907,-3.980945110321045,5.211334705352783,-3.8135740756988525,6.216667652130127
142,multi_liftoff,multi_defect,large,False,False,True,False,33686.1875,69.570556640625,0.43147208121827413,0.6028368794326241,0.15384615384615385,0.5373586416244507,15.74541485272951,18.608217553225785,1.4738585948944092,4.721782684326172,1.7320648431777954,4.250524997711182
143,multi_liftoff,rotated_rect,small,True,False,True,False,14375.7314453125,31.978612899780273,0.20521739130434782,0.34054834054834054,0.47692307692307695,1.116270899772644,3.624186397436773,6.928591642158537,-6.680672645568848,4.837874412536621,-6.583631992340088,3.725829601287842
144,multi_liftoff,rotated_rect,large,False,False,True,False,27303.474609375,49.49694061279297,0.322554567502021,0.4877750611246944,0.14722536806342015,1.4223790168762207,11.466438475923908,13.446036087969205,4.751546382904053,4.751498699188232,4.662867069244385,6.1711106300354
145,multi_liftoff,multi_defect,large,True,False,True,False,24427.927734375,58.312255859375,0.4641449960598897,0.6340150699677072,0.41602728047740833,0.601905107498169,10.43095664808483,17.862061530224096,1.0071892738342285,4.634078502655029,0.6030793786048889,4.1880011558532715
146,multi_liftoff,rotated_rect,medium,False,False,False,False,17366.5625,43.828338623046875,0.4062140391254315,0.5777414075286416,0.0,1.1236164569854736,9.304108776612892,9.304108776612892,-1.4457310438156128,4.885516166687012,-1.5311006307601929,3.7651474475860596
147,multi_liftoff,rotated_rect,medium,False,False,True,False,14122.40625,38.5189094543457,0.5292712066905615,0.6921875,0.32020997375328086,0.4320458769798279,7.887935100303565,11.603487541373198,-1.7249374389648438,4.926485538482666,-1.7781822681427002,4.497733116149902
148,multi_liftoff,rotated_rect,medium,False,False,False,True,16845.078125,41.34341049194336,0.4544334975369458,0.6248941574936494,0.07192982456140351,0.9190308451652527,9.304108776612892,8.679774145121684,-5.131919860839844,5.1182861328125,-5.270827770233154,6.026758670806885
149,multi_liftoff,multi_defect,large,False,False,True,False,37225.63671875,66.04776000976562,0.2550382209867964,0.4064230343300111,0.540016168148747,1.738365650177002,8.664546471182874,18.836632662307935,-3.0528299808502197,5.022634506225586,-1.3364925384521484,5.298498630523682
150,multi_liftoff,polygon,small,True,False,True,False,13003.31640625,30.01324462890625,0.10623556581986143,0.19206680584551147,0.5216049382716049,0.9349958896636963,2.3602894605155456,4.933766356174431,-6.539309978485107,4.825675964355469,-6.59966516494751,3.892630100250244
151,multi_liftoff,multi_defect,large,True,False,True,False,33646.21484375,58.22554397583008,0.31791421362489486,0.4824505424377792,0.5637030247479377,1.2048444747924805,7.248372794873546,16.61339226724168,3.7355897426605225,4.795221328735352,2.8131260871887207,5.570276737213135
152,multi_liftoff,polygon,small,True,False,False,True,9436.9140625,28.877187728881836,0.4037433155080214,0.5752380952380952,0.7777777777777778,0.49338945746421814,5.11649844344015,2.8780303744350846,1.0700825452804565,5.016533851623535,0.9543750882148743,4.5369038581848145
153,multi_liftoff,multi_defect,large,False,False,True,False,31876.72265625,78.23104858398438,0.5647342995169082,0.72182772460636,0.0639569635385535,0.9351043701171875,23.846537388176415,25.475898499629082,-1.9304375648498535,5.103912830352783,-1.4381080865859985,5.898917198181152
154,multi_liftoff,multi_defect,large,False,False,True,False,14717.576171875,39.454471588134766,0.6629482071713148,0.7973167225682798,0.12992831541218638,0.647234320640564,14.786071394584482,16.994084115711928,5.3834309577941895,4.742273330688477,5.531420707702637,5.372361660003662
155,multi_liftoff,multi_defect,medium,True,False,True,False,33873.41796875,72.88240814208984,0.14663023679417123,0.255758538522637,0.263448275862069,1.2209640741348267,8.131577883324525,11.04006360563723,-0.3551465570926666,4.565126895904541,0.2785305976867676,5.6087775230407715
156,multi_liftoff,multi_defect,large,False,False,True,False,36043.09375,59.646331787109375,0.27700220426157235,0.43383199079401613,0.5030146425495263,4.369390964508057,8.786367862693353,17.679329442958377,7.541215419769287,5.360012054443359,3.25860595703125,6.22652006149292
157,multi_liftoff,polygon,small,False,False,False,True,18755.806640625,40.97561264038086,0.28994082840236685,0.44954128440366975,0.0841300191204589,1.3303178548812866,8.634091123305254,7.964073469997615,3.4980456829071045,4.964637279510498,3.09218168258667,6.231531143188477
158,multi_liftoff,multi_defect,large,False,False,True,False,20521.4296875,45.1526985168457,0.5011933174224343,0.6677265500794912,0.4520098441345365,0.30408379435539246,10.17208619112506,18.562534531409355,-4.078024864196777,5.271577835083008,-3.7739765644073486,5.276223659515381
159,multi_liftoff,polygon,small,True,False,True,False,8967.087890625,29.77237892150879,0.6582633053221288,0.793918918918919,0.08414239482200647,0.11403819918632507,4.309431724683222,4.705351247092281,-1.7080987691879272,5.043009281158447,-1.6785383224487305,5.153149604797363
160,multi_liftoff,rotated_rect,small,True,False,True,False,10384.3974609375,29.46327781677246,0.4804597701149425,0.6490683229813664,0.3007915567282322,0.6414318680763245,4.035333593784642,5.771288422808979,-0.7574665546417236,5.067657470703125,-0.8796621561050415,5.697342395782471
161,multi_liftoff,multi_defect,large,False,False,True,False,36549.73046875,68.2281265258789,0.3629764065335753,0.5326231691078562,0.009717314487632508,1.0940966606140137,17.070222485405978,17.237726898732888,2.5647640228271484,4.910568714141846,3.1160218715667725,5.8556413650512695
162,multi_liftoff,multi_defect,large,False,False,True,False,47728.4375,76.29155731201172,0.28512609366958314,0.44373247897476975,0.5242316784869976,4.051839828491211,12.258277520742027,25.76522430446647,-5.702893257141113,4.970073223114014,-1.7468547821044922,4.0941925048828125
163,multi_liftoff,multi_defect,large,False,False,True,False,41963.0,76.9401626586914,0.32195409064155384,0.4870881567230632,0.28287461773700306,0.8383564949035645,14.283558154603753,19.917797511963443,0.5530316233634949,5.1587300300598145,-0.28110721707344055,5.242717742919922
164,multi_liftoff,rotated_rect,medium,False,False,False,True,23952.46484375,47.971656799316406,0.37815126050420167,0.5487804878048781,0.22826086956521738,1.437045931816101,13.765817240684214,11.207568018964139,5.421633243560791,4.749709606170654,5.446799278259277,3.3128840923309326
165,multi_liftoff,rotated_rect,medium,True,False,True,False,11604.3779296875,30.808521270751953,0.45207956600361665,0.6226650062266501,0.5346715328467153,0.0861450806260109,3.8830568543965427,8.344765318467864,-6.351463317871094,4.882154941558838,-6.352290630340576,4.968296051025391
