model,observation_config,selected_model,split,sample_count,selection_score,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_component_mae_mm,center_xyz_euclidean_mean_mm,shape_accuracy,shape_macro_f1,center_xyz_error_p90_mm,center_xyz_error_p95_mm,center_xyz_error_max_mm,burial_depth_error_p90_mm,burial_depth_error_p95_mm,burial_depth_error_max_mm,catastrophic_failure_count,catastrophic_failure_rate,geometry_branch_failure_count,geometry_branch_failure_rate,shape_misclassified_count,full_shift_failure_count,cuboid_ellipsoid_confusion_count,cuboid_ellipsoid_confusion_rate,aspect_accuracy,elongated_aspect_confusion_count,elongated_aspect_confusion_rate,diagnostic_probe_only,input_boundary
svr_rbf_C10,dual_mag_xy_9line,False,train,20,0.13749672174453736,0.09790189564228058,0.1397298276424408,0.19293321669101715,0.013272796757519245,0.13231194019317627,0.527272641658783,1.182890772819519,1.0,1.0,1.2309776544570923,1.231152057647705,1.2316628694534302,0.14050452411174774,0.1405286192893982,0.14065486192703247,0,0.0,0,0.0,0,0,0,0.0,1.0,0,0.0,True,delta_b_derived_features_only
svr_rbf_C10,dual_mag_xy_9line,False,val,5,1.6372726456324258,0.693386435508728,0.4151836633682251,1.369215726852417,0.12327931821346283,1.2116118669509888,2.9211671352386475,6.222745895385742,0.4,0.3333333333333333,9.651684761047363,10.14151382446289,10.631343841552734,1.4475734233856201,1.4999126195907593,1.5522518157958984,4,0.8,3,0.6,3,4,3,1.0,0.6,0,0.0,True,delta_b_derived_features_only
random_forest_small,dual_mag_xy_9line,False,train,20,0.7871764063835144,0.47182825207710266,0.6030235886573792,0.8827173113822937,0.07472386211156845,0.5992580056190491,2.6084470748901367,6.093745708465576,1.0,1.0,10.146595001220703,12.10326099395752,12.125334739685059,1.0527398586273193,1.1412681341171265,1.7959959506988525,5,0.25,0,0.0,0,3,0,0.0,1.0,0,0.0,True,delta_b_derived_features_only
random_forest_small,dual_mag_xy_9line,False,val,5,1.9295681134859721,0.7971649169921875,0.8109822869300842,2.07026743888855,0.10648525506258011,1.1948076486587524,4.7251152992248535,11.987152099609375,0.4,0.3333333333333333,18.8101806640625,20.679779052734375,22.549375534057617,1.4767526388168335,1.502322793006897,1.5278929471969604,5,1.0,3,0.6,3,4,3,1.0,0.6,1,0.5,True,delta_b_derived_features_only
ridge_logreg,dual_mag_xy_9line,True,train,20,0.14465146139264107,0.11262910813093185,0.1497042179107666,0.2933559715747833,0.021234072744846344,0.10825973004102707,0.4239276051521301,0.91143798828125,1.0,1.0,1.5693554878234863,1.8776803016662598,2.335257053375244,0.27816322445869446,0.29657694697380066,0.30343514680862427,0,0.0,0,0.0,0,0,0,0.0,1.0,0,0.0,True,delta_b_derived_features_only
ridge_logreg,dual_mag_xy_9line,True,val,5,1.4695836913585665,0.7416921854019165,0.6707371473312378,1.4359239339828491,0.18276634812355042,0.9433788657188416,2.2710723876953125,4.683126449584961,0.6,0.5,5.984158992767334,5.9960103034973145,6.007861614227295,1.7106397151947021,1.8351333141326904,1.9596267938613892,4,0.8,1,0.2,2,2,2,0.6666666666666666,0.6,0,0.0,True,delta_b_derived_features_only
ridge_logreg,dual_mag_xy_9line,True,test,5,1.0626906394958497,0.5584670901298523,0.8096573948860168,1.1449036598205566,0.12387486547231674,0.6455468535423279,1.7933772802352905,3.6184680461883545,0.6,0.5,5.615748405456543,5.736121654510498,5.856494903564453,1.403329849243164,1.5922452211380005,1.7811604738235474,3,0.6,0,0.0,2,0,2,0.6666666666666666,0.8,0,0.0,True,delta_b_derived_features_only
mean_baseline,dual_mag_xy_9line_plus_mag_features,False,train,20,1.8817286328354268,0.8636579513549805,1.1959998607635498,1.5284998416900635,0.119999960064888,1.2509998083114624,4.784666538238525,11.188350677490234,0.65,0.26262626262626265,18.077360153198242,19.204975128173828,19.360200881958008,2.1299996376037598,2.1299996376037598,2.1299996376037598,19,0.95,6,0.3,7,14,4,0.23529411764705882,0.6,0,0.0,True,delta_b_derived_features_only
mean_baseline,dual_mag_xy_9line_plus_mag_features,False,val,5,2.1458232688903807,0.8881565928459167,1.3559998273849487,2.5107502937316895,0.09599989652633667,1.2419999837875366,5.069333553314209,13.121519088745117,0.0,0.0,17.2152156829834,17.232301712036133,17.249387741088867,1.7859997749328613,1.9579997062683105,2.1299996376037598,5,1.0,4,0.8,5,4,3,1.0,0.6,0,0.0,True,delta_b_derived_features_only
ridge_logreg,dual_mag_xy_9line_plus_mag_features,True,train,20,0.11162070706486701,0.08435507863759995,0.08994469046592712,0.15619443356990814,0.017684418708086014,0.09903699904680252,0.34723857045173645,0.7675624489784241,1.0,1.0,1.2868057489395142,1.3277827501296997,1.5972570180892944,0.25220927596092224,0.28516000509262085,0.3077702224254608,0,0.0,0,0.0,0,0,0,0.0,1.0,0,0.0,True,delta_b_derived_features_only
