target,feature,pearson_correlation,abs_correlation,sample_count,target_positive_count
full_shift_failure,b2_f2_shape_diff,0.041776591279086776,0.041776591279086776,360,19
full_shift_failure,feature_abs_z_max,0.04051141999762727,0.04051141999762727,360,19
full_shift_failure,f2_pred_L_mm,0.03515048120231493,0.03515048120231493,360,19
full_shift_failure,feature_outlier_count_z3,-0.029098101313097906,0.029098101313097906,360,19
full_shift_failure,f2_pred_W_mm,0.025428315795184345,0.025428315795184345,360,19
full_shift_failure,b2_f2_center_disagreement_mm,0.023436381339490355,0.023436381339490355,360,19
full_shift_failure,lwd_pairwise_mean_mm,0.023180628447188042,0.023180628447188042,360,19
full_shift_failure,lwd_pairwise_max_mm,0.017380932812487416,0.017380932812487416,360,19
full_shift_failure,delta_energy,0.01361401955410857,0.01361401955410857,360,19
full_shift_failure,f2_pred_D_mm,-0.008986087192353042,0.008986087192353042,360,19
full_shift_failure,b2_f2_burial_disagreement_mm,0.004869425994996137,0.004869425994996137,360,19
full_shift_failure,delta_abs_peak,-0.0032063574787885843,0.0032063574787885843,360,19
full_shift_failure,delta_line_energy_range,-0.00021396912378846895,0.00021396912378846895,360,19
geometry_branch_failure,b2_h2_shape_diff,0.2427929228466291,0.2427929228466291,360,7
geometry_branch_failure,h2_f2_burial_disagreement_mm,0.23534245285593322,0.23534245285593322,360,7
geometry_branch_failure,shape_disagreement_count,0.21821013307818204,0.21821013307818204,360,7
geometry_branch_failure,h2_f2_shape_diff,0.19110430532753597,0.19110430532753597,360,7
geometry_branch_failure,burial_pairwise_mean_mm,0.1632010490231983,0.1632010490231983,360,7
geometry_branch_failure,burial_pairwise_max_mm,0.16320104902319826,0.16320104902319826,360,7
geometry_branch_failure,h2_f2_center_disagreement_mm,0.1272975627247115,0.1272975627247115,360,7
geometry_branch_failure,b2_f2_shape_diff,0.10630293700769361,0.10630293700769361,360,7
geometry_branch_failure,center_pairwise_mean_mm,0.08645347339122722,0.08645347339122722,360,7
geometry_branch_failure,f2_pred_center_norm_mm,-0.07911019930345842,0.07911019930345842,360,7
geometry_branch_failure,center_pairwise_max_mm,0.0784758453180579,0.0784758453180579,360,7
geometry_branch_failure,lwd_pairwise_max_mm,-0.06771461474108487,0.06771461474108487,360,7
geometry_branch_failure,lwd_pairwise_mean_mm,-0.06240243074693918,0.06240243074693918,360,7
geometry_branch_failure,feature_abs_z_p95,-0.05142223323850583,0.05142223323850583,360,7
geometry_branch_failure,f2_pred_train_range_violation_count,-0.04253746194707282,0.04253746194707282,360,7
geometry_branch_failure,feature_abs_z_mean,-0.039716020301003206,0.039716020301003206,360,7
geometry_branch_failure,f2_pred_burial_depth_mm,0.029236459251620203,0.029236459251620203,360,7
geometry_branch_failure,feature_outlier_count_z3,-0.02648210035147431,0.02648210035147431,360,7
geometry_branch_failure,delta_line_energy_range,-0.02488475209985616,0.02488475209985616,360,7
geometry_branch_failure,f2_pred_D_mm,-0.023742490625128794,0.023742490625128794,360,7
geometry_branch_failure,b2_f2_burial_disagreement_mm,-0.019098673713948723,0.019098673713948723,360,7
geometry_branch_failure,delta_axis_energy_ratio_min,-0.016676586105145545,0.016676586105145545,360,7
geometry_branch_failure,feature_abs_z_max,-0.016227255129315835,0.016227255129315835,360,7
geometry_branch_failure,b2_f2_center_disagreement_mm,-0.01622087651621697,0.01622087651621697,360,7
geometry_branch_failure,delta_energy,-0.008939315551236221,0.008939315551236221,360,7
geometry_branch_failure,delta_abs_peak,-0.00875426104901344,0.00875426104901344,360,7
geometry_branch_failure,f2_pred_L_mm,0.006906263262941166,0.006906263262941166,360,7
geometry_branch_failure,f2_pred_W_mm,0.00556172098977725,0.00556172098977725,360,7
geometry_branch_failure,delta_axis_energy_ratio_max,-0.004551214438277725,0.004551214438277725,360,7
shape_misclassified,shape_disagreement_count,0.7584808492072763,0.7584808492072763,360,66
shape_misclassified,h2_f2_shape_diff,0.7510310160521964,0.7510310160521964,360,66
shape_misclassified,b2_h2_shape_diff,0.7325857188916852,0.7325857188916852,360,66
shape_misclassified,center_pairwise_mean_mm,0.5013445533823786,0.5013445533823786,360,66
shape_misclassified,center_pairwise_max_mm,0.4963632302137531,0.4963632302137531,360,66
shape_misclassified,burial_pairwise_max_mm,0.46915170513838406,0.46915170513838406,360,66
shape_misclassified,burial_pairwise_mean_mm,0.4691517051383839,0.4691517051383839,360,66
shape_misclassified,lwd_pairwise_mean_mm,0.4266747494146498,0.4266747494146498,360,66
shape_misclassified,lwd_pairwise_max_mm,0.4196814148230842,0.4196814148230842,360,66
shape_misclassified,b2_f2_center_disagreement_mm,0.3827145173800687,0.3827145173800687,360,66
shape_misclassified,b2_f2_burial_disagreement_mm,0.3694730684211988,0.3694730684211988,360,66
shape_misclassified,h2_f2_center_disagreement_mm,0.34890300026694104,0.34890300026694104,360,66
shape_misclassified,h2_f2_burial_disagreement_mm,0.31549741303361684,0.31549741303361684,360,66
shape_misclassified,b2_f2_shape_diff,0.2919817990348997,0.2919817990348997,360,66
shape_misclassified,feature_abs_z_mean,-0.21890397640417442,0.21890397640417442,360,66
shape_misclassified,f2_pred_train_range_violation_count,-0.19846851344660474,0.19846851344660474,360,66
shape_misclassified,feature_abs_z_p95,-0.1980910961781348,0.1980910961781348,360,66
shape_misclassified,f2_pred_center_norm_mm,-0.17649886434827358,0.17649886434827358,360,66
shape_misclassified,delta_abs_peak,0.1737287808776705,0.1737287808776705,360,66
shape_misclassified,delta_energy,0.16158765882499765,0.16158765882499765,360,66
shape_misclassified,f2_pred_D_mm,-0.08693850388884623,0.08693850388884623,360,66
shape_misclassified,feature_abs_z_max,-0.08397670185301559,0.08397670185301559,360,66
shape_misclassified,delta_line_energy_range,0.07758438208749481,0.07758438208749481,360,66
shape_misclassified,delta_axis_energy_ratio_max,-0.07475392537626004,0.07475392537626004,360,66
shape_misclassified,feature_outlier_count_z3,-0.05817424869201647,0.05817424869201647,360,66
shape_misclassified,delta_axis_energy_ratio_min,0.05037919962816378,0.05037919962816378,360,66
shape_misclassified,f2_pred_L_mm,0.024485726000385375,0.024485726000385375,360,66
shape_misclassified,f2_pred_burial_depth_mm,-0.021067903115136177,0.021067903115136177,360,66
shape_misclassified,f2_pred_W_mm,0.00659072776939092,0.00659072776939092,360,66
