seed,source_index,sample_id,split,component_types,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,true_connected_component_count,pred_connected_component_count,component_count_error,predicted_component_count_is_2,missed_component_flag,merged_component_flag,split_component_flag,largest_component_area_ratio,second_largest_component_area_ratio,component_recall_heuristic,notes,min_component_distance,min_component_distance_bin,union_mask_area,union_mask_area_bin,polygon_component_present
2026,152,sample_153,train,rotated_rect+rotated_rect,0.6,0.5969162995594713,0.7475862068965518,0.06552706552706553,2.5095190130643896,748,702,0,0.13254864513874054,0.2686540484428406,0.4012026786804199,0.0,0.9998984336853027,0.09513241052627563,2,2,0,1,0,0,0,0.5561497326203209,0.44385026737967914,1.0,multi_defect_pilot_gate_only,0.020015993605114885,near,702,medium,no
2026,153,sample_154,train,rectangular_notch+polygon,0.6,0.5697368421052632,0.7259010896898574,0.2340823970037453,5.940707133563043,659,534,0,0.11178823560476303,0.29359233379364014,0.40538057684898376,0.0,0.9996792078018188,0.08380230516195297,2,2,0,1,0,0,0,0.5053110773899848,0.4946889226100152,1.0,multi_defect_pilot_gate_only,0.02009975124224178,near,534,small,yes
2026,154,sample_155,train,rotated_rect+polygon,0.6,0.7292418772563177,0.8434237995824635,0.03956343792633015,3.188629111236776,704,733,0,0.07188186794519424,0.18379634618759155,0.2556782066822052,0.0,0.9999018907546997,0.08888965845108032,2,2,0,1,0,0,0,0.5255681818181818,0.4744318181818182,1.0,multi_defect_pilot_gate_only,0.020015993605114885,near,733,medium,yes
2026,155,sample_156,train,rectangular_notch+rectangular_notch,0.6,0.6341463414634146,0.7761194029850746,0.008995502248875561,4.437404895582814,673,667,0,0.11367590725421906,0.24697953462600708,0.36065542697906494,0.0,0.9999021291732788,0.08598930388689041,2,2,0,1,0,0,0,0.5096582466567607,0.4903417533432392,1.0,multi_defect_pilot_gate_only,0.02209072203437452,near,667,medium,no
2026,156,sample_157,train,rectangular_notch+rotated_rect,0.6,0.779134295227525,0.875857766687461,0.14467592592592593,1.3165520105207995,739,864,0,0.06756514310836792,0.15810364484786987,0.2256687879562378,9.84559743813704e-32,0.9996129870414734,0.09497691690921783,2,2,0,1,0,0,0,0.5277401894451962,0.4722598105548038,1.0,multi_defect_pilot_gate_only,0.022014540649307218,near,864,large,no
2026,157,sample_158,train,rotated_rect+rotated_rect,0.6,0.638095238095238,0.7790697674418605,0.20365535248041775,2.399262884667261,610,766,0,0.09548139572143555,0.22791391611099243,0.323395311832428,0.0,0.9999127388000488,0.0787951648235321,2,2,0,1,0,0,0,0.7245901639344262,0.2754098360655738,1.0,multi_defect_pilot_gate_only,0.02209072203437452,near,766,medium,no
2026,158,sample_159,train,rectangular_notch+polygon,0.6,0.6039473684210527,0.7530762920426579,0.39019607843137255,3.8907950043083233,709,510,0,0.10594622045755386,0.2605469822883606,0.36649319529533386,0.0,0.999901294708252,0.08796617388725281,2,2,0,1,0,0,0,0.5190409026798307,0.4809590973201692,1.0,multi_defect_pilot_gate_only,0.022014540649307218,near,510,small,yes
2026,159,sample_160,train,rotated_rect+polygon,0.6,0.7424441524310118,0.8521870286576169,0.05,2.7021035910246267,646,680,0,0.060476258397102356,0.17204272747039795,0.2325189858675003,0.0,0.9999845027923584,0.08394565433263779,2,2,0,1,0,0,0,0.6702786377708978,0.32972136222910214,1.0,multi_defect_pilot_gate_only,0.02209072203437452,near,680,medium,yes
2026,160,sample_161,val,rectangular_notch+rectangular_notch,0.6,0.6448692152917505,0.7840978593272171,0.24382384532760473,2.6696688469601995,704,931,0,0.12451058626174927,0.22361654043197632,0.3481271266937256,8.827547478232745e-34,0.9996904134750366,0.09126675873994827,2,2,0,1,0,0,0,0.5227272727272727,0.4772727272727273,1.0,multi_defect_pilot_gate_only,0.024013329631685815,medium,931,large,no
2026,161,sample_162,val,rectangular_notch+rotated_rect,0.6,0.662090813093981,0.7966963151207116,0.017632241813602016,4.290416603726662,780,794,0,0.10264045000076294,0.22075235843658447,0.3233928084373474,0.0,0.9998825788497925,0.09961877763271332,2,2,0,1,0,0,0,0.5948717948717949,0.40512820512820513,1.0,multi_defect_pilot_gate_only,0.024083189157584593,medium,794,large,no
