candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,bz_mse,composite,macro_area_composite,avg_polygon_area,invalid_count,out_of_image_count
current_forward_baseline_single_defect_mean,mean,test,signal_bin,non_low_signal,0.8,92,0.3960263655792931,0.5452677064972906,0.22590359988860298,1.1003465919714908,0.0,43.0,49.0,0.12042986285751282,0.7153904721879808,0.5525983214181011,,,
current_forward_baseline_single_defect_std,sample_std,test,signal_bin,non_low_signal,0.8,92,0.006679568698128122,0.00905347266765248,0.011961707539005655,0.04625249433086711,0.0,10.816653826391969,10.816653826391969,0.017135807244428078,0.02478806059600572,0.030119676111175667,,,
geometry_forward_screening,42,test,overall,all,0.95,138,0.357168149912915,0.5055392586293678,0.47204221898583576,1.1846295150833717,0,34,104,0.28280221873327444,0.390665189556447,0.3906651895564471,,,
geometry_forward_screening,42,test,area_bin,small,0.95,46,0.2567026597480706,0.3864456349168015,0.9708563176908858,1.3895587048128895,0,1,45,0.33941318726410036,-0.32770802302601365,0.3906651895564471,,,
geometry_forward_screening,42,test,area_bin,medium,0.95,46,0.36975075617069697,0.5247901315181605,0.3004774568567772,1.0964300616279892,0,7,39,0.3242553913074991,0.5940634308320802,0.3906651895564471,,,
geometry_forward_screening,42,test,area_bin,large,0.95,46,0.44505103381997735,0.6053820094531414,0.1447928824098441,1.0678997788092364,0,26,20,0.18473807762822378,0.9056401608632747,0.3906651895564471,,,
geometry_forward_screening,42,test,signal_bin,low_signal,0.95,46,0.2864499823006195,0.42087579748338855,0.7629028407524252,1.3111678957939148,0,10,36,0.3625984945051048,-0.05557706096841719,0.3906651895564471,,,
geometry_forward_screening,42,test,signal_bin,non_low_signal,0.95,92,0.3925272337190627,0.5478709892023572,0.32661190810254087,1.1213603247281,0,24,68,0.24290408084735923,0.6137863148188789,0.3906651895564471,,,
geometry_forward_screening,42,test,defect_type,polygon,0.95,75,0.31176276096648076,0.4513891684926651,0.638424369594573,1.2050544389088949,0,13,62,0.29992646038532256,0.12472755986457273,0.3906651895564471,,,
geometry_forward_screening,42,test,defect_type,rotated_rect,0.95,63,0.41122218437295577,0.5700036516492519,0.2739682301659103,1.1603141295767965,0,21,42,0.2624162167665504,0.7072576058562974,0.3906651895564471,,,
