model,selected_model,split,group_field,group_value,sample_count,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_mae_mm,shape_accuracy
svr_rbf_C10,svr_rbf_C10,val,aspect_bin,compact,22,0.2631682753562927,0.40254274010658264,0.40105727314949036,0.07223765552043915,0.32355740666389465,1.0929169654846191,0.9545454545454546
svr_rbf_C10,svr_rbf_C10,val,aspect_bin,elongated_x,13,0.14454004168510437,0.7958368062973022,0.3330249786376953,0.03742170333862305,0.07821398973464966,0.3616284430027008,1.0
svr_rbf_C10,svr_rbf_C10,val,aspect_bin,elongated_y,5,0.3814672827720642,0.8820095062255859,0.957915723323822,0.088165283203125,0.5279020071029663,1.1653056144714355,1.0
svr_rbf_C10,svr_rbf_C10,test,shape_type,internal_cuboid,14,0.4542246460914612,0.7469771504402161,1.2812225818634033,0.08999427407979965,0.593463122844696,2.0402071475982666,0.9285714285714286
svr_rbf_C10,svr_rbf_C10,test,shape_type,internal_ellipsoid,13,0.5954059362411499,1.3967814445495605,2.013521432876587,0.1371777355670929,0.5729396343231201,1.984324336051941,0.9230769230769231
svr_rbf_C10,svr_rbf_C10,test,shape_type,internal_sphere,13,0.1966770887374878,0.12821254134178162,0.14740155637264252,0.09777963161468506,0.23876991868019104,0.6191370487213135,1.0
svr_rbf_C10,svr_rbf_C10,test,burial_depth_level,deep,10,0.45548078417778015,0.8364365100860596,1.8131643533706665,0.12357925623655319,0.3471645414829254,1.5245399475097656,1.0
svr_rbf_C10,svr_rbf_C10,test,burial_depth_level,deep_plus,10,0.46433225274086,0.9503636360168457,0.664393961429596,0.10932520031929016,0.6194187998771667,2.0888233184814453,0.8
svr_rbf_C10,svr_rbf_C10,test,burial_depth_level,medium,10,0.3793823719024658,0.6424304842948914,0.933430016040802,0.09454658627510071,0.4990138113498688,1.3509840965270996,1.0
svr_rbf_C10,svr_rbf_C10,test,burial_depth_level,shallow,10,0.3664270043373108,0.599029541015625,1.1919224262237549,0.103985495865345,0.420473575592041,1.2764421701431274,1.0
svr_rbf_C10,svr_rbf_C10,test,size_level,large,14,0.47277089953422546,0.5629565715789795,1.4726215600967407,0.1345762014389038,0.5822975039482117,1.6665517091751099,1.0
svr_rbf_C10,svr_rbf_C10,test,size_level,medium,13,0.45601552724838257,0.8957892656326294,1.2763454914093018,0.09905306994915009,0.5288501381874084,1.690840482711792,0.9230769230769231
svr_rbf_C10,svr_rbf_C10,test,size_level,small,13,0.31609460711479187,0.8273807764053345,0.6784550547599792,0.08789298683404922,0.29488399624824524,1.3150185346603394,0.9230769230769231
svr_rbf_C10,svr_rbf_C10,test,aspect_bin,compact,22,0.2901999056339264,0.2668933868408203,0.26862624287605286,0.07883337885141373,0.4710763692855835,1.3354367017745972,0.9545454545454546
svr_rbf_C10,svr_rbf_C10,test,aspect_bin,elongated_x,4,0.42994698882102966,1.193638801574707,1.5887019634246826,0.15001584589481354,0.3424423038959503,0.9921053647994995,1.0
svr_rbf_C10,svr_rbf_C10,test,aspect_bin,elongated_y,14,0.6108598709106445,1.4025993347167969,2.4117515087127686,0.14142625033855438,0.5090899467468262,2.07570481300354,0.9285714285714286
