analysis_type,candidate,seed,selected_seed,split,liftoff_subset,sensor_z_m,metric,value,reference_candidate,reference_value,delta_vs_reference,relative_change_pct_vs_reference,improved_vs_reference,notes,best_val_selection_metric,val_nominal_profile_depth_rmse_m,val_non_nominal_profile_depth_rmse_m,val_nominal_normalized_param_mae,val_non_nominal_normalized_param_mae,test_nominal_profile_depth_rmse_m,test_non_nominal_profile_depth_rmse_m
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,non_nominal,,L_mae_mm,2.390782335152229,C0_reference_20_85_baseline,6.241229236125946,-3.8504469009737172,-61.6937265929326,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,non_nominal,,W_mae_mm,2.5267572912077108,C0_reference_20_85_baseline,3.6898963103691735,-1.1631390191614628,-31.522268414233324,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,non_nominal,,D_mae_mm,1.310405117770036,C0_reference_20_85_baseline,1.8258158404690523,-0.5154107226990163,-28.229064031266553,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,non_nominal,,wMAE_auxiliary,0.2594631264607112,C0_reference_20_85_baseline,0.22040785911182562,0.039055267348885564,17.719543897511645,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,non_nominal,,projected_mask_iou,0.6828800956899975,C0_reference_20_85_baseline,0.5510127087448574,0.1318673869451401,23.9318231417055,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,non_nominal,,projected_mask_dice,0.8013171159679189,C0_reference_20_85_baseline,0.6833513107587862,0.11796580520913269,17.26283440916279,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,all_liftoff,,profile_depth_rmse_m,0.000697073064657161,C0_reference_20_85_baseline,0.0007389971158318076,-4.192405117464659e-05,-5.673100784359261,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,all_liftoff,,er_like_profile_error,0.9581967976409942,C0_reference_20_85_baseline,1.0016460048500448,-0.043449207209050655,-4.337780712813344,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,all_liftoff,,normalized_param_mae,0.9022875605151057,C0_reference_20_85_baseline,0.9307210445404053,-0.02843348402529955,-3.054995284794505,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,all_liftoff,,L_mae_mm,2.1851996378973126,C0_reference_20_85_baseline,5.150373874465004,-2.965174236567691,-57.572019213376024,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,all_liftoff,,W_mae_mm,1.6702253548428416,C0_reference_20_85_baseline,3.26063746586442,-1.5904121110215783,-48.776109815077156,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,all_liftoff,,D_mae_mm,1.5481471326202154,C0_reference_20_85_baseline,1.5289002726785839,0.019246859941631556,1.2588695473192426,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,all_liftoff,,wMAE_auxiliary,0.2535819335025735,C0_reference_20_85_baseline,0.22195333102717996,0.031628602475393564,14.250113899628921,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,all_liftoff,,projected_mask_iou,0.7406526919157864,C0_reference_20_85_baseline,0.597953641099464,0.1426990508163224,23.864567586533973,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,all_liftoff,,projected_mask_dice,0.8374875111324139,C0_reference_20_85_baseline,0.7235027438339399,0.11398476729847407,15.754572912115469,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,nominal_0p008,,profile_depth_rmse_m,0.0008090106257441221,C0_reference_20_85_baseline,0.0003330594072394888,0.0004759512185046333,142.90279996877467,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,nominal_0p008,,er_like_profile_error,1.1353817358613014,C0_reference_20_85_baseline,0.31298541370779276,0.8223963221535087,262.758673770436,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,nominal_0p008,,normalized_param_mae,0.8915509916841984,C0_reference_20_85_baseline,0.7085845693945885,0.1829664222896099,25.82139524234004,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,nominal_0p008,,L_mae_mm,2.068677417933941,C0_reference_20_85_baseline,1.8778077894821763,0.19086962845176458,10.164492314966845,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,nominal_0p008,,W_mae_mm,1.4591864459216595,C0_reference_20_85_baseline,1.9728609323501587,-0.5136744864284992,-26.03703474509922,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,nominal_0p008,,D_mae_mm,1.7621771432459354,C0_reference_20_85_baseline,0.6381535693071783,1.1240235739387572,176.13684667768473,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,nominal_0p008,,wMAE_auxiliary,0.24154195934534073,C0_reference_20_85_baseline,0.22658974677324295,0.014952212572097778,6.598803690381026,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,nominal_0p008,,projected_mask_iou,0.7587937934291926,C0_reference_20_85_baseline,0.7387764381632839,0.020017355265908754,2.7095281105167746,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,nominal_0p008,,projected_mask_dice,0.8505624809787936,C0_reference_20_85_baseline,0.8439570430594017,0.006605437919391943,0.7826746602465431,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,non_nominal,,profile_depth_rmse_m,0.0006597605442948407,C0_reference_20_85_baseline,0.0008743096853625806,-0.00021454914106773992,-24.539261620871248,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,non_nominal,,er_like_profile_error,0.8991351515675584,C0_reference_20_85_baseline,1.2311995352307956,-0.3320643836632372,-26.970801576934466,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,non_nominal,,normalized_param_mae,0.9058664167920748,C0_reference_20_85_baseline,1.0047665362556775,-0.09890011946360266,-9.843094479654932,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,non_nominal,,L_mae_mm,2.2240403778851032,C0_reference_20_85_baseline,6.241229236125946,-4.017188858240843,-64.36534705356202,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,non_nominal,,W_mae_mm,1.740571657816569,C0_reference_20_85_baseline,3.6898963103691735,-1.9493246525526045,-52.82871085224546,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,non_nominal,,D_mae_mm,1.4768037957449753,C0_reference_20_85_baseline,1.8258158404690523,-0.349012044724077,-19.115402385511988,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,non_nominal,,wMAE_auxiliary,0.25759525822165114,C0_reference_20_85_baseline,0.22040785911182562,0.03718739910982552,16.87208398996254,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,non_nominal,,projected_mask_iou,0.7346056580779843,C0_reference_20_85_baseline,0.5510127087448574,0.18359294933312686,33.319186004135936,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,123,True,test,non_nominal,,projected_mask_dice,0.8331291878502872,C0_reference_20_85_baseline,0.6833513107587862,0.14977787709150103,21.918137088987102,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,all_liftoff,,profile_depth_rmse_m,0.0006773821414753911,C0_reference_20_85_baseline,0.0007389971158318076,-6.16149743564165e-05,-8.33764747336846,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,all_liftoff,,er_like_profile_error,0.9007486521732062,C0_reference_20_85_baseline,1.0016460048500448,-0.10089735267683864,-10.073154806017905,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,all_liftoff,,normalized_param_mae,0.9128619553521276,C0_reference_20_85_baseline,0.9307210445404053,-0.01785908918827772,-1.9188444586096824,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,all_liftoff,,L_mae_mm,2.3863788340240717,C0_reference_20_85_baseline,5.150373874465004,-2.763995040440932,-53.66591062727544,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,all_liftoff,,W_mae_mm,1.9213274174835533,C0_reference_20_85_baseline,3.26063746586442,-1.3393100483808666,-41.07509842483532,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,all_liftoff,,D_mae_mm,1.4536926401779056,C0_reference_20_85_baseline,1.5289002726785839,-0.0752076325006783,-4.9190672436022895,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,all_liftoff,,wMAE_auxiliary,0.2567682274384424,C0_reference_20_85_baseline,0.22195333102717996,0.03481489641126245,15.68568322455097,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,all_liftoff,,projected_mask_iou,0.7236637554454307,C0_reference_20_85_baseline,0.597953641099464,0.12571011434596668,21.023388053097577,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,all_liftoff,,projected_mask_dice,0.8306818275813175,C0_reference_20_85_baseline,0.7235027438339399,0.10717908374737761,14.813915311422456,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,nominal_0p008,,profile_depth_rmse_m,0.0006846498235972831,C0_reference_20_85_baseline,0.0003330594072394888,0.0003515904163577943,105.56387500713369,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,nominal_0p008,,er_like_profile_error,0.9008680433034897,C0_reference_20_85_baseline,0.31298541370779276,0.5878826295956969,187.83067959344322,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,nominal_0p008,,normalized_param_mae,0.9133473299443722,C0_reference_20_85_baseline,0.7085845693945885,0.2047627605497837,28.89743432103413,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,nominal_0p008,,L_mae_mm,2.3120659049600363,C0_reference_20_85_baseline,1.8778077894821763,0.43425811547786,23.12580222055692,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,nominal_0p008,,W_mae_mm,1.6829162016510963,C0_reference_20_85_baseline,1.9728609323501587,-0.28994473069906235,-14.69666340615643,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,nominal_0p008,,D_mae_mm,1.4665067940950394,C0_reference_20_85_baseline,0.6381535693071783,0.8283532247878611,129.80468411187863,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,nominal_0p008,,wMAE_auxiliary,0.261036928743124,C0_reference_20_85_baseline,0.22658974677324295,0.03444718196988106,15.20244515050969,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,nominal_0p008,,projected_mask_iou,0.7370706230652453,C0_reference_20_85_baseline,0.7387764381632839,-0.0017058150980385767,-0.2308973337427362,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,nominal_0p008,,projected_mask_dice,0.8434417034789532,C0_reference_20_85_baseline,0.8439570430594017,-0.0005153395804484706,-0.06106229987492368,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,non_nominal,,profile_depth_rmse_m,0.0006749595807680938,C0_reference_20_85_baseline,0.0008743096853625806,-0.00019935010459448677,-22.80085740006589,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,non_nominal,,er_like_profile_error,0.9007088551297784,C0_reference_20_85_baseline,1.2311995352307956,-0.33049068010101723,-26.842982850790694,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,non_nominal,,normalized_param_mae,0.9127001638213793,C0_reference_20_85_baseline,1.0047665362556775,-0.09206637243429816,-9.162961654494286,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,non_nominal,,L_mae_mm,2.4111498103787503,C0_reference_20_85_baseline,6.241229236125946,-3.8300794257471957,-61.36738903255861,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,non_nominal,,W_mae_mm,2.000797822761039,C0_reference_20_85_baseline,3.6898963103691735,-1.6890984876081347,-45.77631308667155,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,non_nominal,,D_mae_mm,1.449421255538861,C0_reference_20_85_baseline,1.8258158404690523,-0.3763945849301913,-20.61514510869264,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,2026,False,test,non_nominal,,wMAE_auxiliary,0.25534532700354856,C0_reference_20_85_baseline,0.22040785911182562,0.034937467891722945,15.851280454567254,False,test-final reporting only; not used for selection,,,,,,,
