group_field,group_value,split,sample_count,model_pass_rate,rbc_representable_rate,baseline_profile_depth_rmse_mean_m,baseline_profile_depth_rmse_p95_m,baseline_Er_like_mean,baseline_projected_mask_Dice_mean,baseline_projected_mask_IoU_mean,baseline_area_error_mean,total_normalized_MAE_vs_oracle_mean,L_mae_mm_vs_label_mean,W_mae_mm_vs_label_mean,D_mae_mm_vs_label_mean,component_recall_proxy_mean,merge_component_proxy_rate
topology_type,multi_component,all,16,0.0,0.0,0.0007183633569005014,0.0009936754687993208,2.7936654989702503,0.33422720299978764,0.2024194458689453,3.173946032875568,7.6038611233234406,16.264784576743843,7.699408774450422,1.8124570092651993,0.5,1.0
topology_type,single_component,all,72,0.25,1.0,0.00044586863985020015,0.0008346142124209311,2.508003495036465,0.5561927678915316,0.40918726920785414,2.049487532399796,7.1017052920328245,10.352923706360164,5.266415639693538,1.4266107754678363,1.0,0.0
topology_type,elongated,train,10,0.0,1.0,0.0005328172589645334,0.0006856009300150016,2.361644727817873,0.461317858908716,0.30148156289791184,2.0524222926017117,9.929132270812989,4.0779197987914095,8.21617000975609,1.7425990855693818,1.0,0.0
topology_type,irregular,train,9,0.1111111111111111,1.0,0.00044789125625710913,0.0006187820674211689,2.1576874491579443,0.5723696635739375,0.41458193371385565,1.6884923997446788,10.081487337748209,9.557902304000326,4.855311217937204,1.527046917254726,1.0,0.0
topology_type,multi_component,train,9,0.0,0.0,0.000727914231883712,0.0009699724536686989,3.153392045745844,0.3319858334253243,0.2008979210715428,3.5483272018546668,8.321750031577217,16.821502613690164,8.037599765261014,1.9487842955109147,0.5,1.0
topology_type,single_component,train,44,0.25,1.0,0.0004712384328691295,0.000838604372687141,2.9569314777292486,0.5295528372066617,0.3843339568692887,2.3024775841809237,7.3670060485601425,10.873467430844903,5.5531207017329605,1.628026971127838,1.0,0.0
topology_type,elongated,val,3,0.0,1.0,0.0004074467510252258,0.0004275184945471442,1.34863818389557,0.47977820015555867,0.31618740295083997,1.6589683296378375,9.895757675170898,3.4744645824035008,7.9249026247461645,1.3302222407112518,1.0,0.0
topology_type,irregular,val,4,0.25,1.0,0.0005849781693377999,0.0006482113310684048,2.78901207218604,0.5824731823595125,0.43147895201132314,1.7426498483893726,10.104320287704468,10.207608273625375,4.462245997488498,2.352332566212863,1.0,0.0
topology_type,multi_component,val,3,0.0,0.0,0.0005205416515546075,0.0005732261606727932,2.50929634021375,0.35853834173857496,0.22007065992424882,1.8519855050945828,10.043976465861002,13.014787004391353,6.212104845046998,1.630368473008275,0.5,1.0
topology_type,single_component,val,14,0.2857142857142857,1.0,0.000407985178567818,0.0006604317763319282,2.3820104708362524,0.6028062738478775,0.46234925988631687,1.7935624125814311,6.705655642918178,9.41098777481488,4.833665631413461,1.4889838580840402,1.0,0.0
topology_type,elongated,test,3,0.0,1.0,0.0004715845697746074,0.0005225926104434441,0.9505260879912432,0.5001754098088985,0.3340724912685171,1.3531028425765268,9.65760866800944,3.1463618357976273,7.633415112257004,0.5070147393892208,1.0,0.0
topology_type,irregular,test,3,0.6666666666666666,1.0,0.000304723958370679,0.0004943937416527938,0.8234356731903915,0.6947336634473201,0.5536430232185111,1.0504239392374863,9.86648178100586,7.546010127663611,3.517417662044366,0.5046622787912686,1.0,0.0
topology_type,multi_component,test,4,0.0,0.0,0.0008452401671976983,0.0009689406232283181,2.1975576377925385,0.32103693048823967,0.1926044661216233,3.323058798508335,4.158524572849274,17.449667172878982,8.053956992179156,1.642287017405033,0.5,1.0
topology_type,single_component,test,14,0.21428571428571427,1.0,0.00040401846593023257,0.0005148236632641018,1.2230800022022168,0.5933047583733485,0.4341356887363118,1.5103010609060448,6.663952563490186,9.658865075239115,4.7980925958497185,0.7312153636344841,1.0,0.0
representation_target,component_set,all,16,0.0,0.0,0.0007183633569005014,0.0009936754687993208,2.7936654989702503,0.33422720299978764,0.2024194458689453,3.173946032875568,7.6038611233234406,16.264784576743843,7.699408774450422,1.8124570092651993,0.5,1.0
representation_target,depth_grid,all,16,0.25,1.0,0.0004553191161735761,0.000640555094549803,2.0653463969210524,0.5978387932465905,0.44488014257034547,1.582393925560754,10.046882033348083,9.343099013343455,4.5061898710951205,1.541671209782362,1.0,0.0
representation_target,polygon_or_contour,all,48,0.22916666666666666,1.0,0.00042423876991182235,0.0006909458789230023,1.549992379635583,0.5584896115305659,0.4035360583326664,1.6804546029080487,9.906603594621023,7.79926154029866,5.880577976002048,1.4437382011363902,1.0,0.0
representation_target,profile_basis,all,16,0.25,1.0,0.00047975019436148495,0.0008032990097338218,3.086084566252422,0.5591292713575559,0.4210122662136537,2.1410791404731793,10.111354351043701,10.21478918408975,5.123935136105866,1.494485573656857,1.0,0.0
representation_target,six_param_rbc,all,24,0.125,1.0,0.0005011810231545006,0.000893322544232241,3.6380501855799143,0.49355620883261464,0.3467146514673433,2.591852149512013,1.3323150252302487,11.17712513419489,5.9903280975297095,1.3517697831926245,1.0,0.0
representation_target,component_set,train,9,0.0,0.0,0.000727914231883712,0.0009699724536686989,3.153392045745844,0.3319858334253243,0.2008979210715428,3.5483272018546668,8.321750031577217,16.821502613690164,8.037599765261014,1.9487842955109147,0.5,1.0
representation_target,depth_grid,train,9,0.1111111111111111,1.0,0.00044789125625710913,0.0006187820674211689,2.1576874491579443,0.5723696635739375,0.41458193371385565,1.6884923997446788,10.081487337748209,9.557902304000326,4.855311217937204,1.527046917254726,1.0,0.0
representation_target,polygon_or_contour,train,30,0.16666666666666666,1.0,0.0004512324770155274,0.0007129179271456365,1.930301288404991,0.530565022051008,0.37415550878578213,1.9060252085816722,9.965011978149414,8.36413910895586,6.217134821254015,1.6797215128690004,1.0,0.0
representation_target,profile_basis,train,10,0.3,1.0,0.0005316684107885615,0.000814029518688871,3.982913852971291,0.5312167786017701,0.39477779532094753,2.4134883028292355,10.151085472106933,10.842067518383264,5.337931797355415,1.8402984738722445,1.0,0.0
representation_target,six_param_rbc,train,14,0.21428571428571427,1.0,0.0005149289441096854,0.0008877547466151303,3.9988039368859303,0.47745606990230954,0.3395047510317773,2.894114096016801,1.641312484230314,11.419065463755812,6.186117740188327,1.4474676757518736,1.0,0.0
representation_target,component_set,val,3,0.0,0.0,0.0005205416515546075,0.0005732261606727932,2.50929634021375,0.35853834173857496,0.22007065992424882,1.8519855050945828,10.043976465861002,13.014787004391353,6.212104845046998,1.630368473008275,0.5,1.0
representation_target,depth_grid,val,4,0.25,1.0,0.0005849781693377999,0.0006482113310684048,2.78901207218604,0.5824731823595125,0.43147895201132314,1.7426498483893726,10.104320287704468,10.207608273625375,4.462245997488498,2.352332566212863,1.0,0.0
representation_target,polygon_or_contour,val,9,0.3333333333333333,1.0,0.00034592050272567727,0.00045930352888596914,1.051280409180966,0.6057771371813375,0.45689248584592757,1.3918101927368043,9.856924480862087,6.745354953408242,5.288608384450277,1.4225927797870501,1.0,0.0
representation_target,profile_basis,val,3,0.3333333333333333,1.0,0.0004270188289417223,0.0005224454939232507,2.095736620387492,0.6015705963485727,0.48812169013337386,2.0569863522243654,10.098737398783365,9.113385926683742,5.2136871000130975,1.320552551249663,1.0,0.0
representation_target,six_param_rbc,val,5,0.0,1.0,0.0005079583483337734,0.0008275069759515177,4.329065519920614,0.5243832821318408,0.369010880849497,2.2779055947498414,0.9115839004516602,10.82577404677868,5.6414979907870295,1.6142896126955748,1.0,0.0
representation_target,component_set,test,4,0.0,0.0,0.0008452401671976983,0.0009689406232283181,2.1975576377925385,0.32103693048823967,0.1926044661216233,3.323058798508335,4.158524572849274,17.449667172878982,8.053956992179156,1.642287017405033,0.5,1.0
representation_target,depth_grid,test,3,0.6666666666666666,1.0,0.000304723958370679,0.0004943937416527938,0.8234356731903915,0.6947336634473201,0.5536430232185111,1.0504239392374863,9.86648178100586,7.546010127663611,3.517417662044366,0.5046622787912686,1.0,0.0
representation_target,polygon_or_contour,test,9,0.3333333333333333,1.0,0.00041257801341895007,0.0005093371904975517,0.7810079875255053,0.6042840508116538,0.448114795975687,1.2171969941672116,9.761588096618652,6.9702428983317475,5.350691416713927,0.6782725833770301,1.0,0.0
representation_target,profile_basis,test,3,0.0,1.0,0.00035942083835765874,0.0004533486538687077,1.0870015563877893,0.6097295888858244,0.44135107860295403,1.3171413875351379,9.991534233093262,9.225264660517373,4.320860968033473,0.5157089286794264,1.0,0.0
representation_target,six_param_rbc,test,5,0.0,1.0,0.0004559095193007104,0.0005414225131259787,1.9369243475823708,0.507809524538243,0.3446061433047742,2.0594652540607776,0.8878532648086548,10.851043298840523,5.790947204828262,0.8212958545237778,1.0,0.0
