model,selected,split,threshold,selection_score,sample_count,high_risk_count,bad_tail_count,catastrophic_failure_count,geometry_branch_failure_count,high_risk_precision,bad_tail_recall,catastrophic_failure_recall,geometry_branch_failure_recall,false_alarm_rate,coverage_retained,center_p95_reduction_mm,burial_p95_reduction_mm
logistic_regression_balanced,False,val,0.3,7.680930219388421,60,24,23,2,1,0.7083333333333334,0.7391304347826086,0.5,1.0,0.1891891891891892,0.6,1.992317724227905,0.5668908149003979
logistic_regression_balanced,False,val,0.30356468,7.789339050347673,60,23,23,2,1,0.7391304347826086,0.7391304347826086,0.5,1.0,0.16216216216216217,0.6166666666666667,2.0875923395156937,0.5809271991252909
logistic_regression_balanced,False,val,0.33175313,7.789339050347673,60,23,23,2,1,0.7391304347826086,0.7391304347826086,0.5,1.0,0.16216216216216217,0.6166666666666667,2.0875923395156937,0.5809271991252909
logistic_regression_balanced,False,val,0.33799477,7.7879674193179005,60,21,23,2,1,0.7619047619047619,0.6956521739130435,0.5,1.0,0.13513513513513514,0.65,2.278141570091245,0.3214366853237145
logistic_regression_balanced,False,val,0.35,7.7879674193179005,60,21,23,2,1,0.7619047619047619,0.6956521739130435,0.5,1.0,0.13513513513513514,0.65,2.278141570091245,0.3214366853237145
logistic_regression_balanced,False,val,0.35068769388008,7.7879674193179005,60,21,23,2,1,0.7619047619047619,0.6956521739130435,0.5,1.0,0.13513513513513514,0.65,2.278141570091245,0.3214366853237145
logistic_regression_balanced,False,val,0.37426027,7.7879674193179005,60,21,23,2,1,0.7619047619047619,0.6956521739130435,0.5,1.0,0.13513513513513514,0.65,2.278141570091245,0.3214366853237145
logistic_regression_balanced,False,val,0.39999999999999997,7.884730699996341,60,20,23,2,1,0.8,0.6956521739130435,0.5,1.0,0.10810810810810811,0.6666666666666666,2.3734161853790336,0.33889086842537
logistic_regression_balanced,False,val,0.44999999999999996,7.884730699996341,60,20,23,2,1,0.8,0.6956521739130435,0.5,1.0,0.10810810810810811,0.6666666666666666,2.3734161853790336,0.33889086842537
logistic_regression_balanced,False,val,0.49999999999999994,7.884730699996341,60,20,23,2,1,0.8,0.6956521739130435,0.5,1.0,0.10810810810810811,0.6666666666666666,2.3734161853790336,0.33889086842537
logistic_regression_balanced,False,val,0.51694723,7.835195508289351,60,19,23,2,1,0.7894736842105263,0.6521739130434783,0.5,1.0,0.10810810810810811,0.6833333333333333,2.468690800666809,0.356345051527023
logistic_regression_balanced,False,val,0.5499999999999999,7.835195508289351,60,19,23,2,1,0.7894736842105263,0.6521739130434783,0.5,1.0,0.10810810810810811,0.6833333333333333,2.468690800666809,0.356345051527023
logistic_regression_balanced,False,val,0.6,7.835195508289351,60,19,23,2,1,0.7894736842105263,0.6521739130434783,0.5,1.0,0.10810810810810811,0.6833333333333333,2.468690800666809,0.356345051527023
logistic_regression_balanced,False,val,0.62061887,7.835195508289351,60,19,23,2,1,0.7894736842105263,0.6521739130434783,0.5,1.0,0.10810810810810811,0.6833333333333333,2.468690800666809,0.356345051527023
logistic_regression_balanced,False,val,0.6322051919077825,7.9086785021788515,60,18,23,2,1,0.8333333333333334,0.6521739130434783,0.5,1.0,0.08108108108108109,0.7,2.4790994405746467,0.3655440628528599
logistic_regression_balanced,False,val,0.65,7.9086785021788515,60,18,23,2,1,0.8333333333333334,0.6521739130434783,0.5,1.0,0.08108108108108109,0.7,2.4790994405746467,0.3655440628528599
logistic_regression_balanced,False,val,0.65923994,7.9086785021788515,60,18,23,2,1,0.8333333333333334,0.6521739130434783,0.5,1.0,0.08108108108108109,0.7,2.4790994405746467,0.3655440628528599
logistic_regression_balanced,False,val,0.7,7.833821761294692,60,17,23,2,1,0.8235294117647058,0.6086956521739131,0.5,1.0,0.08108108108108109,0.7166666666666667,2.4895080804824827,0.36657802462577793
logistic_regression_balanced,False,val,0.71138882,7.906284123990075,60,16,23,2,1,0.875,0.6086956521739131,0.5,1.0,0.05405405405405406,0.7333333333333333,2.4999167203903196,0.3716945111751553
logistic_regression_balanced,False,val,0.75,7.906284123990075,60,16,23,2,1,0.875,0.6086956521739131,0.5,1.0,0.05405405405405406,0.7333333333333333,2.4999167203903196,0.3716945111751553
