source_index,sample_id,split,defect_type,angle_deg,vertex_count,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,notes
68,rect_0069,train,rectangular_notch,0.0,0,0.5,0.8112745098039216,0.8958051420838972,0.03021978021978022,2.0180382112889292,375,364,0,0.026607977226376534,0.10913783311843872,0.1357458084821701,0.0,0.9999991655349731,0.04559202492237091,mixed_pilot_v6_training_gate_only
69,rect_0070,train,rectangular_notch,0.0,0,0.5,0.8823529411764706,0.9375,0.005698005698005698,0.6793021566592358,353,351,0,0.02246030978858471,0.07106518745422363,0.09352549910545349,0.0,0.9999998807907104,0.04298778623342514,mixed_pilot_v6_training_gate_only
70,rect_0071,train,rectangular_notch,0.0,0,0.5,0.9493243243243243,0.9740034662045061,0.03741496598639456,0.4186086216137633,283,294,0,0.0054341694340109825,0.029053032398223877,0.034487202763557434,0.0,1.0,0.03449099510908127,mixed_pilot_v6_training_gate_only
71,rect_0072,train,rectangular_notch,0.0,0,0.5,0.9085820895522388,0.9521016617790812,0.07706766917293233,0.6403740919220898,491,532,0,0.016074199229478836,0.05393904447555542,0.07001323997974396,0.0,1.0,0.060417838394641876,mixed_pilot_v6_training_gate_only
72,rect_0073,train,rectangular_notch,0.0,0,0.5,0.9743589743589743,0.987012987012987,0.02564102564102564,0.15543899251464444,228,234,0,0.0025110577698796988,0.018004179000854492,0.020515237003564835,0.0,1.0,0.02794099599123001,mixed_pilot_v6_training_gate_only
73,rect_0074,train,rectangular_notch,0.0,0,0.5,0.9082278481012658,0.9519071310116086,0.01644736842105263,0.3729246963704381,299,304,0,0.010494571179151535,0.05217278003692627,0.0626673549413681,0.0,1.0,0.036731377243995667,mixed_pilot_v6_training_gate_only
74,rect_0075,train,rectangular_notch,0.0,0,0.5,0.9740932642487047,0.9868766404199475,0.015625,0.08171135032529095,567,576,0,0.006156546995043755,0.026579201221466064,0.03273575007915497,0.0,1.0,0.0693829208612442,mixed_pilot_v6_training_gate_only
75,rect_0076,train,rectangular_notch,0.0,0,0.5,0.9686684073107049,0.9840848806366048,0.016042780748663103,0.24085777000952785,380,374,0,0.0036169858649373055,0.027641236782073975,0.031258221715688705,0.0,1.0,0.0462777316570282,mixed_pilot_v6_training_gate_only
76,rect_0077,train,rectangular_notch,0.0,0,0.5,0.9304635761589404,0.9639794168096055,0.05016722408026756,0.40327278939956046,568,598,0,0.013091277331113815,0.04781132936477661,0.06090260669589043,0.0,1.0,0.06989270448684692,mixed_pilot_v6_training_gate_only
77,rect_0078,train,rectangular_notch,0.0,0,0.5,0.9029605263157895,0.9490060501296457,0.09703947368421052,0.5530153338164321,549,608,0,0.02016485296189785,0.0557255744934082,0.0758904293179512,0.0,1.0,0.06671357154846191,mixed_pilot_v6_training_gate_only
78,rect_0079,train,rectangular_notch,0.0,0,0.5,0.94140625,0.9698189134808853,0.027777777777777776,0.364621408237741,490,504,0,0.0073883673176169395,0.03916901350021362,0.04655738174915314,0.0,1.0,0.05928347632288933,mixed_pilot_v6_training_gate_only
79,rect_0080,train,rectangular_notch,0.0,0,0.5,0.8833693304535637,0.9380733944954128,0.01818181818181818,0.9224471687579299,432,440,0,0.01777638867497444,0.07513415813446045,0.09291054308414459,0.0,1.0,0.05339757353067398,mixed_pilot_v6_training_gate_only
120,rot_0001,train,rotated_rect,20.0,0,0.5,0.857707509881423,0.9234042553191489,0.041666666666666664,0.2496387328809786,230,240,0,0.013833975419402122,0.08401221036911011,0.09784618765115738,0.0,1.0,0.028084903955459595,mixed_pilot_v6_training_gate_only
121,rot_0002,train,rotated_rect,-30.0,0,0.5,0.8258706467661692,0.9046321525885559,0.04267161410018553,1.5550607499864333,562,539,0,0.03543738275766373,0.1093820333480835,0.14481940865516663,0.0,0.9999991655349731,0.06880006939172745,mixed_pilot_v6_training_gate_only
122,rot_0003,train,rotated_rect,-20.0,0,0.5,0.9322916666666666,0.9649595687331537,0.0125,0.3391402322926352,553,560,0,0.012254685163497925,0.04008108377456665,0.052335768938064575,0.0,1.0,0.06770516186952591,mixed_pilot_v6_training_gate_only
123,rot_0004,train,rotated_rect,10.0,0,0.5,0.9092495636998255,0.9524680073126143,0.04642857142857143,0.10233422310298274,534,560,0,0.01566079631447792,0.054501354694366455,0.07016214728355408,0.0,1.0,0.0654335767030716,mixed_pilot_v6_training_gate_only
124,rot_0005,train,rotated_rect,30.0,0,0.5,0.8326530612244898,0.9086859688195991,0.12916666666666668,0.2987130748443666,209,240,0,0.024835312739014626,0.09498608112335205,0.11982139199972153,0.0,1.0,0.02538134530186653,mixed_pilot_v6_training_gate_only
125,rot_0006,train,rotated_rect,20.0,0,0.5,0.833916083916084,0.909437559580553,0.06099815157116451,1.1948275140874265,508,541,0,0.03964201360940933,0.09315323829650879,0.13279524445533752,0.0,1.0,0.06249048560857773,mixed_pilot_v6_training_gate_only
