sample_id,split,defect_type,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,notes
sample_060,train,rectangular_notch,0.6,0.7902869757174393,0.8828606658446363,0.24653739612188366,1.2626153534882283,450,361,0,0.03070448338985443,0.13416141271591187,0.1648658961057663,0.0,0.9999996423721313,0.055584244430065155,pilot_v2_training_gate_only
sample_061,train,rectangular_notch,0.6,0.7662337662337663,0.8676470588235294,0.17848970251716248,1.5405108634560338,515,437,0,0.03953040763735771,0.1469888687133789,0.18651928007602692,0.0,0.9999995231628418,0.06365697830915451,pilot_v2_training_gate_only
sample_062,train,rectangular_notch,0.6,0.7962085308056872,0.8865435356200527,0.15422077922077923,2.3865418699512264,521,616,0,0.04118594899773598,0.11831742525100708,0.15950337052345276,0.0,0.9999997615814209,0.06575042009353638,pilot_v2_training_gate_only
sample_063,train,rectangular_notch,0.6,0.8943248532289628,0.9442148760330579,0.016666666666666666,0.8275264062068542,488,480,0,0.01936315931379795,0.07568556070327759,0.09504871815443039,0.0,0.9999998807907104,0.06003184616565704,pilot_v2_training_gate_only
sample_064,train,rectangular_notch,0.6,0.9592233009708738,0.979187314172448,0.001984126984126984,0.29793426620270597,505,504,0,0.010264801792800426,0.05916506052017212,0.06942985951900482,0.0,0.9999998807907104,0.06282135844230652,pilot_v2_training_gate_only
sample_065,train,rectangular_notch,0.6,0.9026548672566371,0.9488372093023256,0.015384615384615385,1.0267182625360267,320,325,0,0.008577688597142696,0.06611120700836182,0.07468889653682709,0.0,1.0,0.04060759395360947,pilot_v2_training_gate_only
sample_066,train,rectangular_notch,0.6,0.8333333333333334,0.9090909090909091,0.09090909090909091,1.3707725731131581,528,484,0,0.03219228237867355,0.10662990808486938,0.13882219791412354,0.0,1.0,0.06666161119937897,pilot_v2_training_gate_only
sample_067,train,rectangular_notch,0.6,0.9043151969981238,0.9497536945812808,0.10144927536231885,0.806007497720317,532,483,0,0.015207360498607159,0.08158546686172485,0.09679282456636429,0.0,1.0,0.06673985719680786,pilot_v2_training_gate_only
sample_068,train,rectangular_notch,0.6,0.748730964467005,0.8563134978229318,0.08611111111111111,0.4615709437025204,329,360,0,0.03823027387261391,0.1491672396659851,0.18739750981330872,0.0,1.0,0.04075608402490616,pilot_v2_training_gate_only
sample_069,train,rectangular_notch,0.6,0.7393483709273183,0.8501440922190202,0.09340659340659341,3.3435051413054104,330,364,0,0.05391410365700722,0.16509002447128296,0.21900412440299988,0.0,0.9999953508377075,0.040690794587135315,pilot_v2_training_gate_only
