seed,source_index,sample_id,split,component_types,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,true_connected_component_count,pred_connected_component_count,component_count_error,predicted_component_count_is_2,missed_component_flag,merged_component_flag,split_component_flag,largest_component_area_ratio,second_largest_component_area_ratio,component_recall_heuristic,notes,predicted_component_count_is_3,extra_fragment_flag,third_largest_component_area_ratio,min_component_distance,min_component_distance_bin,union_mask_area,union_mask_area_bin
42,31,sample_032,train,rotated_rect+rotated_rect+rotated_rect,0.4,0.594855305466238,0.7459677419354839,0.0709812108559499,5.0978819588740345,513,479,0,0.09919498860836029,0.2654781937599182,0.3646731972694397,0.0,0.9999951124191284,0.060168635100126266,3,3,0,0,0,0,0,0.3567251461988304,0.3255360623781676,1.0,multi_defect_pilot_gate_only,1,0,0.31773879142300193,0.018704010265181103,far,479,medium
42,32,sample_033,train,rectangular_notch+rectangular_notch+rectangular_notch,0.4,0.5233644859813084,0.6871165644171779,0.050314465408805034,5.439279763477706,501,477,0,0.0901908278465271,0.34254956245422363,0.43274039030075073,2.6929565818287296e-28,0.9990562796592712,0.058104854077100754,3,3,0,0,0,0,0,0.36726546906187624,0.3213572854291417,1.0,multi_defect_pilot_gate_only,1,0,0.31137724550898205,0.015984054554461453,near,477,medium
42,33,sample_034,train,rectangular_notch+rectangular_notch+rotated_rect,0.4,0.7222222222222222,0.8387096774193549,0.12875536480686695,2.2789257966279357,526,466,0,0.039871785789728165,0.20621764659881592,0.24608942866325378,5.8615692903753214e-30,0.9984311461448669,0.062293145805597305,3,3,0,0,0,0,0,0.3897338403041825,0.33840304182509506,1.0,multi_defect_pilot_gate_only,1,0,0.2718631178707224,0.015984054554461453,near,466,medium
42,34,sample_035,train,rectangular_notch+rotated_rect+rotated_rect,0.4,0.5979899497487438,0.7484276729559748,0.09210526315789473,2.668697596053322,498,456,0,0.0778016522526741,0.26695770025253296,0.34475934505462646,0.0,0.9999725818634033,0.057968270033597946,3,3,0,0,0,0,0,0.3634538152610442,0.3273092369477912,1.0,multi_defect_pilot_gate_only,1,0,0.3092369477911647,0.015984054554461453,near,456,medium
42,35,sample_036,train,rotated_rect+rotated_rect+rotated_rect,0.4,0.7918781725888325,0.8838526912181303,0.013307984790874524,1.0603045444889287,533,526,0,0.04133680835366249,0.13561612367630005,0.17695292830467224,0.0,0.9999997615814209,0.06279569864273071,3,3,0,0,0,0,0,0.399624765478424,0.30956848030018763,1.0,multi_defect_pilot_gate_only,1,0,0.29080675422138835,0.015984054554461453,near,526,large
42,36,sample_037,train,rectangular_notch+rectangular_notch+rectangular_notch,0.4,0.5518867924528302,0.7112462006079028,0.27419354838709675,3.39824047343812,553,434,0,0.08946117013692856,0.307495653629303,0.39695683121681213,6.979057184611699e-36,0.9994914531707764,0.06444118171930313,3,3,0,0,0,0,0,0.3453887884267631,0.3291139240506329,1.0,multi_defect_pilot_gate_only,1,0,0.325497287522604,0.017,medium,434,small
42,37,sample_038,train,rectangular_notch+rectangular_notch+rotated_rect,0.4,0.5170648464163823,0.6816647919010124,0.015873015873015872,2.2592182717605924,448,441,0,0.08783247321844101,0.3343328833580017,0.4221653640270233,4.953333452160976e-35,0.9997195601463318,0.0529099777340889,3,3,0,0,0,0,0,0.34375,0.3325892857142857,1.0,multi_defect_pilot_gate_only,1,0,0.3236607142857143,0.017,medium,441,small
42,38,sample_039,train,rectangular_notch+rotated_rect+rotated_rect,0.4,0.5297805642633229,0.6926229508196722,0.09375,2.126954131579447,464,512,0,0.2123124599456787,0.3263373374938965,0.5386497974395752,0.0,0.9999960660934448,0.05512585863471031,3,4,1,0,0,0,1,0.3577586206896552,0.3254310344827586,1.0,multi_defect_pilot_gate_only,0,1,0.3146551724137931,0.017,medium,512,large
42,39,sample_040,train,rotated_rect+rotated_rect+rotated_rect,0.4,0.5244444444444445,0.6880466472303207,0.0872210953346856,3.0835559102860386,536,493,0,0.11213548481464386,0.3182472586631775,0.43038272857666016,9.577420579383726e-35,0.999969482421875,0.06384259462356567,3,3,0,0,0,0,0,0.36007462686567165,0.3208955223880597,1.0,multi_defect_pilot_gate_only,1,0,0.31902985074626866,0.017,medium,493,large
42,40,sample_041,val,rectangular_notch+rectangular_notch+rectangular_notch,0.4,0.7190388170055453,0.8365591397849462,0.17289719626168223,1.9997248434016952,502,428,0,0.04457375407218933,0.1839226484298706,0.22849640250205994,0.0,0.9999927282333374,0.05868883058428764,3,3,0,0,0,0,0,0.39641434262948205,0.3107569721115538,1.0,multi_defect_pilot_gate_only,1,0,0.29282868525896416,0.01714322023425004,medium,428,small
