sample_id,source_index,split,defect_type,source_pack,threshold,iou,dice,area_error,center_error_px,pred_area,true_area,pred_area_zero,type_prob_rectangular_notch,type_prob_rotated_rect,pred_defect_type,type_correct,true_center_x,true_center_y,pred_center_x,pred_center_y,center_mae_m,true_width,pred_width,width_abs_error_m,true_length,pred_length,length_abs_error_m,true_depth,pred_depth,depth_abs_error_m,true_angle_deg,pred_angle_deg,angle_abs_error_deg,sin_cos_error,notes
rect_p2_0052,51,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.483695652173913,0.652014652014652,0.5163043478260869,3.165589510640961,356.0,736.0,0.0,0.7842403650283813,0.21575966477394104,rectangular_notch,1.0,-0.0022499999031424522,0.0010000000474974513,-0.0009874718962237239,0.00022322178119793534,0.0014823499732686133,0.014999999664723873,0.012018175795674324,0.002981823869049549,0.009999999776482582,0.00745736388489604,0.002542635891586542,0.0024999999441206455,0.0019346449989825487,0.0005653549451380968,0.0,0.0,nan,0.0,
rect_p2_0053,52,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.5706521739130435,0.726643598615917,0.3,3.2015621187164243,357.0,510.0,0.0,0.7831331491470337,0.2168668806552887,rectangular_notch,1.0,-0.0022499999031424522,-0.0005000000237487257,-0.0007886124076321721,0.0002096822572639212,0.0016245929867728702,0.010999999940395355,0.012105097062885761,0.001105097122490406,0.009499999694526196,0.007504651788622141,0.0019953479059040546,0.0015999999595806003,0.0019354087999090552,0.00033540884032845497,0.0,0.0,nan,0.0,
rect_p2_0054,53,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.6157635467980296,0.7621951219512195,0.3842364532019704,2.0929783138442235,375.0,609.0,0.0,0.7906934022903442,0.20930661261081696,rectangular_notch,1.0,-0.001500000013038516,-0.0005000000237487257,-0.0017530338373035192,0.0002175365516450256,0.0007608448011807928,0.013000000268220901,0.01250367984175682,0.0004963204264640808,0.008999999612569809,0.007658471819013357,0.0013415277935564518,0.0010000000474974513,0.0016193862538784742,0.0006193862063810229,0.0,0.0,nan,0.0,
rect_p2_0055,54,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.7663934426229508,0.8677494199535963,0.02823529411764706,2.133023863847522,437.0,425.0,0.0,0.7245954275131226,0.27540460228919983,rectangular_notch,1.0,0.003000000026077032,0.0005000000237487257,0.0018951728707179427,-2.7908277843380347e-05,0.0012244714145279133,0.010999999940395355,0.013709047809243202,0.002709047868847847,0.00800000037997961,0.007982173003256321,1.782737672328949e-05,0.0015999999595806003,0.0018464435124769807,0.0002464435528963804,0.0,0.0,nan,0.0,
rect_p2_0056,55,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.5894941634241245,0.7417380660954712,0.1473922902494331,4.0577820656101435,376.0,441.0,0.0,0.7822574973106384,0.21774248778820038,rectangular_notch,1.0,0.000750000006519258,-0.0005000000237487257,-0.0010662415297701955,0.00021822737471666187,0.0019530959871323788,0.013000000268220901,0.012253045104444027,0.0007469551637768745,0.006500000134110451,0.007555002346634865,0.001055002212524414,0.002199999988079071,0.001835550065152347,0.00036444992292672396,0.0,0.0,nan,0.0,
rect_p2_0057,56,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.7357859531772575,0.8477842003853564,0.26421404682274247,0.5,440.0,598.0,0.0,0.756405234336853,0.24359473586082458,rectangular_notch,1.0,0.0022499999031424522,0.0,0.0018632166320458055,-1.3315409887582064e-05,0.0003870124015334605,0.014999999664723873,0.013594059273600578,0.0014059403911232948,0.00800000037997961,0.007994144223630428,5.856156349182129e-06,0.0010000000474974513,0.0018963206093758345,0.0008963205618783832,0.0,0.0,nan,0.0,
rect_p2_0058,57,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.53125,0.6938775510204082,0.46875,1.118033988749895,357.0,672.0,0.0,0.7805084586143494,0.21949152648448944,rectangular_notch,1.0,-0.001500000013038516,0.0,-0.0008440917590633035,0.00020464825502131134,0.0006870928219069674,0.013000000268220901,0.012322467751801014,0.0006775325164198875,0.009999999776482582,0.007592798210680485,0.0024072015658020973,0.0015999999595806003,0.0018461011350154877,0.0002461011754348874,0.0,0.0,nan,0.0,
rect_p2_0060,59,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.6938775510204082,0.8192771084337349,0.06925207756232687,2.5216517902122297,386.0,361.0,0.0,0.7862529158592224,0.21374711394309998,rectangular_notch,1.0,0.001500000013038516,-0.0005000000237487257,0.00035486972774378955,0.00012716049968730658,0.001305623852437278,0.012000000104308128,0.012219025753438473,0.0002190256491303444,0.006000000052154064,0.007528270129114389,0.0015282700769603252,0.0024999999441206455,0.0020905358251184225,0.000409464119002223,0.0,0.0,nan,0.0,
rect_p2_0061,60,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.7645875251509054,0.8665906499429875,0.006864988558352402,1.5811388300841898,440.0,437.0,0.0,0.766187310218811,0.23381271958351135,rectangular_notch,1.0,0.0022499999031424522,-0.0005000000237487257,0.0016503377119079232,6.278676664805971e-06,0.0007848011692765036,0.014000000432133675,0.013325026258826256,0.0006749741733074188,0.006000000052154064,0.007895130664110184,0.0018951306119561195,0.0015999999595806003,0.0019444335484877229,0.0003444335889071226,0.0,0.0,nan,0.0,
rect_p2_0062,61,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.6273584905660378,0.7710144927536232,0.3198051948051948,3.9991658012238425,419.0,616.0,0.0,0.7354808449745178,0.26451918482780457,rectangular_notch,1.0,0.003000000026077032,0.0010000000474974513,0.001766105997376144,-2.2569347493117675e-05,0.0016025425390777887,0.014000000432133675,0.013414328917860985,0.0005856715142726898,0.008999999612569809,0.007797242142260075,0.0012027574703097343,0.002199999988079071,0.0019030373077839613,0.00029696268029510975,0.0,0.0,nan,0.0,
rect_p2_0064,63,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.8353174603174603,0.9102702702702703,0.16468253968253968,0.5451720392687124,421.0,504.0,0.0,0.6968457102775574,0.30315425992012024,rectangular_notch,1.0,0.0022499999031424522,0.0,0.0017184173921123147,-2.5838799047050998e-05,0.0005322101178757316,0.013000000268220901,0.013578575104475021,0.0005785748362541199,0.007499999832361937,0.007878147065639496,0.0003781472332775593,0.0024999999441206455,0.0018243002705276012,0.0006756996735930443,0.0,0.0,nan,0.0,
