candidate,split,liftoff_subset,sample_count,normalized_param_mae,dimension_mae_norm,curvature_mae_norm,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,wMAE_auxiliary,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m,er_like_profile_error,max_depth_error_m,volume_proxy_rel_error,seed,selected_seed,best_epoch,best_val_selection_metric
C1_unconditioned_liftoff_aug,train,nominal_0p008,32,0.3041461689863354,0.2528025764040649,0.35548976628342643,1.226559595670551,1.0172089498955756,0.39353819127427414,0.08494001440703869,0.08182531781494617,0.07054144330322742,0.07910225837258622,0.8773159913747219,0.9311394762360701,0.00018506174512822327,0.185159015993122,0.0003935381901101209,0.30095259087342174,42,False,23,0.949584373831749
C1_unconditioned_liftoff_aug,train,non_nominal,96,0.3241264943111067,0.28351604208971065,0.3647369493022173,1.4416773055369656,1.3044295953198646,0.3825627928211664,0.08793272512654464,0.0805634210507075,0.07493375924726327,0.0811433015660441,0.8485013779940385,0.9136238199417724,0.00018408735076983854,0.16592845800914802,0.00038256279488753836,0.3006920579204108,42,False,23,0.949584373831749
C1_unconditioned_liftoff_aug,val,all_liftoff,32,0.7183167445473373,0.5840285108424723,0.8526049819774926,2.0158942686393857,1.813112040515989,1.2398468485916965,0.15864642895758152,0.22724606655538082,0.17972573265433311,0.18853941012639552,0.7353447557915189,0.8385971789883326,0.0006363891552609857,0.5674920101300813,0.0012398468461469747,0.8470671086833375,42,False,23,0.949584373831749
C1_unconditioned_liftoff_aug,val,nominal_0p008,8,0.7165551818907261,0.6627171784639359,0.7703932002186775,2.653302177786827,2.360556147992611,1.2421722523868084,0.14243042469024658,0.20206725597381592,0.16635701060295105,0.17028489662334323,0.6855175687920643,0.802665545199297,0.0006324374389805598,0.6018933933228254,0.0012421722494764253,1.160252533027207,42,False,23,0.949584373831749
C1_unconditioned_liftoff_aug,val,non_nominal,24,0.7189039320995411,0.5577989549686512,0.880008909230431,1.8034249655902386,1.630630671357115,1.2390717139933258,0.16405176371335983,0.23563900341590246,0.18418197333812714,0.1946242479607463,0.7519538181246702,0.8505743902513445,0.0006377063940211277,0.5560248823991666,0.0012390717117038246,0.7426719672353806,42,False,23,0.949584373831749
C1_unconditioned_liftoff_aug,test,all_liftoff,32,0.9231534488499165,0.6915781330317259,1.1547287749126554,2.4436390874907374,2.4613789436407387,1.3713904339820147,0.30815564654767513,0.2267047632485628,0.23784820921719074,0.25756953889504075,0.6863909674478177,0.8038494496681969,0.0006235204373297165,0.8514771128538996,0.0013713904372707475,1.461355054475583,42,False,23,0.949584373831749
C1_unconditioned_liftoff_aug,test,nominal_0p008,8,0.9315005168318748,0.7362134549766779,1.1267875209450722,2.6022093445062637,2.265243900939822,1.5543463826179504,0.31679437309503555,0.2201964259147644,0.21867553144693375,0.2518887761980295,0.6969235827212782,0.8114464507690311,0.0006978157307457877,0.9848661189898849,0.0015543464105576277,1.697536765935002,42,False,23,0.949584373831749
C1_unconditioned_liftoff_aug,test,non_nominal,24,0.9203710928559303,0.6766996923834085,1.164042526235183,2.390782335152229,2.5267572912077108,1.310405117770036,0.3052760710318883,0.2288742090264956,0.2442391018072764,0.2594631264607112,0.6828800956899975,0.8013171159679189,0.0005987553395243594,0.8070141108085712,0.0013104051128417875,1.382627817322443,42,False,23,0.949584373831749
C1_unconditioned_liftoff_aug,train,all_liftoff,128,0.15131068040500395,0.13364749307220336,0.16897386779237422,0.6219570064567961,0.751793710689526,0.15706269114161842,0.04464871855452657,0.03726488398388028,0.031271296087652445,0.03772829964509583,0.9055404288182762,0.9490970281020334,8.300278101813774e-05,0.059035131707787514,0.00015706269095971948,0.13499432296344158,123,True,27,0.8607479810714722
C1_unconditioned_liftoff_aug,train,nominal_0p008,32,0.12678872991818935,0.12147647858364508,0.1321009824750945,0.531130708521232,0.6048065724316984,0.17153456527739763,0.031750939786434174,0.03274262882769108,0.02380114421248436,0.029431571176246507,0.9166352972602931,0.9556769581157871,8.260623800993017e-05,0.06223064307414461,0.0001715345642878674,0.11765355987590534,123,True,27,0.8607479810714722
