group_field,group_value,split,sample_count,oracle_fit_success_rate,rbc_representable_rate,oracle_profile_depth_rmse_mean_m,oracle_profile_depth_rmse_p95_m,oracle_Er_like_mean,oracle_projected_mask_Dice_mean,oracle_projected_mask_IoU_mean,oracle_area_error_mean,primary_interpretation
shape_type,sharp_wall_boxy_corrosion,val,3,1.0,1.0,0.00010936315290998115,0.00011298285993765343,0.3005148390189667,0.9185956224015651,0.8494530873507999,0.13270962749466916,RBC representation adequate
shape_type,asymmetric_corrosion,test,3,1.0,1.0,0.00010806610475646042,0.00012795472000208096,0.312138139250097,0.9745735625725768,0.9504309462915601,0.01956958028922047,RBC representation adequate
shape_type,elongated_crack_like_surface_defect,test,3,1.0,1.0,0.00015741978076043312,0.00018057298670276102,0.3112726759393891,0.9200874896845246,0.852101293936037,0.11502474134053081,RBC representation adequate
shape_type,flat_bottom_pit,test,3,1.0,1.0,0.00015285473272123678,0.0002021887904024523,0.25648773143654824,0.9521449068066757,0.9087040319666091,0.10057815701810674,RBC representation adequate
shape_type,irregular_corrosion_non_rbc,test,3,1.0,1.0,0.00017781879228310625,0.00021365229485570603,0.3933320474848176,0.8984189020143653,0.8155927605639932,0.005006131974069591,RBC representation adequate
shape_type,multi_pit_two_component_surface_defect,test,4,1.0,0.0,0.00039411545241877486,0.0005519804547869628,0.9574631184011827,0.2616456426688808,0.17073091508420496,0.28156955671406303,RBC representation failure
shape_type,rbc_like_smooth_pit,test,5,1.0,1.0,5.031332102122776e-05,7.25901715308655e-05,0.2001369903819603,0.9665513521485931,0.9353252908756851,0.03494344056639135,RBC representation adequate
shape_type,sharp_wall_boxy_corrosion,test,3,1.0,1.0,0.00019058588841493052,0.00022832459511270187,0.30484632490478153,0.9196545926926114,0.8513911330019664,0.11548434217243016,RBC representation adequate
topology_type,elongated,all,16,1.0,1.0,0.00010605021444061776,0.00017980041642194226,0.30903202497230386,0.9209788156890242,0.853598694928803,0.10996044354288137,RBC representation adequate
topology_type,irregular,all,16,1.0,1.0,0.00011839952586880639,0.00021721870335033314,0.39540491433477976,0.8973080685328433,0.8137953722615016,0.01913876330085095,RBC representation adequate
topology_type,multi_component,all,16,1.0,0.0,0.00028126370737191405,0.0005033121363166146,0.9186959225628002,0.34303849580876594,0.22804941108398244,0.3670852982063319,RBC representation failure
topology_type,single_component,all,72,1.0,1.0,7.936767058673705e-05,0.00020909738437291535,0.2621701400365933,0.953738832545358,0.9123852745487651,0.0638940915744383,RBC representation adequate
topology_type,elongated,train,10,1.0,1.0,9.457385503714553e-05,0.00017160995699605077,0.3089991294518964,0.9199942084608856,0.8518933428385032,0.11593122074937423,RBC representation adequate
topology_type,irregular,train,9,1.0,1.0,0.00011137632250934174,0.00021230789539813006,0.3991426745309613,0.8961106766387803,0.8118387832999837,0.023419401016515407,RBC representation adequate
topology_type,multi_component,train,9,1.0,0.0,0.0002578012512187077,0.0004617668101499964,0.9117594682895055,0.3521540337156892,0.23483131335327295,0.3785805002935951,RBC representation failure
topology_type,single_component,train,44,1.0,1.0,7.127577944435964e-05,0.00017418511177187272,0.26530390533994963,0.9527799895130659,0.9106780653785617,0.06447904659054199,RBC representation adequate
topology_type,elongated,val,3,1.0,1.0,9.293517946570986e-05,9.865091207208013e-05,0.3069010257399101,0.9251521657873191,0.8607806028892352,0.08499355505692241,RBC representation adequate
topology_type,irregular,val,4,1.0,1.0,8.963728361687694e-05,0.00010579127264124,0.38854960403084304,0.8991690751833434,0.816849656198048,0.020106801935691955,RBC representation adequate
topology_type,multi_component,val,3,1.0,0.0,0.00020118208243571868,0.00026860875265099485,0.887815690931507,0.42421568627450984,0.2841283656091474,0.446620680600901,RBC representation failure
topology_type,single_component,val,14,1.0,1.0,6.944651456494431e-05,0.0001105727160980954,0.25584119349948914,0.9553571755523093,0.9152642930496804,0.06297736443603431,RBC representation adequate
topology_type,elongated,test,3,1.0,1.0,0.00015741978076043312,0.00018057298670276102,0.3112726759393891,0.9200874896845246,0.852101293936037,0.11502474134053081,RBC representation adequate
topology_type,irregular,test,3,1.0,1.0,0.00017781879228310625,0.00021365229485570603,0.3933320474848176,0.8984189020143653,0.8155927605639932,0.005006131974069591,RBC representation adequate
topology_type,multi_component,test,4,1.0,0.0,0.00039411545241877486,0.0005519804547869628,0.9574631184011827,0.2616456426688808,0.17073091508420496,0.28156955671406303,RBC representation failure
topology_type,single_component,test,14,1.0,1.0,0.000114720484484573,0.00021983038784432235,0.25865010990600584,0.9551339962113256,0.9148717705827739,0.06297238866223064,RBC representation adequate
representation_target,component_set,all,16,1.0,0.0,0.00028126370737191405,0.0005033121363166146,0.9186959225628002,0.34303849580876594,0.22804941108398244,0.3670852982063319,RBC representation failure
representation_target,depth_grid,all,16,1.0,1.0,0.00011839952586880639,0.00021721870335033314,0.39540491433477976,0.8973080685328433,0.8137953722615016,0.01913876330085095,RBC representation adequate
representation_target,polygon_or_contour,all,48,1.0,1.0,0.00010960198368343273,0.00021327204298082024,0.28590527508935065,0.9303919304275712,0.870340721695921,0.11309353103160726,RBC representation adequate
representation_target,profile_basis,all,16,1.0,1.0,7.305768088976471e-05,0.00012888522573418424,0.3222721925081061,0.9731884356863416,0.9478157662770268,0.02261257113469979,RBC representation adequate
