sample_index,defect_type,true_area,area_bin,baseline_iou,baseline_dice,baseline_area_error,baseline_pred_area,baseline_center_error,baseline_defect_mae,baseline_background_mae,composite_mean_iou,composite_mean_dice,composite_mean_area_error,composite_mean_pred_area,composite_mean_center_error,composite_mean_defect_mae,composite_mean_background_mae,delta_iou,delta_dice,delta_area_error,delta_pred_area,delta_center_error,delta_defect_mae,delta_background_mae,baseline_pred_area_zero,composite_pred_area_zero,pred_area_zero_repaired,composite_clearly_worse
80,rotated_rect,12.715107738906326,large,0.651031894934334,0.7886363636363637,0.10778443113772455,14.085598393399223,0.6920740008354187,382.2974853515625,33.38373947143555,0.5605348405927736,0.7159201263167695,0.13532934131736526,14.435834893991853,0.9272020061810812,382.4141845703125,40.2393913269043,-0.09049705434156041,-0.0727162373195942,0.02754491017964071,0.35023650059262934,0.23512800534566247,0.11669921875,6.85565185546875,False,False,False,True
81,multi_defect,15.69973183091308,large,0.16563330380868024,0.28419452887537994,0.7235693501454898,4.339887072560842,3.9081618785858154,764.1069946289062,37.04189682006836,0.18749414612216805,0.3124885634865043,0.10766246362754606,14.141433197841527,1.8513615528742473,635.1072998046875,67.22156651814778,0.02186084231348781,0.02829403461112434,-0.6159068865179438,9.801546125280685,-2.056800325711568,-128.99969482421875,30.179669698079422,False,False,False,False
82,multi_defect,15.59313811334141,large,0.4965635738831615,0.6636050516647531,0.298828125,10.93346988806556,0.2505563497543335,493.8412780761719,22.380990982055664,0.47607865364375,0.6445252173239826,0.2633463541666667,11.486742041175654,0.35656973719596863,475.9552001953125,26.852681477864582,-0.020484920239411508,-0.01907983434077054,-0.035481770833333315,0.553272153110095,0.10601338744163513,-17.886077880859375,4.471690495808918,False,False,False,False
83,multi_defect,15.60836578728022,large,0.26618705035971224,0.42045454545454547,0.45463414634146343,8.512269731794774,0.6239838600158691,566.662109375,35.269691467285156,0.4586363002604785,0.6267005428958691,0.4471544715447155,21.65375234098778,0.7152154445648193,392.69272867838544,57.84753672281901,0.19244924990076628,0.2062459974413236,-0.007479674796747937,13.141482609193005,0.0912315845489502,-173.96938069661456,22.577845255533852,False,False,False,False
84,polygon,11.02483593169842,medium,0.33993015133876603,0.5073848827106864,0.4102209944751381,6.502216771871858,0.7185220122337341,591.361572265625,18.5462646484375,0.2936284640744069,0.45197153206631874,0.48987108655616945,5.624087574733816,0.8224545319875082,608.1011149088541,23.200270970662434,-0.046301687264359126,-0.05541335064436764,0.07965009208103135,-0.8781291971380414,0.10393251975377404,16.73954264322913,4.654006322224934,False,False,False,True
85,rotated_rect,7.370194186384026,small,0.05785123966942149,0.109375,0.9421487603305785,0.4263748702866792,0.2854895293712616,595.2894897460938,14.262307167053223,0.24321866541658968,0.37657931309714043,0.7541322314049587,1.8120931987183866,0.46215301007032394,591.7631632486979,17.86727778116862,0.1853674257471682,0.26720431309714043,-0.18801652892561982,1.3857183284317074,0.17666348069906235,-3.5263264973958712,3.6049706141153983,False,False,False,False
86,rotated_rect,14.694705350951622,large,0.7701923076923077,0.8701792504073873,0.0922279792746114,13.339442370397535,0.2186334878206253,352.8589782714844,22.76811981201172,0.7881966979790461,0.8812809714935762,0.1295336787564767,12.791246108600376,0.15107963482538858,322.6136983235677,21.0580628712972,0.018004390286738392,0.011101721086188898,0.037305699481865295,-0.548196261797159,-0.06755385299523672,-30.245279947916686,-1.7100569407145194,False,False,False,False
87,rotated_rect,9.562979233572662,medium,0.27372627372627373,0.42980392156862746,0.030254777070063694,9.852305038410051,1.8210965394973755,573.0960693359375,32.85011291503906,0.2247413965760928,0.36677014872166397,0.14278131634819533,8.887885688952087,1.9267563422520955,608.0601196289062,30.646411259969074,-0.04898487715018093,-0.06303377284696349,0.11252653927813164,-0.9644193494579643,0.10565980275471998,34.96405029296875,-2.203701655069988,False,False,False,True
88,rotated_rect,7.492015577894506,small,0.08004926108374384,0.14823261117445838,0.21747967479674796,5.862654466441839,2.0782933235168457,730.27783203125,23.21161460876465,0.1185442382985421,0.21107252952349156,0.1470189701897019,7.578305730214429,1.9826575915018718,684.3008015950521,32.45272318522135,0.03849497721479826,0.06283991834903319,-0.07046070460704607,1.7156512637725898,-0.09563573201497388,-45.97703043619788,9.241108576456703,False,False,False,False
89,multi_defect,11.07051895351485,medium,0.04326923076923077,0.08294930875576037,0.5075653370013755,5.45150727009397,2.6056807041168213,695.0643310546875,38.44405746459961,0.101660710429459,0.18124380973085064,0.4433745988078863,12.517147977701796,2.115554451942444,631.8189900716146,56.81777699788412,0.05839147966022823,0.09829450097509027,-0.0641907381934892,7.065640707607827,-0.49012625217437744,-63.24534098307288,18.373719533284508,False,False,False,False
