perturbation_name,perturbation_group,severity,affected_axis,failure_type,sample_id,split,curvature_template,depth_bin,aspect_bin,profile_depth_rmse_m,er_like_profile_error,projected_mask_dice,L_mae_mm,W_mae_mm,D_mae_mm,wMAE_auxiliary,notes
sensor_x_resampling_jitter_-1sample,sensor_x_resampling_jitter,-1sample,all,worst_projected_dice,rbc_pilot_032_medium_elongated_boxy,test,boxy,medium,narrow,0.00024602116900496185,0.1447327435016632,0.6206896551724138,3.339815855026245,8.766216278076172,0.029194168746471405,0.3100505471229553,integer-sample interpolation shift
sensor_x_resampling_jitter_-1sample,sensor_x_resampling_jitter,-1sample,all,worst_projected_dice,rbc_v2topup_049_shallow_elongated_WD_dominant,test,WD_dominant,shallow,narrow,0.00020389568817336112,0.2446451187133789,0.6768060836501901,2.8314013481140137,4.461139678955078,0.5394337773323059,0.16489994525909424,integer-sample interpolation shift
sensor_x_resampling_jitter_-1sample,sensor_x_resampling_jitter,-1sample,all,worst_lwd_error,rbc_pilot_032_medium_elongated_boxy,test,boxy,medium,narrow,0.00024602116900496185,0.1447327435016632,0.6206896551724138,3.339815855026245,8.766216278076172,0.029194168746471405,0.3100505471229553,integer-sample interpolation shift
sensor_x_resampling_jitter_-1sample,sensor_x_resampling_jitter,-1sample,all,worst_lwd_error,rbc_pilot_036_deep_elongated_boxy,test,boxy,deep,narrow,0.001287848106585443,0.4419526755809784,0.7633587786259542,1.5094727277755737,8.223045349121094,2.151667356491089,0.3451716899871826,integer-sample interpolation shift
sensor_x_resampling_jitter_-1sample,sensor_x_resampling_jitter,-1sample,all,worst_lwd_error,rbc_v3topup_120_test_round_deep_narrow,test,round,deep,narrow,0.0005795329343527555,0.24341358244419098,0.7080745341614907,0.9580124020576477,8.19693660736084,1.508026361465454,0.08160153776407242,integer-sample interpolation shift
sensor_x_resampling_jitter_-1sample,sensor_x_resampling_jitter,-1sample,all,worst_w_auxiliary,rbc_v3topup_123_test_boxy_medium_wide,test,boxy,medium,wide,0.0003092306142207235,0.20766182243824005,0.9623865110246433,0.05962885916233063,0.5359854698181152,0.11854246258735657,0.3688138723373413,integer-sample interpolation shift
sensor_x_resampling_jitter_-1sample,sensor_x_resampling_jitter,-1sample,all,worst_w_auxiliary,rbc_v3topup_126_test_boxy_deep_wide,test,boxy,deep,wide,0.001461974112316966,0.5475550293922424,0.817966903073286,3.7527456283569336,2.6965067386627197,2.6204445362091064,0.3610733449459076,integer-sample interpolation shift
sensor_x_resampling_jitter_-1sample,sensor_x_resampling_jitter,-1sample,all,worst_w_auxiliary,rbc_pilot_009_deep_small_compact_sharp,test,sharp,deep,compact,0.0005248278030194342,0.2974117696285248,0.8144329896907216,2.488562822341919,0.6158212423324585,1.6337469816207886,0.3517526686191559,integer-sample interpolation shift
sensor_x_resampling_jitter_+1sample,sensor_x_resampling_jitter,+1sample,all,worst_profile_rmse,rbc_v3topup_126_test_boxy_deep_wide,test,boxy,deep,wide,0.0014824919635429978,0.5552396774291992,0.8095238095238095,3.9914753437042236,2.9289071559906006,2.676889419555664,0.35676249861717224,integer-sample interpolation shift
sensor_x_resampling_jitter_+1sample,sensor_x_resampling_jitter,+1sample,all,worst_profile_rmse,rbc_pilot_036_deep_elongated_boxy,test,boxy,deep,narrow,0.0013052303111180663,0.44791775941848755,0.7668711656441718,1.663429617881775,8.12053108215332,2.202233076095581,0.3413413465023041,integer-sample interpolation shift
