perturbation_name,perturbation_group,severity,affected_axis,split,group_field,group_value,sample_count,profile_depth_rmse_m,er_like_profile_error,projected_mask_dice,L_mae_mm,W_mae_mm,D_mae_mm,wMAE_auxiliary
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,val,size_bin,medium_balanced,11,0.0005413788286122409,0.3394077569246292,0.9164313287657407,1.6954115886579861,1.002955094657161,1.1946534785357388,0.20544450797817923
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,val,size_bin,small_compact,12,0.0008161653022398241,1.4131469242274761,0.5602867090882929,7.560077428817749,3.3608179489771524,1.7044489681720734,0.21758383885025978
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,test,curvature_template,LD_dominant,8,0.0007005662096162268,0.6567857773043215,0.7433177493160938,4.2048473581671715,3.3161029517650604,1.495029777288437,0.13348053861409426
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,test,curvature_template,WD_dominant,8,0.0006629695699302829,0.8525995966047049,0.6257494807197627,6.090525820851326,5.404644384980202,1.4070605265442282,0.13946665078401566
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,test,curvature_template,boxy,7,0.0008581209071313164,0.7277440599032811,0.6926065750916156,7.2365507398332864,3.716704826269831,1.6840570313589913,0.17715710827282496
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,test,curvature_template,round,8,0.0005485995679919142,0.5923187872394919,0.714533633220375,6.474008321762085,3.4839035496115685,1.1403556074947119,0.21602138690650463
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,test,curvature_template,sharp,8,0.0007898196854512207,1.4177805315703154,0.6443911934477519,6.168080002069473,3.184047743678093,1.6025815084576607,0.3492877073585987
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,test,depth_bin,deep,11,0.000878784760557623,0.368098952553489,0.7268173053049228,6.940674153241244,2.90353317016905,1.9220937490463257,0.20189605450088327
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,test,depth_bin,medium,11,0.0002613381475384813,0.23521967469291252,0.633793688191505,7.360020334070379,5.650352933190086,0.3248341992836107,0.21039870245890183
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,test,depth_bin,shallow,17,0.0008871255661634838,1.5655047683154835,0.6885565618124984,4.520465167129741,3.2372809227775123,1.8960241850684671,0.20064162945046143
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,test,aspect_bin,balanced,9,0.0008951582195651201,1.2508786817391713,0.8288299347607382,3.3210257159339056,1.4872891240649753,1.9141690731048584,0.22593996011548573
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,test,aspect_bin,compact,9,0.0007871862843684438,1.3508514331446753,0.5596468367072546,7.481338447994656,3.285643153720432,1.6766213575998943,0.2561527126365238
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,test,aspect_bin,narrow,9,0.0007398157289976047,0.5323456500967344,0.7648928282269059,5.257903873920441,2.388296145531866,1.6001376046074762,0.16285662849744162
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,test,aspect_bin,wide,12,0.00048525370978798793,0.42028367302070063,0.607654673501591,7.467761238416036,7.056288917859395,0.8525221883319318,0.17846719299753508
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,test,size_bin,elongated,9,0.0007398157289976047,0.5323456500967344,0.7648928282269059,5.257903873920441,2.388296145531866,1.6001376046074762,0.16285662849744162
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,test,size_bin,large_wide,12,0.00048525370978798793,0.42028367302070063,0.607654673501591,7.467761238416036,7.056288917859395,0.8525221883319318,0.17846719299753508
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,test,size_bin,medium_balanced,9,0.0008951582195651201,1.2508786817391713,0.8288299347607382,3.3210257159339056,1.4872891240649753,1.9141690731048584,0.22593996011548573
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,test,size_bin,small_compact,9,0.0007871862843684438,1.3508514331446753,0.5596468367072546,7.481338447994656,3.285643153720432,1.6766213575998943,0.2561527126365238
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,train,curvature_template,LD_dominant,31,0.000729218813508088,0.8208285651860698,0.7420269963522138,4.722081592006068,3.254290045990098,1.562320242966375,0.12085063539205058
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,train,curvature_template,WD_dominant,34,0.0008661398978267029,0.9668360692174995,0.7186155360722228,5.64484809689662,3.377542109173887,1.8494078367948532,0.13178684978800662
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,train,curvature_template,boxy,32,0.0008063857462730084,0.9752453650580719,0.7208311241750415,5.564462534151971,3.1970736738294363,1.7487410010071471,0.15576938656158745
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,train,curvature_template,round,33,0.0008767612563326221,1.1992682782989559,0.7015481291634564,5.510555601481236,3.3631670425335565,1.8081284173284515,0.22604631068128528
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,train,curvature_template,sharp,32,0.001059919299223111,1.416137755382806,0.7096178512238749,4.779787445440888,3.508174634538591,2.000249192584306,0.35112891532480717
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,train,depth_bin,deep,49,0.00037932130228965637,0.16246829371975394,0.7814044055431756,4.880782154445746,3.3880612067117983,0.7327153205263371,0.18359292252939574
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,train,depth_bin,medium,57,0.0008003827605167764,0.7110607116891626,0.718275684318322,5.026084265426586,3.2434855877307425,1.6298584352459824,0.199298370694905
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,train,depth_bin,shallow,56,0.0013660868124653852,2.2486931777426173,0.6630480484066722,5.813010181167296,3.3996107817760537,2.8954060077667236,0.20627386016505106
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,train,aspect_bin,balanced,44,0.0008790422586819411,1.1288342863659968,0.8269371142812026,4.420328040353277,1.2820530311966485,1.8163311562754891,0.1922716892917048
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,train,aspect_bin,compact,43,0.000854822451338107,1.276082283795573,0.5471561498994473,9.104693157728327,3.3884834993717283,1.7476413260365642,0.18127595425345178
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,train,aspect_bin,narrow,33,0.0009223555160023159,0.9899775512290724,0.6764144110379302,4.3423445870478945,4.398959027998375,1.8896995331301834,0.2222497072635275
channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,train,aspect_bin,wide,42,0.0008294396629069178,0.8859218790062836,0.8125380369103036,2.9019068550495875,4.618835943795386,1.7504877490656716,0.19805561431816646
