observation_config,base_group_id,nearest_base_group_id,shape_type,nearest_shape_type,burial_depth_level,nearest_burial_depth_level,size_level,nearest_size_level,aspect_bin,nearest_aspect_bin,nearest_feature_distance,center_label_distance_mm,burial_label_distance_mm,shape_match,burial_bin_match,ambiguous_neighbor,cuboid_ellipsoid_cross,elongated_x_y_cross
mag_x_9line_only,richer_obs_base_019,richer_obs_base_002,internal_cuboid,internal_ellipsoid,deep_plus,deep_plus,medium,large,elongated_y,elongated_y,0.3968667984008789,9.341306686401367,0.0,False,True,True,True,False
mag_x_9line_only,richer_obs_base_020,richer_obs_base_028,internal_cuboid,internal_cuboid,shallow,shallow,medium,medium,elongated_y,elongated_x,0.4964278042316437,5.0,0.0,True,True,True,False,True
mag_x_9line_only,richer_obs_base_021,richer_obs_base_011,internal_sphere,internal_sphere,deep,shallow,medium,large,compact,compact,0.5493840575218201,2.299999952316284,2.3999998569488525,True,False,True,False,False
mag_x_9line_only,richer_obs_base_022,richer_obs_base_028,internal_cuboid,internal_cuboid,shallow,shallow,large,medium,elongated_y,elongated_x,0.49589937925338745,13.000384330749512,0.0,True,True,True,False,True
mag_x_9line_only,richer_obs_base_023,richer_obs_base_030,internal_cuboid,internal_cuboid,medium,deep,small,medium,elongated_y,elongated_y,0.42726659774780273,1.3000000715255737,1.1999998092651367,True,False,True,False,False
mag_x_9line_only,richer_obs_base_024,richer_obs_base_029,internal_sphere,internal_sphere,deep_plus,deep_plus,large,small,compact,compact,0.5118604898452759,6.003332614898682,0.0,True,True,True,False,False
mag_x_9line_only,richer_obs_base_025,richer_obs_base_026,internal_ellipsoid,internal_ellipsoid,deep_plus,deep_plus,medium,medium,elongated_x,elongated_y,0.3980337083339691,1.9999998807907104,0.0,True,True,False,False,True
mag_x_9line_only,richer_obs_base_026,richer_obs_base_018,internal_ellipsoid,internal_cuboid,deep_plus,deep_plus,medium,large,elongated_y,compact,0.32461458444595337,12.00041675567627,0.0,False,True,True,True,False
mag_x_9line_only,richer_obs_base_027,richer_obs_base_030,internal_cuboid,internal_cuboid,deep,deep,medium,medium,compact,elongated_y,0.6782283186912537,6.0,0.0,True,True,True,False,False
mag_x_9line_only,richer_obs_base_028,richer_obs_base_022,internal_cuboid,internal_cuboid,shallow,shallow,medium,large,elongated_x,elongated_y,0.49589937925338745,13.000384330749512,0.0,True,True,True,False,True
mag_x_9line_only,richer_obs_base_029,richer_obs_base_024,internal_sphere,internal_sphere,deep_plus,deep_plus,small,large,compact,compact,0.5118604898452759,6.003332614898682,0.0,True,True,True,False,False
mag_x_9line_only,richer_obs_base_030,richer_obs_base_026,internal_cuboid,internal_ellipsoid,deep,deep_plus,medium,medium,elongated_y,elongated_y,0.40845686197280884,12.041594505310059,0.9999999403953552,False,False,True,True,False
dual_mag_xy_9line,richer_obs_base_001,richer_obs_base_004,internal_cuboid,internal_ellipsoid,deep,deep_plus,large,large,compact,compact,0.44977620244026184,3.162278175354004,0.9999999403953552,False,False,True,True,False
dual_mag_xy_9line,richer_obs_base_002,richer_obs_base_010,internal_ellipsoid,internal_ellipsoid,deep_plus,medium,large,large,elongated_y,elongated_y,0.5726748108863831,13.714591026306152,2.1999998092651367,True,False,True,False,False
dual_mag_xy_9line,richer_obs_base_003,richer_obs_base_001,internal_cuboid,internal_cuboid,deep_plus,deep,medium,large,compact,compact,0.5422176122665405,23.58092498779297,0.9999999403953552,True,False,True,False,False
dual_mag_xy_9line,richer_obs_base_004,richer_obs_base_001,internal_ellipsoid,internal_cuboid,deep_plus,deep,large,large,compact,compact,0.44977620244026184,3.162278175354004,0.9999999403953552,False,False,True,True,False
dual_mag_xy_9line,richer_obs_base_005,richer_obs_base_002,internal_ellipsoid,internal_ellipsoid,shallow,deep_plus,medium,large,compact,elongated_y,0.6074727773666382,25.758493423461914,3.3999998569488525,True,False,True,False,False
dual_mag_xy_9line,richer_obs_base_006,richer_obs_base_020,internal_cuboid,internal_cuboid,shallow,shallow,large,medium,compact,elongated_y,0.5100995302200317,12.042009353637695,0.0,True,True,True,False,False
dual_mag_xy_9line,richer_obs_base_007,richer_obs_base_015,internal_ellipsoid,internal_ellipsoid,deep_plus,deep_plus,medium,small,compact,elongated_y,0.4487558603286743,6.708949089050293,0.0,True,True,True,False,False
dual_mag_xy_9line,richer_obs_base_008,richer_obs_base_026,internal_ellipsoid,internal_ellipsoid,deep_plus,deep_plus,large,medium,compact,elongated_y,0.5015852451324463,10.547986030578613,0.0,True,True,True,False,False
