candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite,macro_area_composite,type_accuracy
shape_type_conditional_screening_predicted,42,val,area_bin,large,0.95,67,0.23439286538099147,0.36336438691823914,0.5531644365142991,1.24189245802435,1,67,0,0.04459281578493146,-0.4430854768819219,
shape_type_conditional_screening_predicted,42,val,signal_bin,low_signal,0.95,67,0.0451174237732213,0.07538604029993592,0.8874959269196729,1.7701445178287785,26,66,1,-0.7669924628465157,-0.4430854768819219,
shape_type_conditional_screening_predicted,42,val,signal_bin,non_low_signal,0.95,133,0.16002792634546323,0.2518512625442015,0.6909970537311962,1.2351613188195123,19,132,1,-0.27911786484153156,-0.4430854768819219,
shape_type_conditional_screening_predicted,42,val,defect_type,multi_defect,0.95,71,0.23879050101190433,0.36910907798765086,0.5068277673156715,1.4211491187629492,2,69,2,0.10107181168388368,-0.4430854768819219,
shape_type_conditional_screening_predicted,42,val,defect_type,polygon,0.95,72,0.05070944704861626,0.08482370165149423,0.8884337670359854,1.4327154936125646,20,72,0,-0.752900618335875,-0.4430854768819219,
shape_type_conditional_screening_predicted,42,val,defect_type,rotated_rect,0.95,57,0.06493641820012033,0.10935143092006502,0.9019795183133956,1.200700609232573,23,57,0,-0.7276916691932103,-0.4430854768819219,
shape_type_conditional_screening_predicted_mean,mean,val,area_bin,large,0.5,67,0.41570260636570683,0.5725668447226894,0.25258759652927565,1.0037502570828396,0.0,26.0,41.0,0.7356818545591206,0.2747515696394249,
shape_type_conditional_screening_predicted_std,sample_std,val,area_bin,large,0.5,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
shape_type_conditional_screening_predicted_mean,mean,val,area_bin,medium,0.5,66,0.4000416506739187,0.5549274252626122,0.4877143349661271,1.2523572572478743,0.0,4.0,62.0,0.4672547409704038,0.2747515696394249,
shape_type_conditional_screening_predicted_std,sample_std,val,area_bin,medium,0.5,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
shape_type_conditional_screening_predicted_mean,mean,val,area_bin,small,0.5,67,0.2672166924124887,0.39604323557740295,1.0419418146011414,1.4447645883061992,0.0,5.0,62.0,-0.3786818866112498,0.2747515696394249,
shape_type_conditional_screening_predicted_std,sample_std,val,area_bin,small,0.5,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
shape_type_conditional_screening_predicted_mean,mean,val,defect_type,multi_defect,0.5,71,0.3807769346850532,0.5370787920958601,0.3356896904425503,1.1101484127657515,0.0,25.0,46.0,0.582166036338363,0.2747515696394249,
shape_type_conditional_screening_predicted_std,sample_std,val,defect_type,multi_defect,0.5,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
