source_index,sample_id,split,defect_type,source_pack,angle_deg,vertex_count,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,notes
94,rot_0015,train,rotated_rect,pilot_v3_rotated_rect,30.0,0,0.9,0.8612099644128114,0.9254302103250478,0.13214285714285715,0.3162497785192056,486,560,0,0.018416039645671844,0.055591583251953125,0.07400762289762497,0.0,1.0,0.06324520707130432,balanced_pilot_v7_training_gate_only
95,rot_0016,train,rotated_rect,pilot_v3_rotated_rect,-30.0,0,0.9,0.859402460456942,0.9243856332703214,0.1073345259391771,0.3673397375093139,499,559,0,0.026672959327697754,0.06615579128265381,0.09282875061035156,0.0,1.0,0.0648733451962471,balanced_pilot_v7_training_gate_only
96,rot_0017,train,rotated_rect,pilot_v3_rotated_rect,-20.0,0,0.9,0.8483606557377049,0.917960088691796,0.12863070539419086,0.3026301948475734,210,241,0,0.012007996439933777,0.07987195253372192,0.0918799489736557,0.0,1.0,0.027254702523350716,balanced_pilot_v7_training_gate_only
98,rot_0019,train,rotated_rect,pilot_v3_rotated_rect,10.0,0,0.9,0.8457446808510638,0.9164265129682997,0.1443850267379679,0.7113202729613615,480,561,0,0.034574732184410095,0.060710370540618896,0.09528510272502899,0.0,1.0,0.06226455420255661,balanced_pilot_v7_training_gate_only
99,rot_0020,train,rotated_rect,pilot_v3_rotated_rect,20.0,0,0.9,0.8201058201058201,0.9011627906976745,0.16042780748663102,0.7163538214805336,471,561,0,0.02901206910610199,0.0751836895942688,0.10419575870037079,0.0,1.0,0.06313563883304596,balanced_pilot_v7_training_gate_only
100,rot_0021,train,rotated_rect,pilot_v3_rotated_rect,-30.0,0,0.9,0.8218623481781376,0.9022222222222223,0.125,0.5754280916518882,210,240,0,0.010963459499180317,0.07596594095230103,0.08692940324544907,0.0,1.0,0.02779519557952881,balanced_pilot_v7_training_gate_only
101,rot_0022,train,rotated_rect,pilot_v3_rotated_rect,-20.0,0,0.9,0.7195571955719557,0.8369098712446352,0.2740740740740741,0.9144616494354557,392,540,0,0.0498521588742733,0.12300556898117065,0.17285773158073425,0.0,1.0,0.05372956395149231,balanced_pilot_v7_training_gate_only
102,rot_0023,train,rotated_rect,pilot_v3_rotated_rect,-10.0,0,0.9,0.8110516934046346,0.8956692913385826,0.1889483065953654,0.8327059870577058,455,561,0,0.0179485734552145,0.06590038537979126,0.08384896069765091,0.0,0.9999983310699463,0.06241453438997269,balanced_pilot_v7_training_gate_only
103,rot_0024,train,rotated_rect,pilot_v3_rotated_rect,30.0,0,0.9,0.8285714285714286,0.90625,0.17142857142857143,0.8469166112591898,464,560,0,0.020137501880526543,0.06393957138061523,0.08407707512378693,0.0,0.9999998807907104,0.06265584379434586,balanced_pilot_v7_training_gate_only
104,rot_0025,train,rotated_rect,pilot_v3_rotated_rect,20.0,0,0.9,0.7991803278688525,0.8883826879271071,0.17083333333333334,0.21578806608093015,199,240,0,0.021213483065366745,0.09866297245025635,0.11987645924091339,0.0,1.0,0.02621205523610115,balanced_pilot_v7_training_gate_only
105,rot_0026,train,rotated_rect,pilot_v3_rotated_rect,-30.0,0,0.9,0.8671586715867159,0.9288537549407114,0.12244897959183673,0.8545088929939048,473,539,0,0.02800586074590683,0.0667562484741211,0.09476210922002792,0.0,1.0,0.0618659146130085,balanced_pilot_v7_training_gate_only
106,rot_0027,train,rotated_rect,pilot_v3_rotated_rect,-20.0,0,0.9,0.896797153024911,0.9455909943714822,0.09642857142857143,0.3058560704500794,506,560,0,0.012935664504766464,0.04574066400527954,0.058676328510046005,0.0,1.0,0.06746995449066162,balanced_pilot_v7_training_gate_only
107,rot_0028,train,rotated_rect,pilot_v3_rotated_rect,10.0,0,0.9,0.8333333333333334,0.9090909090909091,0.09464285714285714,0.7674222701055655,507,560,0,0.04362949728965759,0.08116167783737183,0.12479117512702942,0.0,1.0,0.06513451039791107,balanced_pilot_v7_training_gate_only
108,rot_0029,train,rotated_rect,pilot_v3_rotated_rect,30.0,0,0.9,0.7851239669421488,0.8796296296296297,0.2,0.2091364727543061,192,240,0,0.02037995681166649,0.10078108310699463,0.12116104364395142,0.0,1.0,0.025065956637263298,balanced_pilot_v7_training_gate_only
109,rot_0030,train,rotated_rect,pilot_v3_rotated_rect,20.0,0,0.9,0.7302158273381295,0.8440748440748441,0.22181146025878004,0.6962581750040338,421,541,0,0.07157415896654129,0.14237159490585327,0.21394574642181396,0.0,0.9999998807907104,0.05693013593554497,balanced_pilot_v7_training_gate_only
110,rot_0031,train,rotated_rect,pilot_v3_rotated_rect,-30.0,0,0.9,0.8717504332755632,0.9314814814814815,0.06451612903225806,0.5606745900302705,522,558,0,0.022734135389328003,0.06613492965698242,0.08886906504631042,0.0,0.9999997615814209,0.06993764638900757,balanced_pilot_v7_training_gate_only
111,rot_0032,train,rotated_rect,pilot_v3_rotated_rect,-10.0,0,0.9,0.8125,0.896551724137931,0.1875,0.5619223274520406,455,560,0,0.0253786388784647,0.07449263334274292,0.09987127035856247,0.0,0.9999996423721313,0.06214068830013275,balanced_pilot_v7_training_gate_only
112,rot_0033,train,rotated_rect,pilot_v3_rotated_rect,10.0,0,0.9,0.7909836065573771,0.8832951945080092,0.17916666666666667,0.17233615844442712,197,240,0,0.033827364444732666,0.11066210269927979,0.14448946714401245,0.0,1.0,0.024419566616415977,balanced_pilot_v7_training_gate_only
113,rot_0034,train,rotated_rect,pilot_v3_rotated_rect,30.0,0,0.9,0.7591240875912408,0.8630705394190872,0.21481481481481482,0.15400780865390748,424,540,0,0.048735421150922775,0.11917442083358765,0.16790984570980072,0.0,1.0,0.05884500592947006,balanced_pilot_v7_training_gate_only
114,rot_0035,train,rotated_rect,pilot_v3_rotated_rect,20.0,0,0.9,0.8639575971731449,0.9270142180094787,0.12277580071174377,0.26717849752159134,493,562,0,0.014598014764487743,0.05578333139419556,0.07038134336471558,0.0,0.9999998807907104,0.06699055433273315,balanced_pilot_v7_training_gate_only
115,rot_0036,train,rotated_rect,pilot_v3_rotated_rect,-20.0,0,0.9,0.7777777777777778,0.875,0.2,1.478492303999142,448,560,0,0.03456132113933563,0.10921305418014526,0.1437743753194809,0.0,0.9999992847442627,0.06337764114141464,balanced_pilot_v7_training_gate_only
116,rot_0037,train,rotated_rect,pilot_v3_rotated_rect,-10.0,0,0.9,0.823045267489712,0.9029345372460497,0.15416666666666667,0.820033085525663,203,240,0,0.01271231472492218,0.08602094650268555,0.09873326122760773,0.0,0.9999946355819702,0.027385041117668152,balanced_pilot_v7_training_gate_only
117,rot_0038,train,rotated_rect,pilot_v3_rotated_rect,10.0,0,0.9,0.8658088235294118,0.9280788177339901,0.11688311688311688,0.886450420832863,476,539,0,0.028889136388897896,0.0654146671295166,0.09430380165576935,0.0,1.0,0.06121820956468582,balanced_pilot_v7_training_gate_only
118,rot_0039,train,rotated_rect,pilot_v3_rotated_rect,30.0,0,0.9,0.8339285714285715,0.9094449853943525,0.16607142857142856,0.09939075686826547,467,560,0,0.018995802849531174,0.06401687860488892,0.08301268517971039,0.0,1.0,0.06215642765164375,balanced_pilot_v7_training_gate_only
119,rot_0040,train,rotated_rect,pilot_v3_rotated_rect,-30.0,0,0.9,0.8364888123924269,0.9109653233364574,0.09123434704830054,1.076294493747,508,559,0,0.02721181884407997,0.08038902282714844,0.10760083794593811,0.0,0.9999996423721313,0.06810761243104935,balanced_pilot_v7_training_gate_only
120,rot_0041,train,rotated_rect,pilot_v3_rotated_rect,-20.0,0,0.9,0.8395061728395061,0.912751677852349,0.14522821576763487,0.9107337128090067,206,241,0,0.011257743462920189,0.07582885026931763,0.08708659559488297,0.0,1.0,0.027569923549890518,balanced_pilot_v7_training_gate_only
121,rot_0042,train,rotated_rect,pilot_v3_rotated_rect,-10.0,0,0.9,0.8070500927643784,0.893223819301848,0.19294990723562153,0.5786607463243593,435,539,0,0.021227508783340454,0.06614094972610474,0.08736845850944519,0.0,1.0,0.05854901671409607,balanced_pilot_v7_training_gate_only
122,rot_0043,train,rotated_rect,pilot_v3_rotated_rect,10.0,0,0.9,0.9244288224956063,0.960730593607306,0.0481283422459893,0.3890366994910046,534,561,0,0.01289818249642849,0.04096037149429321,0.05385855585336685,0.0,1.0,0.06918632984161377,balanced_pilot_v7_training_gate_only
123,rot_0044,train,rotated_rect,pilot_v3_rotated_rect,20.0,0,0.9,0.8262411347517731,0.9048543689320389,0.16399286987522282,0.25088608019978914,469,561,0,0.033983953297138214,0.07153439521789551,0.10551834851503372,0.0,1.0,0.06188131123781204,balanced_pilot_v7_training_gate_only
124,rot_0045,train,rotated_rect,pilot_v3_rotated_rect,-30.0,0,0.9,0.8623481781376519,0.9260869565217391,0.08333333333333333,0.17505820231143593,220,240,0,0.0086186109110713,0.06210821866989136,0.07072682678699493,0.0,1.0,0.029113642871379852,balanced_pilot_v7_training_gate_only
125,rot_0046,train,rotated_rect,pilot_v3_rotated_rect,-20.0,0,0.9,0.7005545286506469,0.8239130434782609,0.2962962962962963,0.8918607023887601,380,540,0,0.0457187220454216,0.12325912714004517,0.16897785663604736,0.0,1.0,0.053428418934345245,balanced_pilot_v7_training_gate_only
126,rot_0047,train,rotated_rect,pilot_v3_rotated_rect,-10.0,0,0.9,0.8543516873889876,0.921455938697318,0.13903743315508021,0.4545399780304192,483,561,0,0.022032976150512695,0.060397982597351074,0.08243095874786377,0.0,1.0,0.06325351446866989,balanced_pilot_v7_training_gate_only
127,rot_0048,train,rotated_rect,pilot_v3_rotated_rect,30.0,0,0.9,0.7625,0.8652482269503546,0.2375,0.5560511686443839,427,560,0,0.027614254504442215,0.09997284412384033,0.12758709490299225,0.0,0.9999961853027344,0.06002645194530487,balanced_pilot_v7_training_gate_only
128,rot_0049,train,rotated_rect,pilot_v7_topup_rotated_rect,20.0,0,0.9,0.8278688524590164,0.905829596412556,0.14937759336099585,0.6212462144007835,205,241,0,0.014690465293824673,0.07301253080368042,0.08770299702882767,0.0,1.0,0.026686860248446465,balanced_pilot_v7_training_gate_only
129,rot_0050,train,rotated_rect,pilot_v7_topup_rotated_rect,20.0,0,0.9,0.717741935483871,0.8356807511737089,0.225,2.2733815500484726,186,240,0,0.0550469234585762,0.15345031023025513,0.20849722623825073,0.0,1.0,0.024097291752696037,balanced_pilot_v7_training_gate_only
130,rot_0051,train,rotated_rect,pilot_v7_topup_rotated_rect,20.0,0,0.9,0.8016528925619835,0.8899082568807339,0.18333333333333332,0.26468810201539494,196,240,0,0.022355789318680763,0.09569627046585083,0.11805205792188644,0.0,0.9999998807907104,0.02601529471576214,balanced_pilot_v7_training_gate_only
131,rot_0052,train,rotated_rect,pilot_v7_topup_rotated_rect,20.0,0,0.9,0.7377049180327869,0.8490566037735849,0.23333333333333334,1.2533482383622498,184,240,0,0.030972078442573547,0.13196569681167603,0.16293777525424957,0.0,0.9999998807907104,0.02428029477596283,balanced_pilot_v7_training_gate_only
134,rot_0055,train,rotated_rect,pilot_v7_topup_rotated_rect,-30.0,0,0.9,0.6953125,0.8202764976958525,0.18410041841004185,1.8274519254378698,195,239,0,0.048498306423425674,0.16093134880065918,0.20942965149879456,0.0,1.0,0.025747552514076233,balanced_pilot_v7_training_gate_only
135,rot_0056,train,rotated_rect,pilot_v7_topup_rotated_rect,-30.0,0,0.9,0.7206477732793523,0.8376470588235294,0.22916666666666666,0.3718427713529175,185,240,0,0.041170693933963776,0.14973968267440796,0.19091036915779114,0.0,1.0,0.02430693432688713,balanced_pilot_v7_training_gate_only
136,rot_0057,train,rotated_rect,pilot_v7_topup_rotated_rect,-30.0,0,0.9,0.8393574297188755,0.9126637554585153,0.09166666666666666,0.1545469299320523,218,240,0,0.012949392199516296,0.07097887992858887,0.08392827212810516,0.0,1.0,0.028480686247348785,balanced_pilot_v7_training_gate_only
137,rot_0058,train,rotated_rect,pilot_v7_topup_rotated_rect,-30.0,0,0.9,0.6910569105691057,0.8173076923076923,0.2594142259414226,0.7582765445384118,177,239,0,0.026013163849711418,0.14672833681106567,0.17274150252342224,0.0,0.999997615814209,0.024781644344329834,balanced_pilot_v7_training_gate_only
140,rot_0061,train,rotated_rect,pilot_v7_topup_rotated_rect,-20.0,0,0.9,0.7560975609756098,0.8611111111111112,0.2,0.7856818738805451,192,240,0,0.0261341854929924,0.11944693326950073,0.14558112621307373,0.0,0.9999995231628418,0.025854218751192093,balanced_pilot_v7_training_gate_only
141,rot_0062,train,rotated_rect,pilot_v7_topup_rotated_rect,-20.0,0,0.9,0.7320754716981132,0.8453159041394336,0.0875,1.9004352990593094,219,240,0,0.03403753787279129,0.14815515279769897,0.18219268321990967,0.0,1.0,0.028773771598935127,balanced_pilot_v7_training_gate_only
142,rot_0063,train,rotated_rect,pilot_v7_topup_rotated_rect,-20.0,0,0.9,0.7195121951219512,0.8368794326241135,0.2375,0.6532056254323111,183,240,0,0.0381697416305542,0.13927674293518066,0.17744648456573486,0.0,1.0,0.024213671684265137,balanced_pilot_v7_training_gate_only
