model,selected_model,split,subset,group_field,group_value,sample_count,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_component_mae_mm,shape_accuracy,shape_macro_f1,catastrophic_failure_count,geometry_branch_failure_count
H2_B2_hardcase_tail_weighted,True,test,all,burial_depth_level,medium,10,0.3143070638179779,0.5846397876739502,0.7970571517944336,0.07921307533979416,0.37314677238464355,1.0155248641967773,0.8,0.8055555555555555,0,0
H2_B2_hardcase_tail_weighted,True,test,all,burial_depth_level,shallow,16,0.3632487654685974,0.7757811546325684,0.9473153352737427,0.08325380831956863,0.36783018708229065,1.3375239372253418,0.6875,0.6632996632996633,1,0
H2_B2_hardcase_tail_weighted,True,test,all,size_level,large,26,0.49748891592025757,0.7977430820465088,1.446272611618042,0.09667830169200897,0.6184257864952087,2.0505661964416504,0.6923076923076923,0.707936507936508,4,1
H2_B2_hardcase_tail_weighted,True,test,all,size_level,medium,21,0.4127109944820404,0.6971026659011841,0.9354085922241211,0.04512127488851547,0.6399393081665039,1.689413070678711,0.7619047619047619,0.7547619047619047,5,1
H2_B2_hardcase_tail_weighted,True,test,all,size_level,small,13,0.2850225567817688,0.9343191981315613,0.3877345621585846,0.10137064754962921,0.18183907866477966,1.058691382408142,0.9230769230769231,0.6190476190476191,0,0
H2_B2_hardcase_tail_weighted,True,test,all,aspect_bin,compact,36,0.3424532413482666,0.4539061188697815,0.4877072274684906,0.06355565041303635,0.5154660940170288,1.761999249458313,0.75,0.6623376623376623,7,2
H2_B2_hardcase_tail_weighted,True,test,all,aspect_bin,elongated_x,5,0.45316052436828613,1.4641553163528442,1.5004404783248901,0.10688502341508865,0.2873231768608093,1.2369757890701294,0.6,0.38888888888888884,0,0
H2_B2_hardcase_tail_weighted,True,test,all,aspect_bin,elongated_y,19,0.5638324618339539,1.256065011024475,1.9593446254730225,0.10297751426696777,0.6257003545761108,1.7336066961288452,0.8421052631578947,0.5497435897435897,2,0
H2_B2_hardcase_tail_weighted,True,test,all,row_origin,hardcase_topup_v1,20,0.5506881475448608,0.84876549243927,1.31501305103302,0.09115664660930634,0.7327754497528076,2.5830986499786377,0.5,0.5087719298245613,4,2
H2_B2_hardcase_tail_weighted,True,test,all,row_origin,source_v2_240,40,0.3573293387889862,0.7637829780578613,0.8996737599372864,0.07389670610427856,0.4306548237800598,1.272335410118103,0.9,0.9010989010989011,5,0
