model,selected_model,split,subset,group_field,group_value,sample_count,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_component_mae_mm,shape_accuracy,shape_macro_f1,catastrophic_failure_count,geometry_branch_failure_count
H2_B2_hardcase_tail_weighted,True,train,hardcase_topup,burial_depth_level,medium,14,0.05020306631922722,0.07865544408559799,0.0759848803281784,0.01273350790143013,0.040663689374923706,0.33512771129608154,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,hardcase_topup,burial_depth_level,shallow,26,0.06834796071052551,0.129512220621109,0.13740666210651398,0.013147193938493729,0.05656788870692253,0.4682181179523468,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,hardcase_topup,size_level,large,50,0.06063941866159439,0.10912591964006424,0.1453259438276291,0.014628030359745026,0.05403311923146248,0.3275162875652313,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,hardcase_topup,size_level,medium,30,0.04651397094130516,0.061711572110652924,0.07873615622520447,0.004441407509148121,0.046914681792259216,0.4125291407108307,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,hardcase_topup,aspect_bin,compact,47,0.05587972700595856,0.08133305609226227,0.09619935601949692,0.011800386942923069,0.051587652415037155,0.4116194248199463,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,hardcase_topup,aspect_bin,elongated_x,11,0.04362184554338455,0.10472967475652695,0.0660669282078743,0.00474192388355732,0.042621683329343796,0.2634661793708801,1.0,0.6666666666666666,0,0
H2_B2_hardcase_tail_weighted,True,train,hardcase_topup,aspect_bin,elongated_y,22,0.06005466729402542,0.10604376345872879,0.199103444814682,0.011721107177436352,0.05525628849864006,0.29579317569732666,1.0,0.6666666666666666,0,0
H2_B2_hardcase_tail_weighted,True,train,hardcase_topup,row_origin,hardcase_topup_v1,80,0.05534237623214722,0.09134553372859955,0.12035477161407471,0.010808046907186508,0.051363710314035416,0.3593961000442505,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,hardcase_topup,hardcase_target_id,target_01_geometry_branch_cuboid_ellipsoid,24,0.04351767897605896,0.1045689582824707,0.07448749244213104,0.006150425411760807,0.026726514101028442,0.3409331738948822,1.0,0.6666666666666666,0,0
H2_B2_hardcase_tail_weighted,True,train,hardcase_topup,hardcase_target_id,target_02_full_shift_catastrophic,20,0.06419079750776291,0.09409254789352417,0.13188806176185608,0.012156257405877113,0.0698556900024414,0.39404892921447754,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,hardcase_topup,hardcase_target_id,target_03_worst_center_regions,18,0.052539028227329254,0.06634994596242905,0.18140847980976105,0.009860048070549965,0.03419463336467743,0.3398742377758026,1.0,0.6666666666666666,0,0
H2_B2_hardcase_tail_weighted,True,train,hardcase_topup,hardcase_target_id,target_04_worst_burial_depth,16,0.06776879727840424,0.10372345894575119,0.11754988878965378,0.018385013565421104,0.08492110669612885,0.368478000164032,1.0,1.0,0,0
