seed,source_index,sample_id,split,defect_type,source_pack,angle_deg,vertex_count,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,notes
123,550,poly_v9_0031,train,polygon,pilot_v9_topup_polygon,0.0,4,0.9,0.6893939393939394,0.8161434977578476,0.01809954751131222,2.8339188823764463,225,221,0,0.03570937737822533,0.18436205387115479,0.2200714349746704,0.0,0.9999905824661255,0.03125974163413048,COMSOL_DATA_BASELINE_pilot_v9_only
123,551,poly_v9_0032,train,polygon,pilot_v9_topup_polygon,0.0,5,0.9,0.5770833333333333,0.7318361955085865,0.31403118040089084,4.652719775162239,308,449,0,0.07884873449802399,0.23610693216323853,0.3149556517601013,0.0,0.9999587535858154,0.045860081911087036,COMSOL_DATA_BASELINE_pilot_v9_only
123,552,poly_v9_0033,train,polygon,pilot_v9_topup_polygon,0.0,6,0.9,0.8321342925659473,0.9083769633507853,0.06582278481012659,1.340582748603996,369,395,0,0.035061269998550415,0.1722460389137268,0.20730730891227722,0.0,0.9997556805610657,0.05902402102947235,COMSOL_DATA_BASELINE_pilot_v9_only
123,553,poly_v9_0034,train,polygon,pilot_v9_topup_polygon,0.0,4,0.9,0.6948356807511737,0.8199445983379502,0.2971698113207547,2.9954487987278977,298,424,0,0.04653732106089592,0.15844112634658813,0.20497845113277435,0.0,0.9999988079071045,0.04229545593261719,COMSOL_DATA_BASELINE_pilot_v9_only
123,554,poly_v9_0035,train,polygon,pilot_v9_topup_polygon,0.0,5,0.9,0.6941964285714286,0.8194993412384717,0.16666666666666666,3.4706519700821636,345,414,0,0.051527947187423706,0.18379122018814087,0.23531916737556458,0.0,0.9999682903289795,0.05269966274499893,COMSOL_DATA_BASELINE_pilot_v9_only
123,555,poly_v9_0036,train,polygon,pilot_v9_topup_polygon,0.0,6,0.9,0.8392857142857143,0.912621359223301,0.029556650246305417,0.6483605633214017,209,203,0,0.01724514737725258,0.11010318994522095,0.12734833359718323,0.0,0.9999998807907104,0.02838847041130066,COMSOL_DATA_BASELINE_pilot_v9_only
123,556,poly_v9_0037,train,polygon,pilot_v9_topup_polygon,0.0,4,0.9,0.6153846153846154,0.7619047619047619,0.35802469135802467,3.1704347793316905,312,486,0,0.06571702659130096,0.2026216983795166,0.26833873987197876,0.0,0.999968409538269,0.04686664789915085,COMSOL_DATA_BASELINE_pilot_v9_only
123,557,poly_v9_0038,train,polygon,pilot_v9_topup_polygon,0.0,5,0.9,0.6867924528301886,0.814317673378076,0.12184873949579832,2.7056498474342887,418,476,0,0.05643630772829056,0.16884690523147583,0.2252832055091858,0.0,0.9999798536300659,0.06000242009758949,COMSOL_DATA_BASELINE_pilot_v9_only
123,558,poly_v9_0039,train,polygon,pilot_v9_topup_polygon,0.0,6,0.9,0.7307692307692307,0.8444444444444444,0.2692307692307692,0.6336647090387272,266,364,0,0.019130857661366463,0.10473120212554932,0.12386205792427063,0.0,0.9999604225158691,0.03836634010076523,COMSOL_DATA_BASELINE_pilot_v9_only
123,559,poly_v9_0040,train,polygon,pilot_v9_topup_polygon,0.0,4,0.9,0.7380497131931166,0.8492849284928493,0.11410788381742738,2.8065730507782463,427,482,0,0.04251039773225784,0.16026288270950317,0.20277327299118042,0.0,0.9998724460601807,0.06383823603391647,COMSOL_DATA_BASELINE_pilot_v9_only
123,560,poly_v9_0041,train,polygon,pilot_v9_topup_polygon,0.0,5,0.9,0.652542372881356,0.7897435897435897,0.2159090909090909,3.0971890439389087,214,176,0,0.040827080607414246,0.21774882078170776,0.2585759162902832,0.0,0.9999977350234985,0.029743656516075134,COMSOL_DATA_BASELINE_pilot_v9_only
