candidate,seed,split,group_type,group,K,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite
starconvex_radial_screening_mean,mean,val,defect_type,rotated_rect,32,0.5,57,0.4414890370050759,0.5981053563504778,0.4249631574671601,1.0707153066208488,0.0,4.0,52.0,0.6146312358883934
starconvex_radial_screening_std,sample_std,val,defect_type,rotated_rect,32,0.5,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,val,overall,all,32,0.5,200,0.35642484007540204,0.5031179080924442,0.6949503097480414,1.063473194744438,0.0,13.0,186.0,0.16459243841980475
starconvex_radial_screening_std,sample_std,val,overall,all,32,0.5,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,val,signal_bin,low_signal,32,0.5,67,0.27603878180399705,0.40876454163951004,0.9109112144352,1.1470269852164965,0.0,2.0,65.0,-0.22610789099169282
starconvex_radial_screening_std,sample_std,val,signal_bin,low_signal,32,0.5,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,val,signal_bin,non_low_signal,32,0.5,133,0.3969200724376888,0.5506493032228698,0.5861579743041342,1.0213821875141527,0.0,11.0,121.0,0.36141140135642436
starconvex_radial_screening_std,sample_std,val,signal_bin,non_low_signal,32,0.5,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening,42,test,overall,all,32,0.5,200,0.3460847702299396,0.49219490343276107,0.8348261467309555,1.1617004242166877,0,16,184,0.0034535269317452766
starconvex_radial_screening,42,test,area_bin,small,32,0.5,67,0.2800029719420449,0.4184444620895834,1.272253265705369,1.3258582215700576,0,1,66,-0.5738058316737407
starconvex_radial_screening,42,test,area_bin,medium,32,0.5,66,0.3494324563806237,0.496676873628367,0.6726145837875679,1.1671918238880057,0,4,62,0.1734947462214228
starconvex_radial_screening,42,test,area_bin,large,32,0.5,67,0.40886884783208577,0.5615302696578792,0.5571895225962968,0.9921331883811239,0,11,56,0.41320959489366815
starconvex_radial_screening,42,test,signal_bin,low_signal,32,0.5,67,0.27425485310948483,0.40740629143220786,1.2142286117318468,1.2298530470301856,0,5,62,-0.5325674671901541
starconvex_radial_screening,42,test,signal_bin,non_low_signal,32,0.5,133,0.38226976607257473,0.5349079636134909,0.6436985891741153,1.1273678999422188,0,11,122,0.27347914051195044
starconvex_radial_screening,42,test,defect_type,multi_defect,32,0.5,62,0.31462465658668515,0.4555799776557291,1.0263515062637611,1.0497172023019483,0,1,61,-0.2561468720213469
starconvex_radial_screening,42,test,defect_type,polygon,32,0.5,75,0.3228691852370018,0.4634136603870129,0.9723217415307762,1.219458154241244,0,7,68,-0.18603889590676148
starconvex_radial_screening,42,test,defect_type,rotated_rect,32,0.5,63,0.40468311817203667,0.5624920244900166,0.48265564036555036,1.2031469322622768,0,8,55,0.4845195022965028
starconvex_radial_screening_mean,mean,test,area_bin,large,32,0.5,67,0.40886884783208577,0.5615302696578792,0.5571895225962968,0.9921331883811239,0.0,11.0,56.0,0.41320959489366815
starconvex_radial_screening_std,sample_std,test,area_bin,large,32,0.5,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,test,area_bin,medium,32,0.5,66,0.3494324563806237,0.496676873628367,0.6726145837875679,1.1671918238880057,0.0,4.0,62.0,0.1734947462214228
starconvex_radial_screening_std,sample_std,test,area_bin,medium,32,0.5,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,test,area_bin,small,32,0.5,67,0.2800029719420449,0.4184444620895834,1.272253265705369,1.3258582215700576,0.0,1.0,66.0,-0.5738058316737407
starconvex_radial_screening_std,sample_std,test,area_bin,small,32,0.5,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,test,defect_type,multi_defect,32,0.5,62,0.31462465658668515,0.4555799776557291,1.0263515062637611,1.0497172023019483,0.0,1.0,61.0,-0.2561468720213469
starconvex_radial_screening_std,sample_std,test,defect_type,multi_defect,32,0.5,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,test,defect_type,polygon,32,0.5,75,0.3228691852370018,0.4634136603870129,0.9723217415307762,1.219458154241244,0.0,7.0,68.0,-0.18603889590676148
starconvex_radial_screening_std,sample_std,test,defect_type,polygon,32,0.5,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,test,defect_type,rotated_rect,32,0.5,63,0.40468311817203667,0.5624920244900166,0.48265564036555036,1.2031469322622768,0.0,8.0,55.0,0.4845195022965028
starconvex_radial_screening_std,sample_std,test,defect_type,rotated_rect,32,0.5,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,test,overall,all,32,0.5,200,0.3460847702299396,0.49219490343276107,0.8348261467309555,1.1617004242166877,0.0,16.0,184.0,0.0034535269317452766
starconvex_radial_screening_std,sample_std,test,overall,all,32,0.5,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,test,signal_bin,low_signal,32,0.5,67,0.27425485310948483,0.40740629143220786,1.2142286117318468,1.2298530470301856,0.0,5.0,62.0,-0.5325674671901541
starconvex_radial_screening_std,sample_std,test,signal_bin,low_signal,32,0.5,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starconvex_radial_screening_mean,mean,test,signal_bin,non_low_signal,32,0.5,133,0.38226976607257473,0.5349079636134909,0.6436985891741153,1.1273678999422188,0.0,11.0,122.0,0.27347914051195044
starconvex_radial_screening_std,sample_std,test,signal_bin,non_low_signal,32,0.5,133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
