candidate_order,model,family,alpha,gamma,C,epsilon,sklearn_available,selected_by_validation,validation_selection_metric,test_final_only,evaluation_role,split,sample_count,normalized_param_mae_mean_mean,dimension_param_mae_norm_mean,curvature_param_mae_norm_mean,L_mae_mm_mean,W_mae_mm_mean,D_mae_mm_mean,wLD_abs_error_mean,wWD_abs_error_mean,wLW_abs_error_mean,curvature_mae_mean_mean,projected_mask_iou_mean,projected_mask_dice_mean,projected_mask_area_error_mean,projected_mask_center_error_px_mean,profile_depth_rmse_m_mean,volume_proxy_rel_error_mean,clip_applied_mean,feature_count,notes
9,lssvm_rbf_alpha_0p001_gamma_0p00343643,LS-SVM-like-RBF,0.001,0.00343642612,,,,False,0.7160539627075195,False,validation_screen_only,val,39,0.7151357191495407,0.5343418912245677,0.8959295352300009,2.5407989495075665,2.3767771331163554,1.0130274179272163,0.21595407602114555,0.20028417844038743,0.17443329707170144,0.19689051763942608,0.7260178972417233,0.8277987299552351,0.40649340797633876,0.0,0.0005047949645160817,0.9141594853964514,0.05128205128205128,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
10,lssvm_rbf_alpha_0p001_gamma_0p00687285,LS-SVM-like-RBF,0.001,0.00687285223,,,,False,0.7561528086662292,False,validation_screen_only,train,162,0.0007818076268404745,0.0006319419282792498,0.0009316733228416401,0.003064258231057061,0.0028352161156542507,0.001175181773479706,0.0002114309204949273,0.00021898746490478516,0.00018320333810500157,0.00020454057499187507,0.9992833539850875,0.9996396162455303,0.0007246390200942629,0.0,5.486166850083495e-07,0.0008012296931137811,0.0,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
10,lssvm_rbf_alpha_0p001_gamma_0p00687285,LS-SVM-like-RBF,0.001,0.00687285223,,,,False,0.7561528086662292,False,validation_screen_only,val,39,0.7561528281523631,0.614104779675985,0.8982008829330786,3.213204107223413,2.6961491035345273,1.104148153263407,0.21066884352610663,0.20064262549082437,0.18012171525221604,0.1971443965075872,0.6806810997410074,0.7939100533363005,0.513824550382384,0.0,0.000530999932659772,1.1472375391187304,0.0,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
11,lssvm_rbf_alpha_0p001_gamma_0p0171821,LS-SVM-like-RBF,0.001,0.0171821306,,,,False,0.8774549961090088,False,validation_screen_only,train,162,0.00084956366382683,0.0007973974784868511,0.0009017298522658278,0.004895359139751505,0.0034869407062177306,0.001260500550729993,0.00020338613309977966,0.0002021138314847593,0.00018731973789356374,0.00019760656689385664,0.9991819811167388,0.9995888063076165,0.0008263666239031012,0.0,5.957671897654305e-07,0.0010401937027239307,0.0,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
11,lssvm_rbf_alpha_0p001_gamma_0p0171821,LS-SVM-like-RBF,0.001,0.0171821306,,,,False,0.8774549961090088,False,validation_screen_only,val,39,0.877454950259282,0.8341512351464002,0.9207586646080017,4.991251543164253,3.5232028943987994,1.3928136676549911,0.20747979023517707,0.20475137539398977,0.19291850695243248,0.20171655829136187,0.5925862834604777,0.7178955970450737,0.7937699755984008,0.0,0.0006438476807372167,1.9816467451247781,0.0,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
12,lssvm_rbf_alpha_0p01_gamma_0p00171821,LS-SVM-like-RBF,0.01,0.00171821306,,,,False,0.7256412506103516,False,validation_screen_only,train,162,0.02392391765340703,0.018375691739313395,0.029472143670621637,0.08143448378936743,0.08502923954784135,0.035180715263395765,0.0069165299704045426,0.0067985024717119,0.005712072422474991,0.006475701630992217,0.98508767447084,0.9924305059072995,0.014847359747931456,0.0,1.647185798379656e-05,0.023947917563251885,0.024691358024691357,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
12,lssvm_rbf_alpha_0p01_gamma_0p00171821,LS-SVM-like-RBF,0.01,0.00171821306,,,,False,0.7256412506103516,False,validation_screen_only,val,39,0.7194062524881119,0.5252681881284866,0.913544333516023,2.27643132630067,2.4248576767933674,1.020215128476803,0.2204864712861868,0.2046667612515963,0.17720885613025764,0.2007873611859022,0.7283257529677645,0.830943111659435,0.38259082997339994,0.0,0.000506582086437937,0.850885903834282,0.10256410256410256,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
13,lssvm_rbf_alpha_0p01_gamma_0p00343643,LS-SVM-like-RBF,0.01,0.00343642612,,,,False,0.7159478068351746,False,validation_screen_only,train,162,0.011314683996951553,0.008747975733619828,0.013881392199919778,0.03954877410038018,0.03990428910855158,0.016751381470879286,0.003207173980312583,0.003273708584867878,0.002669793220213902,0.00305022527125986,0.9925063966481525,0.9962166151710663,0.007388058615786262,0.0,7.822607774383212e-06,0.011283655334342729,0.006172839506172839,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
13,lssvm_rbf_alpha_0p01_gamma_0p00343643,LS-SVM-like-RBF,0.01,0.00343642612,,,,False,0.7159478068351746,False,validation_screen_only,val,39,0.7150964053013386,0.534271574113518,0.8959212331817701,2.542653070237392,2.373329745271267,1.0134204597427294,0.2157918902543875,0.20035516757231492,0.1745060697579995,0.19688437434916312,0.7262575294790378,0.8279537148935281,0.4065502111532378,0.0,0.000504588992603553,0.9143000146126485,0.05128205128205128,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
14,lssvm_rbf_alpha_0p01_gamma_0p00687285,LS-SVM-like-RBF,0.01,0.00687285223,,,,False,0.7565373182296753,False,validation_screen_only,train,162,0.007738025150445784,0.006255648893312793,0.009220401361946844,0.030351871693575824,0.02806513561050833,0.011629115979842565,0.002092248127784258,0.002166734065538571,0.001813707160361019,0.002024229785249954,0.9944082823704389,0.9971815528805736,0.005467489751068538,0.0,5.429268325958028e-06,0.007961224123525207,0.0,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
