model,sample_index,source_index,area_bin,defect_type,mse,mae,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,pred_area_lt_true,pred_area_gt_true,pred_center_x,pred_center_y,true_center_x,true_center_y,source_true_area_pixels
CURRENT_BASELINE,31,803,small,polygon,15631.4912109375,35.97522735595703,0.2469982847341338,0.39614855570839064,0.27899686520376177,1.0920575857162476,6.212890967034468,4.857627986480381,False,False,True,-6.526381492614746,5.152257442474365,-5.549770832061768,4.6635637283325195,319
CURRENT_BASELINE,32,571,small,rotated_rect,16963.642578125,35.33176040649414,0.1774960380348653,0.30148048452220727,0.4711934156378601,1.0410540103912354,3.9135122022741626,7.400649534261646,False,True,False,-1.8416008949279785,4.626419544219971,-1.8288978338241577,3.5854430198669434,486
CURRENT_BASELINE,33,463,small,polygon,11716.87890625,31.011518478393555,0.4421416234887737,0.6131736526946108,0.030660377358490566,0.7639840841293335,6.258573988850898,6.456533750055428,False,True,False,3.480724811553955,5.040920734405518,3.689556121826172,4.306032180786133,424
CURRENT_BASELINE,34,126,medium,rotated_rect,14164.0048828125,37.39390563964844,0.48297604035308955,0.6513605442176871,0.11538461538461539,0.9541365504264832,8.405676014223104,9.502068537817422,False,True,False,2.790037155151367,5.042453289031982,2.9602339267730713,5.981287479400635,624
CURRENT_BASELINE,35,407,medium,rotated_rect,13332.0634765625,36.770748138427734,0.5586592178770949,0.7168458781362007,0.0364963503649635,0.7219327688217163,8.649318797244064,8.344765318467864,False,False,True,-2.767977237701416,4.794600963592529,-2.813978672027588,4.0741353034973145,548
CURRENT_BASELINE,36,865,medium,polygon,19413.462890625,41.1645622253418,0.381468110709988,0.5522648083623694,0.15730337078651685,0.5189809203147888,7.994528817875235,9.486840863878612,False,True,False,-5.648097515106201,5.038768291473389,-5.789743423461914,5.538045406341553,623
CURRENT_BASELINE,37,612,medium,rotated_rect,24442.015625,44.12997055053711,0.20385395537525355,0.33866891322662174,0.44021024967148487,1.792101263999939,6.486989097933048,11.588259867434388,False,True,False,2.2121167182922363,4.95139217376709,2.3901703357696533,6.734626293182373,761
CURRENT_BASELINE,38,139,medium,rotated_rect,22850.6875,43.39841079711914,0.3133253301320528,0.47714808043875684,0.5605263157894737,1.5515356063842773,5.08604309556253,11.573032193495578,False,True,False,-5.303012371063232,4.931349754333496,-5.345014572143555,3.380382776260376,760
CURRENT_BASELINE,39,293,medium,rotated_rect,15273.9443359375,36.68013381958008,0.5061881188118812,0.6721446179129006,0.33287671232876714,0.15934018790721893,7.415877208200456,11.116201975331279,False,True,False,-2.0398192405700684,4.720718860626221,-2.1340951919555664,4.849176406860352,730
CURRENT_BASELINE,40,271,medium,rotated_rect,20119.75390625,40.80104446411133,0.2413793103448276,0.3888888888888889,0.42565597667638483,1.481762409210205,5.999703531891129,10.44618432202364,False,True,False,-5.848787307739258,5.063836097717285,-5.749300479888916,3.5854172706604004,686
CURRENT_BASELINE,41,655,medium,rotated_rect,11393.84765625,30.59773063659668,0.5857740585774058,0.7387862796833773,0.3425655976676385,0.3985935151576996,6.867680946403297,10.44618432202364,False,True,False,1.8653690814971924,4.956662178039551,1.939581274986267,4.565038204193115,686
CURRENT_BASELINE,42,377,medium,multi_defect,18758.216796875,45.560123443603516,0.40809443507588533,0.5796407185628742,0.484573502722323,3.4216055870056152,4.324659398622032,8.390448340284294,False,True,False,-6.814176082611084,5.014226913452148,-3.446406364440918,5.618801593780518,551
CURRENT_BASELINE,43,151,medium,rotated_rect,20832.00390625,39.617919921875,0.25909592061742004,0.4115586690017513,0.5489199491740788,1.5701543092727661,5.40582424827754,11.984179389843447,False,True,False,7.29414701461792,5.147531986236572,7.352933883666992,3.5784785747528076,787
CURRENT_BASELINE,44,620,medium,rotated_rect,17060.42578125,39.18337631225586,0.45424107142857145,0.624712202609363,0.3589420654911839,1.0612685680389404,7.750886034854275,12.090773107415117,False,True,False,-2.37607479095459,4.7337822914123535,-2.4697797298431396,5.790905952453613,794
CURRENT_BASELINE,45,436,medium,rotated_rect,15183.2236328125,31.8732852935791,0.34750733137829914,0.515778019586507,0.5201288244766505,0.5107690095901489,4.5378468337653715,9.456385516000992,False,True,False,0.5721560716629028,4.869161128997803,0.5788605213165283,5.379886150360107,621
CURRENT_BASELINE,46,419,medium,polygon,22251.8984375,44.206024169921875,0.2568527918781726,0.4087237479806139,0.3179347826086957,1.4086822271347046,7.644292317282606,11.207568018964139,False,True,False,-2.303950071334839,4.734395503997803,-2.423326015472412,6.138010501861572,736
CURRENT_BASELINE,47,59,medium,rotated_rect,11400.0517578125,32.442626953125,0.5907692307692308,0.7427466150870407,0.007766990291262136,0.6846259832382202,7.903162774242375,7.842252078487135,False,False,True,2.082522392272949,4.9662322998046875,2.22076416015625,5.63675594329834,515
CURRENT_BASELINE,48,717,medium,rotated_rect,11234.939453125,33.58205795288086,0.7385786802030457,0.8496350364963504,0.10249307479224377,0.3364449739456177,9.867532712348861,10.9943805838208,False,True,False,3.7872231006622314,5.150424003601074,3.892871618270874,4.830996990203857,722
CURRENT_BASELINE,49,425,medium,rotated_rect,14879.771484375,36.61551284790039,0.4577883472057075,0.6280587275693311,0.13677811550151975,0.9692148566246033,8.649318797244064,10.019809451736961,False,True,False,1.9252955913543701,4.957497596740723,2.02394962310791,5.92167854309082,658
CURRENT_BASELINE,50,214,medium,multi_defect,22852.82421875,46.538780212402344,0.3212121212121212,0.48623853211009177,0.19586206896551725,1.4733703136444092,8.877733906326213,11.04006360563723,False,True,False,-0.9018075466156006,4.822842121124268,-1.0033962726593018,3.352978229522705,725
CURRENT_BASELINE,51,195,medium,rotated_rect,22080.44140625,45.906105041503906,0.22373949579831934,0.36566523605150214,0.1534195933456562,1.702139973640442,9.502068537817422,8.238171600896194,False,False,True,-1.3536431789398193,4.802835941314697,-1.3101087808609009,3.101252794265747,541
CURRENT_BASELINE,52,79,medium,multi_defect,18078.087890625,39.221099853515625,0.33764367816091956,0.5048335123523093,0.334525939177102,0.40080153942108154,5.664694705237309,8.512269731794774,False,True,False,-1.3802886009216309,4.818887710571289,-1.6090741157531738,4.489799499511719,559
CURRENT_BASELINE,53,295,medium,rotated_rect,21404.509765625,38.31267547607422,0.003305785123966942,0.006589785831960461,0.9883333333333333,1.8649495840072632,0.1065937175716698,9.136604363285983,False,True,False,5.1363959312438965,5.079365253448486,4.763065814971924,6.9065656661987305,600
CURRENT_BASELINE,54,664,medium,rotated_rect,19492.666015625,40.517189025878906,0.23786407766990292,0.3843137254901961,0.003929273084479371,1.8897188901901245,7.781341382731895,7.750886034854275,False,False,True,-7.365251064300537,5.190456390380859,-7.4217352867126465,3.301581859588623,509
CURRENT_BASELINE,55,814,medium,polygon,26615.5390625,47.64485168457031,0.18455743879472694,0.31160572337042924,0.2479108635097493,1.5830628871917725,8.222943926957385,10.93346988806556,False,True,False,6.804299354553223,5.216610431671143,7.011729717254639,3.6471962928771973,718
CURRENT_BASELINE,56,996,medium,polygon,18598.484375,42.897544860839844,0.3898989898989899,0.561046511627907,0.05923836389280677,1.2251633405685425,10.15685851718625,10.79642082261627,False,True,False,2.0175466537475586,4.948586463928223,2.138725996017456,6.1677422523498535,709
CURRENT_BASELINE,57,772,medium,polygon,30273.046875,51.75012969970703,0.05595116988809766,0.10597302504816955,0.24957841483979765,2.49013614654541,6.776314902770437,9.030010645714313,False,True,False,-3.959742546081543,4.906367301940918,-4.170897006988525,7.3875346183776855,593
CURRENT_BASELINE,58,531,medium,polygon,25951.51953125,42.671241760253906,0.08445532435740515,0.15575620767494355,0.7711511789181692,1.1392526626586914,2.5125661999036453,10.97915290988199,False,True,False,7.518958568572998,5.104377269744873,7.6684746742248535,3.974978446960449,721
CURRENT_BASELINE,59,595,medium,rotated_rect,18846.42578125,44.708351135253906,0.4259818731117825,0.597457627118644,0.022857142857142857,1.0929319858551025,10.90301454018794,10.65937175716698,False,False,True,3.178462266921997,5.130212306976318,3.3206748962402344,6.213852405548096,700
CURRENT_BASELINE,60,726,medium,rotated_rect,24214.09375,44.132911682128906,0.1,0.18181818181818182,0.5754098360655737,2.0200729370117188,3.9439675501517826,9.288881102674083,False,True,False,-5.429172992706299,4.945984840393066,-5.4330668449401855,6.9660539627075195,610
CURRENT_BASELINE,61,785,medium,polygon,24464.435546875,47.181217193603516,0.19699812382739212,0.329153605015674,0.10214168039538715,1.5274771451950073,10.18731386506387,9.243198080857653,False,False,True,-5.850666046142578,5.074059009552002,-5.436697483062744,3.6037473678588867,607
CURRENT_BASELINE,62,969,medium,polygon,22969.9609375,39.61396408081055,0.024456521739130436,0.04774535809018567,0.9056603773584906,1.6984962224960327,0.9897988060226481,10.49186734384007,False,True,False,6.323540687561035,5.24320125579834,6.708323955535889,3.5888640880584717,689
CURRENT_BASELINE,63,332,medium,rotated_rect,18255.255859375,38.365421295166016,0.2884848484848485,0.4477892756349953,0.3671274961597542,1.2048498392105103,6.273801662789708,9.913215734165291,False,True,False,-1.364467978477478,4.715112209320068,-1.3335107564926147,5.919564247131348,651
CURRENT_BASELINE,64,769,medium,multi_defect,21075.60546875,47.905723571777344,0.45517841601392517,0.6255980861244019,0.22933333333333333,0.654325544834137,14.039915371582794,11.420755454107478,False,False,True,-5.691200256347656,5.039877891540527,-5.474773406982422,5.657373905181885,750
CURRENT_BASELINE,65,100,medium,rotated_rect,20529.314453125,42.21501541137695,0.33367875647668394,0.5003885003885004,0.22727272727272727,1.3976963758468628,8.542725079672394,11.05529127957604,False,True,False,-6.1393866539001465,5.129188060760498,-5.990281581878662,6.518908500671387,726
