model,seed,selected_seed,split,param,sample_count,normalized_mae,physical_mae,physical_mae_mm,relative_mae,r2
conv1d_rbc_param_gate,2026,False,train,W_m,76,0.5606356859207153,0.0025458033196628094,2.5458033084869385,0.22692295908927917,0.4572710157183685
conv1d_rbc_param_gate,2026,False,train,D_m,76,0.699277400970459,0.0010759063297882676,1.0759062767028809,0.4429907500743866,0.24327891695901782
conv1d_rbc_param_gate,2026,False,train,wLD,76,0.83183354139328,0.20004642009735107,,,0.11077596031289971
conv1d_rbc_param_gate,2026,False,train,wWD,76,0.78897625207901,0.17420731484889984,,,0.160127109060333
conv1d_rbc_param_gate,2026,False,train,wLW,76,0.8604186177253723,0.18401983380317688,,,0.10348118626448932
conv1d_rbc_param_gate,2026,False,train,ALL,76,0.6996538639068604,0.09412913024425507,,,
conv1d_rbc_param_gate,2026,False,train,DIMENSION_MEAN,76,0.5722317695617676,0.0021670458372682333,2.167045831680298,,
conv1d_rbc_param_gate,2026,False,train,CURVATURE_MEAN,76,0.8270761370658875,0.18609119951725006,,,
conv1d_rbc_param_gate,2026,False,val,L_m,18,0.38438180088996887,0.0024230359122157097,2.4230358600616455,0.13698427379131317,0.7473211393437408
conv1d_rbc_param_gate,2026,False,val,W_m,18,0.4929209351539612,0.00223831576295197,2.2383158206939697,0.2059526890516281,0.4547554163674027
conv1d_rbc_param_gate,2026,False,val,D_m,18,0.8424213528633118,0.0012961475877091289,1.2961475849151611,0.4488258361816406,0.0756019392511158
conv1d_rbc_param_gate,2026,False,val,wLD,18,0.9811975955963135,0.2359667867422104,,,-0.5375980194561214
conv1d_rbc_param_gate,2026,False,val,wWD,18,1.120339274406433,0.24737286567687988,,,-0.8407067952859948
conv1d_rbc_param_gate,2026,False,val,wLW,18,0.8622339367866516,0.18440808355808258,,,-0.5321520597170324
conv1d_rbc_param_gate,2026,False,val,ALL,18,0.7805824279785156,0.11228421330451965,,,
conv1d_rbc_param_gate,2026,False,val,DIMENSION_MEAN,18,0.5732413530349731,0.0019858330488204956,1.9858330488204956,,
