sample_id,split,shape_type,topology_type,representation_target,diagnosis,target_role,suitable_for_six_param_refinement,include_in_success_gate,include_in_rbc_control_gate,include_as_negative_control,exclude_reason,failure_reason,oracle_profile_depth_rmse_m,oracle_projected_mask_Dice,baseline_profile_depth_rmse_m,baseline_projected_mask_Dice,baseline_minus_oracle_rmse_m,true_component_count,pred_component_count,component_recall_proxy,merge_component_proxy
surf_shape_034_flat_bottom_pit,train,flat_bottom_pit,single_component,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,4.40169918561442e-05,0.9598540145985401,0.0005240547752796816,0.4141732283464567,0.0004800377834235374,1,1,1.0,False
surf_shape_035_flat_bottom_pit,val,flat_bottom_pit,single_component,polygon_or_contour,rbc_representable_and_model_pass,already_pass_reference,True,False,False,False,,oracle_and_model_pass,7.400142129588298e-05,0.9615384615384616,0.000250923832480526,0.702247191011236,0.000176922411184643,1,1,1.0,False
surf_shape_036_flat_bottom_pit,val,flat_bottom_pit,single_component,polygon_or_contour,rbc_representable_and_model_pass,already_pass_reference,True,False,False,False,,oracle_and_model_pass,8.892428660356799e-05,0.9539078156312625,0.00017618257455745984,0.8855813953488372,8.725828795389185e-05,1,1,1.0,False
surf_shape_037_flat_bottom_pit,val,flat_bottom_pit,single_component,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,7.788210030149947e-05,0.9494949494949495,0.00047869995797212217,0.36258437801350046,0.0004008178576706227,1,1,1.0,False
surf_shape_038_flat_bottom_pit,test,flat_bottom_pit,single_component,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,9.614529281787004e-05,0.9460431654676259,0.0004728785356781078,0.4897579143389199,0.00037673324286023775,1,1,1.0,False
surf_shape_039_flat_bottom_pit,test,flat_bottom_pit,single_component,polygon_or_contour,rbc_representable_and_model_pass,already_pass_reference,True,False,False,False,,oracle_and_model_pass,0.00015498528051100492,0.9521410579345088,0.0002418089170758106,0.7737973387922211,8.682363656480567e-05,1,1,1.0,False
surf_shape_040_flat_bottom_pit,test,flat_bottom_pit,single_component,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,0.00020743362483483535,0.9582504970178927,0.00039155203245765796,0.5810729355033153,0.0001841184076228226,1,1,1.0,False
surf_shape_041_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,4.849390786308219e-05,0.9161290322580645,0.0005835578257782034,0.31098430813124106,0.0005350639179151212,1,1,1.0,False
surf_shape_042_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,rbc_representable_but_model_fail,refinement_target,True,True,False,False,,baseline_mask_dice_low,5.850144423903751e-05,0.92018779342723,0.00040638869536142457,0.5561694290976059,0.00034788725112238706,1,1,1.0,False
surf_shape_043_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,single_component,polygon_or_contour,rbc_representable_and_model_pass,already_pass_reference,True,False,False,False,,oracle_and_model_pass,0.00010536019688155603,0.9116080937167199,0.00024249800209352713,0.7708703374777975,0.00013713780521197111,1,1,1.0,False
