split,sample_pos,sample_index,csv_sample_index,source_sample_id,source_global_index,hard_case_type,signal_mean,signal_std,signal_min,signal_max,signal_range,signal_peak_abs,std_floor_triggered,zscore_input_norm_after_runner_floor,signal_energy_center_x,defect_center_x,defect_center_y,bbox_center_x,bbox_center_y,bbox_center_x_error_cells,bbox_center_y_error_cells,bbox_axis_x_error_cells,bbox_axis_y_error_cells,mask_area
train,20,20,20,v3_train_020,20,bins_correct_center_or_offset_bad,-4.143944587970812e-05,3.246175025795026e-09,-4.1447117837378755e-05,-4.143638216191903e-05,1.0735675459727645e-08,4.1447117837378755e-05,True,7.951472428963835e-08,0.004646093283704501,0.0189168062535111,0.0006,0.019095477182418108,0.0006060603591322433,0.4444439455902816,0.029998778375129646,0.9955627634273329,0.28000075284418496,138.0
train,21,21,21,v3_train_021,21,bins_correct_center_or_offset_bad,-4.143656495216419e-05,5.791037803697551e-10,-4.143743353779428e-05,-4.143491969443858e-05,2.5138433557003736e-09,4.143743353779428e-05,True,1.4185087700226776e-08,0.004648264887601042,-0.0164600781685333,-0.0046,-0.016482412349432707,-0.004646464716643095,0.05555627622905052,0.2300003525242292,1.543333614164183,1.289998279809583,96.0
train,22,22,22,v3_train_022,22,geometry_or_type_interaction,-4.1438973015222775e-05,2.595761697785301e-09,-4.144592458033003e-05,-4.143679325352423e-05,9.1313268058002e-09,4.144592458033003e-05,True,6.358291653434543e-08,0.003986760135311313,0.0143288888888888,0.0018533333333333,0.014472363516688347,0.0018181815394200385,0.35689314462855426,0.17400138375987842,0.9000025402755117,0.9600011537131182,80.0
train,23,23,23,v3_train_023,23,geometry_or_type_interaction,-4.143897190563924e-05,2.5034501776983377e-09,-4.1444640373811126e-05,-4.143656769883819e-05,8.072674972936511e-09,4.1444640373811126e-05,True,6.132175531840803e-08,0.004608014468558381,0.0174044444444444,0.0028466666666666,0.01748743699863553,0.002828282886184752,0.2064439831648209,0.09099971541914896,1.2266599582940514,1.2899971272978712,84.0
train,24,24,24,v3_train_024,24,geometry_or_type_interaction,-4.1438128707037926e-05,1.2937959479862722e-09,-4.144230842939578e-05,-4.143711339565925e-05,5.195033736526966e-09,4.144230842939578e-05,True,3.169139903846812e-08,-0.003662305844497234,-0.0150755555555555,0.00384,-0.015075377654284239,0.003838383825495839,0.0004425294221536818,0.008000063974412207,0.5733358555968994,0.6299959600341745,76.0
train,25,25,25,v3_train_025,25,geometry_or_type_interaction,-4.143716715285943e-05,4.734402794841952e-10,-4.143850310356356e-05,-4.143638216191903e-05,2.1209416445344687e-09,4.143850310356356e-05,True,1.1596871084169373e-08,-0.006384518053030101,-0.0119999999999999,-0.0031666666666666,-0.012060301378369331,-0.003232323215343058,0.14999968204671557,0.324999923212783,0.9000025402755117,0.9599994249455505,80.0
train,26,26,26,v3_train_026,26,geometry_or_type_interaction,-4.1437635627517014e-05,1.2855486276902175e-09,-4.144106787862256e-05,-4.1436349420109764e-05,4.718458512797952e-09,4.144106787862256e-05,True,3.148938177376178e-08,-0.005229520271370645,-0.0089244444444444,-0.0021733333333333,-0.009045226965099573,-0.0022222221014089882,0.3004465268452468,0.24199940738376433,1.2266645916239638,1.2900011610888626,84.0
train,27,27,27,v3_train_027,27,rare_y_bin_wrong,-4.14382919552736e-05,2.0124212392808464e-09,-4.144315971643664e-05,-4.143650585319847e-05,6.653863238170743e-09,4.144315971643664e-05,True,4.9294051837774445e-08,-0.0012173026225535295,-0.0026666666666666,0.0056161616161333,-0.0028140698559582233,0.005656565772369504,0.3666654415585249,0.2000005778395692,0.81999575985586,0.9400009476766197,216.0
train,28,28,28,v3_train_028,28,rare_y_bin_wrong,-4.1440816942971045e-05,5.715347240442301e-09,-4.1454146412434056e-05,-4.1435847379034385e-05,1.8299033399671316e-08,4.1454146412434056e-05,True,1.399968444190756e-07,0.0008186759214878758,0.0014222222222222,0.0008282828282666,0.0014070356264710426,0.0008080810657702386,0.03777665777537794,0.0999987265921345,1.839993412438384,1.6000003861727488,186.0
train,29,29,29,v3_train_029,29,rare_y_bin_wrong,-4.1435510477943654e-05,8.992543143770309e-10,-4.1436949686612934e-05,-4.1433122532907873e-05,3.827153705060482e-09,4.1436949686612934e-05,True,2.2027142192200565e-08,-0.0031459757817162985,0.0055111111111111,-0.0040808080808066,0.0054271353874355555,-0.004141414072364569,0.20888961731196462,0.2999996649174595,1.166663560472896,1.2600011401620437,231.0
val,0,0,0,v3_val_000,30,x_bin_wrong_like,-4.143954798564664e-05,4.883372003670208e-09,-4.1452047298662364e-05,-4.1434483136981726e-05,1.756416168063879e-08,4.1452047298662364e-05,True,1.1961769633184712e-07,0.004792956055094937,0.0111097710776888,-0.0012666666666666,0.011055277893319726,-0.0013131310988683254,0.1355517991478923,0.2299989445394174,1.1466682361966147,1.259997970754836,259.0
val,1,1,1,v3_val_001,31,x_bin_wrong_like,-4.144136622320123e-05,7.501884047277562e-09,-4.145786806475371e-05,-4.1434632294112816e-05,2.323577064089477e-08,4.145786806475371e-05,True,1.837578802535514e-07,-0.006955063417479149,-0.0244279173646044,-0.0006333333333333,-0.024321608245372772,-0.0006060608029656578,0.26444393999945465,0.13499902833729244,0.9155606163375892,0.9199997692083659,312.0
val,2,2,2,v3_val_002,32,x_bin_wrong_like,-4.1441204806081564e-05,6.948152431910617e-09,-4.1458300984231755e-05,-4.14354435633868e-05,2.2857420844957232e-08,4.1458300984231755e-05,True,1.7019428113259052e-07,0.00019891693599275088,-0.0017545505304888,0.0,-0.001809044973924756,0.0,0.13555493107682967,0.0,1.6088857925796132,1.5800042139272432,264.0
val,3,3,3,v3_val_003,33,both_bins_wrong_like,-4.144141740956305e-05,6.329361891096861e-09,-4.145755883655511e-05,-4.143644400755875e-05,2.1114828996360302e-08,4.145755883655511e-05,True,1.55037070306045e-07,0.004346845340749355,0.0207660524846222,0.0023737373737333,0.020703515503555536,0.0024242427316494286,0.15556074388037994,0.25000152727280694,0.493331391842206,0.523999580277121,280.0
