sample_index,signal_normalization,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
417,none,1.0,10,10,562.1508178710938,5.647284984588623
418,none,1.0,5,5,801.80908203125,5.368323802947998
419,none,1.0,3,3,230.48960876464844,2.1149444580078125
420,none,1.0,9,9,373.99395751953125,3.3408467769622803
421,none,1.0,9,9,748.77783203125,6.752762317657471
422,none,1.0,8,8,265.21942138671875,3.4371438026428223
423,none,1.0,9,9,391.0269470214844,3.499401569366455
424,none,1.0,13,13,1918.5556640625,10.7900390625
425,none,1.0,9,9,414.3586730957031,4.885607719421387
426,none,1.0,9,9,935.6045532226562,5.789997100830078
427,none,1.0,4,4,239.65142822265625,2.777376651763916
428,none,1.0,9,9,2451.97607421875,14.220394134521484
429,none,1.0,11,11,1321.3153076171875,6.728214263916016
430,none,1.0,8,8,1307.7255859375,8.14780044555664
431,none,1.0,6,6,171.7380828857422,1.7471210956573486
432,none,1.0,4,4,32.589256286621094,0.9037612080574036
433,none,1.0,9,9,1898.016845703125,11.428671836853027
434,none,1.0,9,9,1074.6168212890625,7.646334648132324
435,none,1.0,4,4,153.31692504882812,2.124344825744629
436,none,1.0,6,6,88.34119415283203,1.333560585975647
437,none,1.0,8,8,1605.7813720703125,7.710351467132568
438,none,1.0,5,5,943.3826293945312,5.675129413604736
439,none,0.8,8,10,10731.53515625,15.43858528137207
440,none,1.0,6,6,113.87744140625,1.8534982204437256
441,none,1.0,8,8,434.186279296875,4.14320182800293
442,none,0.6666666666666666,4,6,10415.7734375,13.625741958618164
443,none,1.0,2,2,104.08670043945312,1.6316251754760742
444,none,1.0,17,17,2172.704833984375,11.546197891235352
445,none,0.8571428571428571,6,7,5509.28759765625,10.078919410705566
446,none,1.0,6,6,168.3183135986328,2.6176300048828125
447,none,1.0,6,6,232.1584014892578,2.166762351989746
448,none,1.0,8,8,323.978271484375,3.356757879257202
449,none,1.0,15,15,677.5001831054688,5.821465969085693
450,none,1.0,10,10,1440.517333984375,7.519163131713867
451,none,1.0,9,9,428.9214172363281,3.665128231048584
452,none,1.0,13,13,482.42132568359375,4.369311809539795
453,none,0.9166666666666666,11,12,5740.658203125,10.216102600097656
454,none,1.0,4,4,287.88067626953125,3.453896999359131
455,none,0.0,0,9,45101.265625,46.14463424682617
456,none,0.6666666666666666,5,5,10420.990234375,13.401808738708496
457,none,1.0,6,6,419.3963623046875,3.027343988418579
458,none,1.0,9,9,930.121337890625,6.471481800079346
459,none,1.0,4,4,427.9752197265625,3.761284828186035
460,none,1.0,3,3,54.441436767578125,1.1777557134628296
461,none,1.0,6,6,763.8440551757812,5.729938983917236
462,none,1.0,6,6,402.1534729003906,3.7810916900634766
463,none,1.0,5,5,157.40130615234375,2.1195874214172363
464,none,1.0,15,15,1239.7691650390625,7.397037982940674
465,none,1.0,8,8,1153.0672607421875,6.8705830574035645
466,none,0.0,0,6,30373.810546875,32.212032318115234
467,none,0.0,0,4,19960.01953125,19.98308563232422
468,none,1.0,4,4,447.0386962890625,4.348309516906738
469,none,1.0,7,7,1106.172607421875,7.964475154876709
470,none,1.0,4,4,107.64059448242188,2.0735127925872803
471,none,1.0,14,14,1337.4759521484375,9.488363265991211
472,none,1.0,6,6,553.6115112304688,3.825334072113037
473,none,1.0,6,6,688.345458984375,5.04392147064209
474,none,1.0,10,10,529.0408935546875,5.609106063842773
475,none,1.0,7,7,1182.720458984375,7.6431097984313965
476,none,1.0,12,12,627.0882568359375,4.777509689331055
477,none,1.0,19,19,2067.13134765625,11.411816596984863
478,none,1.0,4,4,61.817604064941406,1.3930515050888062
479,none,1.0,14,14,2211.041259765625,14.506382942199707
480,none,0.0,0,2,10051.0927734375,10.840457916259766
481,none,0.4,2,5,13635.67578125,18.751277923583984
482,none,1.0,17,17,553.4328002929688,5.4642157554626465
483,none,1.0,2,2,84.38494873046875,1.560127854347229
484,none,0.0,0,5,25037.794921875,26.627309799194336
485,none,1.0,12,12,246.4927520751953,3.142165422439575
486,none,1.0,5,5,297.2502746582031,2.6924712657928467
487,none,1.0,4,4,285.2095031738281,3.3148458003997803
488,none,1.0,4,4,65.10809326171875,1.212159276008606
489,none,1.0,8,8,874.0217895507812,6.93199348449707
490,none,1.0,11,11,97.44674682617188,1.9883941411972046
491,none,0.0,0,6,30543.193359375,33.641483306884766
492,none,1.0,5,5,236.0942840576172,3.0255115032196045
493,none,1.0,4,4,468.4674072265625,4.398864269256592
494,none,1.0,10,10,980.029541015625,7.017204761505127
495,none,1.0,4,4,331.7371826171875,3.785503625869751
496,none,1.0,5,5,450.05438232421875,4.263298988342285
497,none,1.0,7,7,710.6498413085938,5.047779560089111
498,none,1.0,6,6,160.95579528808594,1.7962708473205566
499,none,1.0,6,6,981.4994506835938,5.899418830871582
500,none,1.0,6,6,275.7513122558594,2.504002809524536
501,none,1.0,9,9,1627.537841796875,6.918207168579102
502,none,1.0,6,6,176.68328857421875,2.913571834564209
503,none,1.0,7,7,879.096435546875,6.054443359375
504,none,1.0,5,5,622.799560546875,5.137582778930664
505,none,0.8333333333333334,5,6,5058.13232421875,6.518131256103516
506,none,0.0,0,4,19965.0703125,20.24066925048828
507,none,1.0,10,10,485.9734802246094,4.504575729370117
508,none,1.0,3,3,179.6483154296875,1.8200148344039917
509,none,1.0,9,9,470.70257568359375,4.083427906036377
510,none,1.0,16,16,214.05699157714844,3.0569567680358887
511,none,1.0,6,6,83.5521011352539,1.6390571594238281
512,none,1.0,5,5,338.6871032714844,3.479586124420166
513,none,1.0,9,9,1082.1221923828125,6.793444633483887
514,none,1.0,2,2,94.32428741455078,1.4070892333984375
515,none,1.0,6,6,536.7901611328125,4.197348594665527
516,none,0.8333333333333334,11,11,10482.16796875,13.543482780456543
517,none,1.0,8,8,1673.716552734375,8.256336212158203
518,none,1.0,9,9,526.5557861328125,4.096287250518799
519,none,1.0,7,7,275.71246337890625,2.4917638301849365
520,none,1.0,12,12,436.4061584472656,3.8034212589263916
521,none,1.0,18,18,2113.49853515625,12.323539733886719
522,none,1.0,6,6,254.87130737304688,3.1657347679138184
523,none,1.0,5,5,217.8652801513672,2.3208866119384766
524,none,1.0,9,9,234.3296356201172,2.32499361038208
525,none,1.0,7,7,1445.74169921875,7.867196083068848
