sample_index,signal_normalization,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
85,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,254373.921875,487.1932067871094
86,per_sample_zscore,concat,mlp,none,direct,1.0,17,17,261361.1875,499.3582763671875
87,per_sample_zscore,concat,mlp,none,direct,1.0,15,15,220049.953125,446.642578125
88,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,267748.28125,504.4377136230469
89,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,233757.4375,475.0921630859375
90,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,181234.0,412.7059326171875
91,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,171260.234375,405.6492004394531
92,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,299365.1875,535.9443359375
93,per_sample_zscore,concat,mlp,none,direct,1.0,10,10,228592.328125,460.1717529296875
94,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,300580.03125,536.4329833984375
95,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,192336.3125,423.7861633300781
96,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,249570.515625,485.5280456542969
97,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,269684.71875,509.7391357421875
98,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,210168.71875,442.1360168457031
99,per_sample_zscore,concat,mlp,none,direct,1.0,10,10,266732.34375,509.50592041015625
100,per_sample_zscore,concat,mlp,none,direct,1.0,13,13,247780.234375,487.866943359375
101,per_sample_zscore,concat,mlp,none,direct,1.0,17,17,214838.96875,447.06829833984375
102,per_sample_zscore,concat,mlp,none,direct,1.0,14,14,209894.71875,445.31439208984375
103,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,286294.75,525.3256225585938
104,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,276502.34375,511.6676330566406
105,per_sample_zscore,concat,mlp,none,direct,1.0,13,13,194918.734375,429.9222412109375
106,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,206221.515625,428.0090026855469
107,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,245405.453125,483.6282653808594
108,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,222128.75,459.9865417480469
109,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,183683.203125,412.7506103515625
110,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,301503.5,534.7941284179688
111,per_sample_zscore,concat,mlp,none,direct,1.0,13,13,170017.5,404.426513671875
112,per_sample_zscore,concat,mlp,none,direct,0.7142857142857143,5,7,221273.1875,463.3563232421875
113,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,252610.453125,497.05419921875
114,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,240635.59375,475.7996826171875
115,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,189879.59375,416.1173400878906
116,per_sample_zscore,concat,mlp,none,direct,1.0,8,8,305539.34375,548.6904296875
117,per_sample_zscore,concat,mlp,none,direct,1.0,2,2,182756.46875,419.4703063964844
118,per_sample_zscore,concat,mlp,none,direct,1.0,7,7,232289.109375,477.9880676269531
119,per_sample_zscore,concat,mlp,none,direct,1.0,11,11,184531.390625,419.32611083984375
120,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,243416.890625,486.2721252441406
121,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,223243.71875,461.2657470703125
122,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,178846.4375,407.99609375
123,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,184443.21875,414.49627685546875
124,per_sample_zscore,concat,mlp,none,direct,1.0,4,4,238032.28125,474.9248352050781
125,per_sample_zscore,concat,mlp,none,direct,1.0,3,3,290904.09375,528.1796875
126,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,220853.859375,448.2990417480469
127,per_sample_zscore,concat,mlp,none,direct,1.0,12,12,243997.71875,478.0367126464844
128,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,219701.015625,458.7374267578125
129,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,223992.1875,462.2759704589844
130,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,231213.9375,464.718505859375
131,per_sample_zscore,concat,mlp,none,direct,1.0,6,6,198642.78125,432.6695861816406
132,per_sample_zscore,concat,mlp,none,direct,1.0,12,12,244623.453125,475.42596435546875
133,per_sample_zscore,concat,mlp,none,direct,1.0,11,11,255102.375,495.7088317871094
134,per_sample_zscore,concat,mlp,none,direct,0.8571428571428571,7,6,237269.890625,474.53021240234375
135,per_sample_zscore,concat,mlp,none,direct,1.0,5,5,232583.609375,468.3343200683594
136,per_sample_zscore,concat,mlp,none,direct,0.8,4,5,312950.125,545.9446411132812
137,per_sample_zscore,concat,mlp,none,direct,1.0,9,9,220951.921875,449.74420166015625
