split,true_center_x_bin,true_center_y_bin,row_count,sample_count,polygon_iou_mean,polygon_iou_min,polygon_iou_max,center_offset_error_mean,center_offset_error_min,center_offset_error_max,center_grid_error_mean,center_grid_error_min,center_grid_error_max,local_vertex_grid_mae_mean,local_vertex_grid_mae_min,local_vertex_grid_mae_max,decoded_vertex_mae_mean,decoded_vertex_mae_min,decoded_vertex_mae_max,x_bin_correct_rate,y_bin_correct_rate,both_bins_correct_rate,zero_iou_rate
train,7,5,1,1,1.0,1.0,1.0,0.0024352818727493286,0.0024352818727493286,0.0024352818727493286,0.03283960628125341,0.03283960628125341,0.03283960628125341,0.0011936724185943604,0.0011936724185943604,0.0011936724185943604,7.130631729523884e-06,7.130631729523884e-06,7.130631729523884e-06,1.0,1.0,1.0,0.0
train,7,7,1,1,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.000779174268245697,0.000779174268245697,0.000779174268245697,0.008634804853255056,0.008634804853255056,0.008634804853255056,0.005691245198249817,0.005691245198249817,0.005691245198249817,2.4031760403886437e-06,2.4031760403886437e-06,2.4031760403886437e-06,1.0,1.0,1.0,0.0
train,8,8,1,1,1.0,1.0,1.0,0.000476248562335968,0.000476248562335968,0.000476248562335968,0.005465834870288182,0.005465834870288182,0.005465834870288182,0.00837014615535736,0.00837014615535736,0.00837014615535736,3.052409738302231e-06,3.052409738302231e-06,3.052409738302231e-06,1.0,1.0,1.0,0.0
train,9,4,1,1,0.9937888198757764,0.9937888198757764,0.9937888198757764,0.0020777881145477295,0.0020777881145477295,0.0020777881145477295,0.0316491345234561,0.0316491345234561,0.0316491345234561,0.006895005702972412,0.006895005702972412,0.006895005702972412,6.553833372890949e-06,6.553833372890949e-06,6.553833372890949e-06,1.0,1.0,1.0,0.0
train,9,7,1,1,1.0,1.0,1.0,0.002525651827454567,0.002525651827454567,0.002525651827454567,0.03431894967635547,0.03431894967635547,0.03431894967635547,0.010590285062789917,0.010590285062789917,0.010590285062789917,7.441260095220059e-06,7.441260095220059e-06,7.441260095220059e-06,1.0,1.0,1.0,0.0
train,10,3,1,1,0.989247311827957,0.989247311827957,0.989247311827957,0.002884022891521454,0.002884022891521454,0.002884022891521454,0.03824324284564676,0.03824324284564676,0.03824324284564676,0.007029339671134949,0.007029339671134949,0.007029339671134949,8.341452485183254e-06,8.341452485183254e-06,8.341452485183254e-06,1.0,1.0,1.0,0.0
train,10,5,1,1,0.9911504424778761,0.9911504424778761,0.9911504424778761,0.002874329686164856,0.002874329686164856,0.002874329686164856,0.03951190028429718,0.03951190028429718,0.03951190028429718,0.011444538831710815,0.011444538831710815,0.011444538831710815,8.580527719459496e-06,8.580527719459496e-06,8.580527719459496e-06,1.0,1.0,1.0,0.0
train,11,2,1,1,0.9927007299270073,0.9927007299270073,0.9927007299270073,0.0024942494928836823,0.0024942494928836823,0.0024942494928836823,0.0397546901685261,0.0397546901685261,0.0397546901685261,0.013882353901863098,0.013882353901863098,0.013882353901863098,8.360366337001324e-06,8.360366337001324e-06,8.360366337001324e-06,1.0,1.0,1.0,0.0
train,11,5,1,1,0.9937888198757764,0.9937888198757764,0.9937888198757764,0.00024218857288360596,0.00024218857288360596,0.00024218857288360596,0.0035287178464964994,0.0035287178464964994,0.0035287178464964994,0.006466329097747803,0.006466329097747803,0.006466329097747803,2.3050779418554157e-06,2.3050779418554157e-06,2.3050779418554157e-06,1.0,1.0,1.0,0.0
train,11,6,1,1,0.9908256880733946,0.9908256880733946,0.9908256880733946,0.0030905534513294697,0.0030905534513294697,0.0030905534513294697,0.041813698557853274,0.041813698557853274,0.041813698557853274,0.011977553367614746,0.011977553367614746,0.011977553367614746,9.047900675795972e-06,9.047900675795972e-06,9.047900675795972e-06,1.0,1.0,1.0,0.0
train,12,6,1,1,1.0,1.0,1.0,0.0029224753379821777,0.0029224753379821777,0.0029224753379821777,0.036435493185727696,0.036435493185727696,0.036435493185727696,0.015507519245147705,0.015507519245147705,0.015507519245147705,8.142662409227341e-06,8.142662409227341e-06,8.142662409227341e-06,1.0,1.0,1.0,0.0
train,13,3,1,1,1.0,1.0,1.0,0.0031430721282958984,0.0031430721282958984,0.0031430721282958984,0.048257063699533656,0.048257063699533656,0.048257063699533656,0.025594651699066162,0.025594651699066162,0.025594651699066162,1.048613921739161e-05,1.048613921739161e-05,1.048613921739161e-05,1.0,1.0,1.0,0.0
train,13,8,1,1,1.0,1.0,1.0,0.003141731023788452,0.003141731023788452,0.003141731023788452,0.047425910714387336,0.047425910714387336,0.047425910714387336,0.022237345576286316,0.022237345576286316,0.022237345576286316,1.014611916616559e-05,1.014611916616559e-05,1.014611916616559e-05,1.0,1.0,1.0,0.0
train,14,6,2,2,1.0,1.0,1.0,0.0025339387357234955,0.0020903274416923523,0.0029775500297546387,0.032971026000819983,0.028515210709704336,0.037426841291935624,0.012105554342269897,0.004816383123397827,0.019394725561141968,8.273401363112498e-06,6.200889401952736e-06,1.034591332427226e-05,1.0,1.0,1.0,0.0
train,15,4,1,1,0.9876543209876543,0.9876543209876543,0.9876543209876543,0.002146005630493164,0.002146005630493164,0.002146005630493164,0.03027418812340791,0.03027418812340791,0.03027418812340791,0.008525669574737549,0.008525669574737549,0.008525669574737549,6.462898454628885e-06,6.462898454628885e-06,6.462898454628885e-06,1.0,1.0,1.0,0.0
train,15,5,2,2,1.0,1.0,1.0,0.0018978975713253021,0.001542992889881134,0.00225280225276947,0.028976777912233943,0.024110005608585425,0.03384355021588246,0.008260667324066162,0.00818374752998352,0.008337587118148804,6.136260253697401e-06,5.209498340263963e-06,7.063022167130839e-06,1.0,1.0,1.0,0.0
train,15,6,1,1,1.0,1.0,1.0,0.0018548443913459778,0.0018548443913459778,0.0018548443913459778,0.026216782806213694,0.026216782806213694,0.026216782806213694,0.006297022104263306,0.006297022104263306,0.006297022104263306,5.612950189970434e-06,5.612950189970434e-06,5.612950189970434e-06,1.0,1.0,1.0,0.0
train,16,3,1,1,1.0,1.0,1.0,0.001651763916015625,0.001651763916015625,0.001651763916015625,0.025863014037430427,0.025863014037430427,0.025863014037430427,0.0026630014181137085,0.0026630014181137085,0.0026630014181137085,5.278096068650484e-06,5.278096068650484e-06,5.278096068650484e-06,1.0,1.0,1.0,0.0
train,16,7,1,1,1.0,1.0,1.0,0.0003456100821495056,0.0003456100821495056,0.0003456100821495056,0.0052338854459570636,0.0052338854459570636,0.0052338854459570636,0.004499152302742004,0.004499152302742004,0.004499152302742004,1.9011495169252157e-06,1.9011495169252157e-06,1.9011495169252157e-06,1.0,1.0,1.0,0.0
train,17,4,1,1,1.0,1.0,1.0,0.0023051798343658447,0.0023051798343658447,0.0023051798343658447,0.028899607886267973,0.028899607886267973,0.028899607886267973,0.0019765645265579224,0.0019765645265579224,0.0019765645265579224,6.456131814047694e-06,6.456131814047694e-06,6.456131814047694e-06,1.0,1.0,1.0,0.0
train,17,5,3,3,0.9958847736625515,0.9876543209876543,1.0,0.0012752637267112732,0.0001314990222454071,0.003259371966123581,0.0169973618972938,0.0014346015875402365,0.04279559695562999,0.007558176914850871,0.006120249629020691,0.008667796850204468,4.794767543595905e-06,2.1955129341222346e-06,9.370527550345287e-06,1.0,1.0,1.0,0.0
train,17,6,1,1,1.0,1.0,1.0,0.0006539300084114075,0.0006539300084114075,0.0006539300084114075,0.009795782916710977,0.009795782916710977,0.009795782916710977,0.007887959480285645,0.007887959480285645,0.007887959480285645,2.8167269192636013e-06,2.8167269192636013e-06,2.8167269192636013e-06,1.0,1.0,1.0,0.0
train,19,3,1,1,1.0,1.0,1.0,0.00020918995141983032,0.00020918995141983032,0.00020918995141983032,0.002335694242239728,0.002335694242239728,0.002335694242239728,0.0022993534803390503,0.0022993534803390503,0.0022993534803390503,9.972136467695236e-07,9.972136467695236e-07,9.972136467695236e-07,1.0,1.0,1.0,0.0
train,20,6,1,1,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.003281187266111374,0.003281187266111374,0.003281187266111374,0.04273950264285778,0.04273950264285778,0.04273950264285778,0.014755725860595703,0.014755725860595703,0.014755725860595703,9.411822247784585e-06,9.411822247784585e-06,9.411822247784585e-06,1.0,1.0,1.0,0.0
