sample_index,signal_normalization,conditioning_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
605,per_sample_zscore,film,1.0,10,10,1120.5758056640625,12.458734512329102
606,per_sample_zscore,film,1.0,9,9,47.84646987915039,1.4146021604537964
607,per_sample_zscore,film,1.0,2,2,212.6611328125,3.201293706893921
608,per_sample_zscore,film,1.0,11,11,1141.7435302734375,10.487692832946777
609,per_sample_zscore,film,1.0,4,4,7.042234897613525,0.5906838774681091
610,per_sample_zscore,film,1.0,12,12,1154.3076171875,12.320892333984375
611,per_sample_zscore,film,1.0,2,2,109.39359283447266,3.719151020050049
612,per_sample_zscore,film,1.0,4,4,404.8766784667969,6.623610973358154
613,per_sample_zscore,film,1.0,5,5,156.88031005859375,2.8180127143859863
614,per_sample_zscore,film,1.0,6,6,558.0665893554688,8.703235626220703
615,per_sample_zscore,film,1.0,6,6,311.1361083984375,4.8891496658325195
616,per_sample_zscore,film,1.0,10,10,420.4073486328125,6.298791408538818
617,per_sample_zscore,film,1.0,4,4,299.0445556640625,4.136471748352051
618,per_sample_zscore,film,1.0,6,6,87.46383666992188,2.587679147720337
619,per_sample_zscore,film,1.0,15,15,1300.0322265625,12.79748821258545
620,per_sample_zscore,film,1.0,9,9,354.56109619140625,5.8162407875061035
621,per_sample_zscore,film,1.0,12,12,900.5281372070312,14.506030082702637
622,per_sample_zscore,film,1.0,6,6,407.73272705078125,7.924258232116699
623,per_sample_zscore,film,1.0,6,6,370.2929992675781,5.102607250213623
624,per_sample_zscore,film,1.0,6,6,355.4791259765625,4.934769153594971
625,per_sample_zscore,film,1.0,7,7,1034.40771484375,14.255596160888672
626,per_sample_zscore,film,1.0,2,2,387.0772399902344,8.468796730041504
627,per_sample_zscore,film,1.0,6,6,138.70013427734375,2.8138034343719482
628,per_sample_zscore,film,1.0,4,4,122.51062774658203,2.456327199935913
629,per_sample_zscore,film,1.0,10,10,961.9722900390625,11.063549995422363
630,per_sample_zscore,film,1.0,8,8,635.19580078125,6.706420421600342
631,per_sample_zscore,film,1.0,10,10,768.7732543945312,9.251750946044922
632,per_sample_zscore,film,1.0,6,6,440.83746337890625,5.921895980834961
633,per_sample_zscore,film,1.0,6,6,225.99293518066406,3.295241594314575
634,per_sample_zscore,film,1.0,9,9,1127.219970703125,14.876216888427734
635,per_sample_zscore,film,1.0,6,6,178.68580627441406,2.9477739334106445
636,per_sample_zscore,film,1.0,4,4,324.7710876464844,4.598064422607422
637,per_sample_zscore,film,1.0,7,7,450.9870300292969,6.854924201965332
638,per_sample_zscore,film,0.9090909090909091,10,11,5476.13623046875,11.615090370178223
639,per_sample_zscore,film,1.0,3,3,154.15403747558594,3.5574002265930176
640,per_sample_zscore,film,1.0,6,6,963.1983032226562,12.411633491516113
641,per_sample_zscore,film,1.0,8,8,389.6081237792969,5.874813079833984
642,per_sample_zscore,film,1.0,9,9,3240.0185546875,31.73968505859375
643,per_sample_zscore,film,1.0,9,9,771.179931640625,8.813424110412598
644,per_sample_zscore,film,1.0,12,12,1099.1085205078125,16.136249542236328
645,per_sample_zscore,film,1.0,9,9,278.9018859863281,4.047094345092773
646,per_sample_zscore,film,1.0,6,6,1334.92431640625,18.004016876220703
