sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,mask_bce_mode,area_loss_mode,lambda_area_loss,threshold_margin_mode,lambda_threshold_margin,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
10,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0502,20000,1004,250447.59375,500.4471130371094
11,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0598,20000,1196,250398.5625,500.3981628417969
12,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0498,20000,996,250515.921875,500.5153503417969
13,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0489,20000,978,250491.921875,500.491455078125
14,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.07656167284277396,15097,1172,251945.8125,501.9302978515625
15,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0482,20000,964,250413.421875,500.4130554199219
16,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0546,20000,1092,251865.390625,501.8604431152344
17,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0564,20000,1128,250734.546875,500.73345947265625
18,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0466,20000,932,250570.0625,500.5694580078125
19,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0533,20000,1066,250555.703125,500.55511474609375
20,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0552,20000,1104,251292.71875,501.289794921875
21,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.052,20000,1040,250517.78125,500.5172424316406
22,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0515,20000,1030,251689.59375,501.685546875
23,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.06228098120420516,12258,1080,250535.578125,500.5262451171875
24,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0504,20000,1008,250509.546875,500.5090026855469
25,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.05315,20000,1063,250464.84375,500.4643859863281
26,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.05905,20000,1181,250494.28125,500.4937438964844
27,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.05485,20000,1097,251440.53125,501.43743896484375
28,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.05235,20000,1047,250511.4375,500.5109558105469
29,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,batch_ratio_mse,10.0,bidirectional_hinge,1.0,0.0575,20000,1150,250516.765625,500.5162048339844
