split,true_center_x_bin,true_center_y_bin,row_count,sample_count,polygon_iou_mean,polygon_iou_min,polygon_iou_max,center_offset_error_mean,center_offset_error_min,center_offset_error_max,center_grid_error_mean,center_grid_error_min,center_grid_error_max,local_vertex_grid_mae_mean,local_vertex_grid_mae_min,local_vertex_grid_mae_max,decoded_vertex_mae_mean,decoded_vertex_mae_min,decoded_vertex_mae_max,x_bin_correct_rate,y_bin_correct_rate,both_bins_correct_rate,zero_iou_rate
train,10,5,1,1,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0016788765788078308,0.0016788765788078308,0.0016788765788078308,0.022652301337349013,0.022652301337349013,0.022652301337349013,0.006563097238540649,0.006563097238540649,0.006563097238540649,4.324878318584524e-06,4.324878318584524e-06,4.324878318584524e-06,1.0,1.0,1.0,0.0
train,11,2,1,1,0.9568345323741008,0.9568345323741008,0.9568345323741008,0.0022294484078884125,0.0022294484078884125,0.0022294484078884125,0.02876030713594095,0.02876030713594095,0.02876030713594095,0.02940717339515686,0.02940717339515686,0.02940717339515686,1.3078970368951559e-05,1.3078970368951559e-05,1.3078970368951559e-05,1.0,1.0,1.0,0.0
train,11,5,1,1,0.9815950920245399,0.9815950920245399,0.9815950920245399,0.0011177211999893188,0.0011177211999893188,0.0011177211999893188,0.014734798034672624,0.014734798034672624,0.014734798034672624,0.002024620771408081,0.002024620771408081,0.002024620771408081,2.1603555069305003e-06,2.1603555069305003e-06,2.1603555069305003e-06,1.0,1.0,1.0,0.0
train,12,5,1,1,1.0,1.0,1.0,0.0017869845032691956,0.0017869845032691956,0.0017869845032691956,0.025225526339799832,0.025225526339799832,0.025225526339799832,0.0026298165321350098,0.0026298165321350098,0.0026298165321350098,3.5335851862328127e-06,3.5335851862328127e-06,3.5335851862328127e-06,1.0,1.0,1.0,0.0
train,12,7,2,2,0.9827586206896552,0.9655172413793104,1.0,0.0021236389875411987,0.0015168935060501099,0.0027303844690322876,0.027719346685744092,0.01863200231199757,0.036806691059490616,0.006617948412895203,0.004342555999755859,0.008893340826034546,4.997295036446303e-06,3.33710340783e-06,6.657486665062606e-06,1.0,1.0,1.0,0.0
train,13,3,1,1,1.0,1.0,1.0,0.0029458701610565186,0.0029458701610565186,0.0029458701610565186,0.03446178342650086,0.03446178342650086,0.03446178342650086,0.030100613832473755,0.030100613832473755,0.030100613832473755,1.317323767580092e-05,1.317323767580092e-05,1.317323767580092e-05,1.0,1.0,1.0,0.0
train,13,6,1,1,0.9953917050691244,0.9953917050691244,0.9953917050691244,0.0017881966196000576,0.0017881966196000576,0.0017881966196000576,0.02478203971092388,0.02478203971092388,0.02478203971092388,0.011363029479980469,0.011363029479980469,0.011363029479980469,6.173065230541397e-06,6.173065230541397e-06,6.173065230541397e-06,1.0,1.0,1.0,0.0
train,14,5,1,1,1.0,1.0,1.0,0.001231357455253601,0.001231357455253601,0.001231357455253601,0.017705939763965412,0.017705939763965412,0.017705939763965412,0.0014030933380126953,0.0014030933380126953,0.0014030933380126953,2.2345338948071003e-06,2.2345338948071003e-06,2.2345338948071003e-06,1.0,1.0,1.0,0.0
train,14,6,2,2,1.0,1.0,1.0,0.001300755888223648,0.0009834617376327515,0.0016180500388145447,0.016527191487667344,0.013905915159872174,0.019148467815462516,0.008686408400535583,0.008482247591018677,0.00889056921005249,4.6414288590312935e-06,4.611776603269391e-06,4.671081114793196e-06,1.0,1.0,1.0,0.0
train,15,5,1,1,1.0,1.0,1.0,0.0011970102787017822,0.0011970102787017822,0.0011970102787017822,0.01582824329270974,0.01582824329270974,0.01582824329270974,0.005531817674636841,0.005531817674636841,0.005531817674636841,3.300649950688239e-06,3.300649950688239e-06,3.300649950688239e-06,1.0,1.0,1.0,0.0
train,15,6,2,2,1.0,1.0,1.0,0.000998052186332643,0.0009434639941900969,0.0010526403784751892,0.015937248786175737,0.015147424984600349,0.016727072587751125,0.0033872798085212708,0.002635672688484192,0.00413888692855835,2.7862179194926284e-06,2.6618290576152503e-06,2.9106067813700065e-06,1.0,1.0,1.0,0.0
train,16,5,1,1,1.0,1.0,1.0,0.0019874311983585358,0.0019874311983585358,0.0019874311983585358,0.02589374422950625,0.02589374422950625,0.02589374422950625,0.013470113277435303,0.013470113277435303,0.013470113277435303,7.087895937729627e-06,7.087895937729627e-06,7.087895937729627e-06,1.0,1.0,1.0,0.0
train,16,6,1,1,1.0,1.0,1.0,0.000999497715383768,0.000999497715383768,0.000999497715383768,0.014567174652775091,0.014567174652775091,0.014567174652775091,0.0014421343803405762,0.0014421343803405762,0.0014421343803405762,1.9588878785725683e-06,1.9588878785725683e-06,1.9588878785725683e-06,1.0,1.0,1.0,0.0
train,16,7,1,1,1.0,1.0,1.0,0.0009370669722557068,0.0009370669722557068,0.0009370669722557068,0.0145419209808612,0.0145419209808612,0.0145419209808612,0.0023260116577148438,0.0023260116577148438,0.0023260116577148438,2.302622306160629e-06,2.302622306160629e-06,2.302622306160629e-06,1.0,1.0,1.0,0.0
train,17,4,1,1,1.0,1.0,1.0,0.0020743459463119507,0.0020743459463119507,0.0020743459463119507,0.02506237639136862,0.02506237639136862,0.02506237639136862,0.006831809878349304,0.006831809878349304,0.006831809878349304,4.7030625864863396e-06,4.7030625864863396e-06,4.7030625864863396e-06,1.0,1.0,1.0,0.0
train,17,5,2,2,1.0,1.0,1.0,0.0016040187329053879,0.0013802945613861084,0.0018277429044246674,0.019789205688652715,0.016554387140662517,0.02302402423664291,0.004587769508361816,0.003948092460632324,0.005227446556091309,3.3551696105860174e-06,2.911245246650651e-06,3.7990939745213836e-06,1.0,1.0,1.0,0.0
train,17,6,1,1,1.0,1.0,1.0,0.0012119635939598083,0.0012119635939598083,0.0012119635939598083,0.014633439038010967,0.014633439038010967,0.014633439038010967,0.002502843737602234,0.002502843737602234,0.002502843737602234,2.603934262879193e-06,2.603934262879193e-06,2.603934262879193e-06,1.0,1.0,1.0,0.0
train,18,5,1,1,1.0,1.0,1.0,0.001356571912765503,0.001356571912765503,0.001356571912765503,0.016929067863759733,0.016929067863759733,0.016929067863759733,0.009460002183914185,0.009460002183914185,0.009460002183914185,4.680354322772473e-06,4.680354322772473e-06,4.680354322772473e-06,1.0,1.0,1.0,0.0
train,20,6,1,1,1.0,1.0,1.0,0.001707267016172409,0.001707267016172409,0.001707267016172409,0.02355575322817512,0.02355575322817512,0.02355575322817512,0.0013931691646575928,0.0013931691646575928,0.0013931691646575928,3.165776433888823e-06,3.165776433888823e-06,3.165776433888823e-06,1.0,1.0,1.0,0.0
val,4,6,1,1,0.0,0.0,0.0,0.22869697213172913,0.22869697213172913,0.22869697213172913,23.76357526378058,23.76357526378058,23.76357526378058,10.283609494566917,10.283609494566917,10.283609494566917,0.005831156857311726,0.005831156857311726,0.005831156857311726,0.0,0.0,0.0,1.0
val,5,4,1,1,0.0,0.0,0.0,0.22724415361881256,0.22724415361881256,0.22724415361881256,24.18948464769147,24.18948464769147,24.18948464769147,1.6542043089866638,1.6542043089866638,1.6542043089866638,0.0033260968048125505,0.0033260968048125505,0.0033260968048125505,0.0,0.0,0.0,1.0
val,6,3,1,1,0.0,0.0,0.0,0.4296746253967285,0.4296746253967285,0.4296746253967285,13.236337960197435,13.236337960197435,13.236337960197435,8.904558181762695,8.904558181762695,8.904558181762695,0.004281691741198301,0.004281691741198301,0.004281691741198301,1.0,0.0,0.0,1.0
val,8,5,1,1,0.0,0.0,0.0,0.31363409757614136,0.31363409757614136,0.31363409757614136,27.193153090207318,27.193153090207318,27.193153090207318,1.618189126253128,1.618189126253128,1.618189126253128,0.003291382221505046,0.003291382221505046,0.003291382221505046,1.0,0.0,0.0,1.0
val,10,6,1,1,0.0,0.0,0.0,0.5851136445999146,0.5851136445999146,0.5851136445999146,21.96029041611113,21.96029041611113,21.96029041611113,1.3683686703443527,1.3683686703443527,1.3683686703443527,0.0030230244155973196,0.0030230244155973196,0.0030230244155973196,0.0,0.0,0.0,1.0
val,11,6,1,1,0.0,0.0,0.0,0.12358979880809784,0.12358979880809784,0.12358979880809784,33.56993434272917,33.56993434272917,33.56993434272917,8.935746312141418,8.935746312141418,8.935746312141418,0.00630861334502697,0.00630861334502697,0.00630861334502697,1.0,0.0,0.0,1.0
val,13,4,1,1,0.0,0.0,0.0,0.42121702432632446,0.42121702432632446,0.42121702432632446,76.44737609343413,76.44737609343413,76.44737609343413,6.425802439451218,6.425802439451218,6.425802439451218,0.015837769955396652,0.015837769955396652,0.015837769955396652,0.0,0.0,0.0,1.0
val,13,8,1,1,0.0,0.0,0.0,0.042330190539360046,0.042330190539360046,0.042330190539360046,39.77942295965436,39.77942295965436,39.77942295965436,0.8236090838909149,0.8236090838909149,0.8236090838909149,0.0042821429669857025,0.0042821429669857025,0.0042821429669857025,1.0,0.0,0.0,1.0
val,14,6,1,1,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.06799374520778656,0.06799374520778656,0.06799374520778656,1.0344293261073907,1.0344293261073907,1.0344293261073907,1.6810518503189087,1.6810518503189087,1.6810518503189087,0.00059950549621135,0.00059950549621135,0.00059950549621135,1.0,1.0,1.0,0.0
val,15,5,2,2,0.0988538681948424,0.0,0.1977077363896848,0.2222248911857605,0.1727907359600067,0.2716590464115143,14.39348438231318,9.553643639779718,19.23332512484664,1.077831894159317,0.886032372713089,1.269631415605545,0.0029423924861475825,0.0021378311794251204,0.0037469537928700447,0.0,0.5,0.0,0.5
val,16,3,1,1,0.0,0.0,0.0,0.5574387907981873,0.5574387907981873,0.5574387907981873,11.021478032850675,11.021478032850675,11.021478032850675,3.1361086666584015,3.1361086666584015,3.1361086666584015,0.0020857478957623243,0.0020857478957623243,0.0020857478957623243,1.0,0.0,0.0,1.0
val,19,3,1,1,0.0,0.0,0.0,0.24083438515663147,0.24083438515663147,0.24083438515663147,49.40639558732116,49.40639558732116,49.40639558732116,2.0369498282670975,2.0369498282670975,2.0369498282670975,0.009162940084934235,0.009162940084934235,0.009162940084934235,0.0,0.0,0.0,1.0
